09/01/2018 5.73
spi frequency percentage rankingpercentile
-2.1 1 1.61 2.86
-1.9 1 1.61 5.71
-1.8 1 1.61 8.57
-1.6 3 4.84 11.43
-1.4 2 3.23 14.29
-1.3 1 1.61 17.14
-1.2 1 1.61 20
-1.1 1 1.61 22.86
-1 1 1.61 25.71
-0.9 1 1.61 28.57
-0.8 2 3.23 31.43
-0.7 3 4.84 34.29
-0.6 2 3.23 37.14
-0.5 1 1.61 40
-0.4 2 3.23 42.86
-0.3 2 3.23 45.71
-0.2 3 4.84 48.57
-0.1 1 1.61 51.43
0 1 1.61 54.29
0.1 2 3.23 57.14
0.2 2 3.23 60
0.3 3 4.84 62.86
0.4 1 1.61 65.71
0.5 2 3.23 68.57
0.6 3 4.84 71.43
0.7 4 6.45 74.29
0.8 4 6.45 77.14
1 3 4.84 80
1.1 1 1.61 82.86
1.3 1 1.61 85.71
1.4 2 3.23 88.57
1.5 1 1.61 91.43
1.7 1 1.61 94.29
1.8 1 1.61 97.14
1.9 1 1.61 100
