08/01/2017 3.43
spi frequency percentage rankingpercentile
-1.9 3 4 2.94
-1.8 2 2.67 5.88
-1.6 1 1.33 8.82
-1.5 1 1.33 11.76
-1.3 1 1.33 14.71
-1.2 1 1.33 17.65
-1.1 3 4 20.59
-1 3 4 23.53
-0.9 2 2.67 26.47
-0.8 3 4 29.41
-0.7 1 1.33 32.35
-0.6 3 4 35.29
-0.5 2 2.67 38.24
-0.4 2 2.67 41.18
-0.3 1 1.33 44.12
-0.2 6 8 47.06
-0.1 4 5.33 50
0.1 2 2.67 52.94
0.2 3 4 55.88
0.3 2 2.67 58.82
0.4 2 2.67 61.76
0.5 3 4 64.71
0.6 1 1.33 67.65
0.7 1 1.33 70.59
0.8 2 2.67 73.53
0.9 7 9.33 76.47
1 1 1.33 79.41
1.2 1 1.33 82.35
1.3 2 2.67 85.29
1.4 2 2.67 88.24
1.5 3 4 91.18
1.6 2 2.67 94.12
1.8 1 1.33 97.06
1.9 1 1.33 100
