04/01/2015 0.0
spi frequency percentage rankingpercentile
-2.1 1 0.97 2.7
-2 1 0.97 5.41
-1.9 1 0.97 8.11
-1.8 1 0.97 10.81
-1.6 2 1.94 13.51
-1.5 5 4.85 16.22
-1.2 2 1.94 18.92
-1.1 3 2.91 21.62
-1 1 0.97 24.32
-0.9 3 2.91 27.03
-0.8 2 1.94 29.73
-0.7 4 3.88 32.43
-0.6 5 4.85 35.14
-0.5 3 2.91 37.84
-0.4 7 6.8 40.54
-0.3 5 4.85 43.24
-0.2 5 4.85 45.95
-0.1 5 4.85 48.65
0 3 2.91 51.35
0.1 2 1.94 54.05
0.2 2 1.94 56.76
0.3 3 2.91 59.46
0.4 2 1.94 62.16
0.5 2 1.94 64.86
0.6 4 3.88 67.57
0.7 3 2.91 70.27
0.8 2 1.94 72.97
0.9 4 3.88 75.68
1.1 6 5.83 78.38
1.2 1 0.97 81.08
1.4 2 1.94 83.78
1.5 3 2.91 86.49
1.6 2 1.94 89.19
1.7 1 0.97 91.89
1.8 2 1.94 94.59
1.9 2 1.94 97.3
2.1 1 0.97 100
