05/01/2006 0.93
start_date end_date duration peak sum average median
07/01/2007 12/01/2007 5 -1.19 -3.1 -0.62 -0.38
01/01/2009 02/01/2009 1 -1.97 -1.97 -1.97 -1.97
10/01/2010 12/01/2010 2 -1.46 -1.95 -0.98 -0.98
01/01/2011 02/01/2011 1 -1.48 -1.48 -1.48 -1.48
10/01/2011 11/01/2011 1 -1.91 -1.91 -1.91 -1.91
05/01/2012 10/01/2012 5 -1.96 -5.51 -1.1 -1.38
11/01/2012 01/01/2013 2 -1.18 -1.67 -0.84 -0.84
06/01/2013 04/01/2014 10 -2.44 -9.49 -0.95 -0.97
07/01/2014 09/01/2014 2 -1.24 -1.43 -0.71 -0.71
03/01/2015 04/01/2015 1 -1.05 -1.05 -1.05 -1.05
08/01/2015 11/01/2015 3 -1.32 -3.34 -1.11 -1.21
02/01/2016 05/01/2016 3 -1.24 -2.43 -0.81 -0.72
06/01/2016 07/01/2016 1 -1.35 -1.35 -1.35 -1.35
10/01/2016 11/01/2016 1 -1.28 -1.28 -1.28 -1.28
02/01/2017 03/01/2017 1 -1.82 -1.82 -1.82 -1.82
11/01/2017 01/01/2018 2 -2.31 -3.66 -1.83 -1.83
04/01/2018 06/01/2018 2 -2.71 -3.61 -1.8 -1.8
07/01/2018 08/01/2018 1 -1.14 -1.14 -1.14 -1.14
08/01/2020 09/01/2020 1 -1.04 -1.04 -1.04 -1.04
11/01/2021 03/01/2022 4 -1.5 -2.79 -0.7 -0.58
09/01/2022 10/01/2022 1 -1.19 -1.19 -1.19 -1.19
04/01/2023 08/01/2023 4 -2.04 -5.73 -1.43 -1.75
