Year      Month     Average
2005      12        0.5000
2006      1         2.8500
2006      2         0.7300
2006      3         5.1800
2006      4         3.0700
2006      5         8.9900
2006      6         2.1600
2006      7         4.3700
2006      8         1.6600
2006      9         2.9500
2006      10        7.3500
2006      11        7.0200
2006      12        2.6400
2007      1         3.4100
2007      2         2.8700
2007      3         2.3700
2007      4         2.9700
2007      5         6.5400
2007      6         3.1300
2007      7         1.2100
2007      8         1.5800
2007      9         3.9100
2007      10        2.2600
2007      11        1.0800
2007      12        5.4800
2008      1         0.6700
2008      2         5.6900
2008      3         11.6900
2008      4         5.9400
2008      5         3.6700
2008      6         4.1900
2008      7         5.5800
2008      8         2.9400
2008      9         5.6300
2008      10        1.5900
2008      11        1.4400
2008      12        4.3500
2009      1         1.4200
2009      2         2.0200
2009      3         3.6500
2009      4         5.2600
2009      5         5.9200
2010      9         6.8000
2010      10        0.3100
2010      11        3.0300
2010      12        0.6000
2011      1         0.4300
2011      2         3.5500
2011      3         4.4100
2011      4         14.9000
2011      5         6.9100
2011      6         1.2600
2011      7         4.6100
2011      8         6.1500
2011      9         0.1500
2011      10        0.0300
2011      11        5.7800
2011      12        4.5700
2012      1         2.3500
2012      2         2.2400
2012      3         2.9500
2012      4         0.0000
2012      5         0.0000
2015      1         1.8500
2015      2         1.3400
2015      3         6.2300
2015      4         3.4300
2015      5         4.5800
2015      6         3.2900
2015      7         6.9000
2015      8         3.3200
2015      9         1.2900
2015      10        1.1100
2015      11        8.5800
2015      12        8.5900
2016      1         0.9300
2016      2         1.6700
2016      3         3.8400
2016      4         4.4200
2016      5         10.0300
2016      6         2.4500
2016      7         5.1100
2016      8         6.0300
2016      9         4.3800
2016      10        1.7000
2016      11        2.1900
2016      12        0.9800
