Year      Month     Average
2000      1         0.1700
2000      2         2.3100
2000      3         1.6200
2000      4         2.5400
2000      5         2.6800
2000      6         7.2700
2000      7         3.6400
2000      8         2.3700
2000      9         5.5100
2000      10        2.0100
2000      11        2.2100
2000      12        0.0700
2001      1         2.0400
2001      2         2.4000
2001      3         2.3500
2001      4         3.2900
2001      5         6.0400
2001      6         6.5100
2001      7         4.9800
2001      8         3.5600
2001      9         4.6100
2001      10        2.1900
2001      11        0.6100
2001      12        0.7400
2002      1         0.1300
2002      2         1.2300
2002      3         0.8300
2002      4         3.1000
2002      5         5.3800
2002      6         1.7800
2002      7         1.4200
2002      8         3.3500
2002      9         0.6500
2002      10        2.6200
2002      11        0.3200
2002      12        0.0000
2003      1         0.1300
2003      2         0.4100
2003      3         1.0800
2003      4         5.7400
2003      5         3.6400
2003      6         6.1400
2003      7         0.4200
2003      8         3.8300
2003      9         3.8600
2003      10        1.5300
2003      11        0.7700
2003      12        2.0900
2004      1         0.1900
2004      2         0.4700
