Year      Month     Average
2017      10        0.0000
2017      11        0.3300
2017      12        0.4300
2018      1         1.1400
2018      2         3.2600
2018      3         6.4200
2018      4         0.3600
2018      5         2.0300
2018      6         2.6200
2018      7         3.9500
2018      8         4.4700
2018      9         2.8400
2018      10        3.4500
2018      11        1.6000
2018      12        3.6300
2019      1         1.6900
2019      2         1.7900
2019      3         3.4400
2019      4         5.2800
2019      5         6.4700
2019      6         4.1800
2019      7         2.9300
2019      8         3.7800
2019      9         4.3700
2019      10        3.3400
2019      11        1.1300
2019      12        1.9000
2020      1         2.5700
2020      2         1.0000
2020      3         5.4500
2020      4         3.0200
2020      5         3.0900
2020      6         3.3000
2020      7         7.2500
2020      8         1.9400
2020      9         3.3000
2020      10        1.0000
2020      11        2.1600
2020      12        0.8500
2021      1         1.7100
2021      2         0.1700
2021      3         5.7300
2021      4         5.0400
2021      5         6.0500
2021      6         15.4500
2021      7         2.7600
2021      8         1.8600
2021      9         1.9800
2021      10        4.0400
2021      11        0.7400
2021      12        0.8300
2022      1         0.5500
2022      2         0.5900
2022      3         4.4900
2022      4         2.6700
2022      5         3.3800
2022      6         2.0800
2022      7         2.9500
2022      8         2.5600
2022      9         1.3400
2022      10        2.1800
2022      11        3.9100
2022      12        1.1300
2023      1         1.5500
2023      2         2.5100
2023      3         2.6800
2023      4         0.3000
2023      5         2.0500
2023      6         1.7200
2023      7         2.6900
2023      8         6.6900
2023      9         1.2700
2023      10        2.0000
2023      11        0.8400
