Year      Month     Average
2014      5         3.4800
2014      6         9.0700
2014      7         1.5500
2014      8         0.9300
2014      9         4.2900
2014      10        5.9800
2014      11        2.2200
2014      12        1.8200
2015      1         0.9800
2015      2         0.8400
2015      3         4.1400
2015      4         3.1400
2015      5         8.6700
2015      6         3.5700
2015      7         3.9900
2015      8         6.5000
2015      9         2.3600
2015      10        0.9200
2015      11        8.3900
2015      12        9.7000
2016      1         0.8300
2016      2         0.3700
2016      3         2.7300
2016      4         3.0300
2016      5         3.9000
2016      6         2.1100
2016      7         3.0000
2016      8         2.2500
2016      9         3.7100
2016      10        2.7700
2016      11        0.4100
2016      12        1.0000
2017      1         3.2300
2017      2         0.3600
2017      3         4.0500
2017      4         11.2700
2017      5         6.7100
2017      6         4.5400
2017      7         2.9800
2017      8         6.8100
2017      9         1.7400
2017      10        3.2800
2017      11        0.3900
2017      12        1.6800
2018      1         1.4500
2018      2         6.8700
2018      3         3.5000
2018      4         1.5600
2018      5         3.2300
2018      6         1.7100
2018      7         1.6900
2018      8         7.3100
2018      9         3.2700
2018      10        3.3200
2018      11        1.7700
2018      12        4.2800
2019      1         3.3600
2019      2         2.6300
2019      3         3.2900
2019      4         4.8600
2019      5         13.6500
2019      6         6.0900
2019      7         3.7100
2019      8         4.0400
2019      9         1.7800
2019      10        7.9700
2019      11        3.4100
2019      12        1.0700
2020      1         5.3300
2020      2         2.6200
2020      3         7.9200
2020      4         4.9300
2020      5         10.5600
2020      6         1.7500
2020      7         5.6100
2020      8         0.6800
2020      9         0.7000
2020      10        5.4500
2020      11        3.2800
2020      12        1.4700
2021      1         3.8600
2021      2         0.1700
2021      3         6.1900
2021      4         4.0300
2021      5         7.2500
2021      6         5.3700
2021      7         3.5300
2021      8         1.8000
2021      9         1.2600
2021      10        8.2300
2021      11        1.4400
2021      12        1.4600
2022      1         0.9300
2022      2         2.5000
2022      3         4.1500
2022      4         4.0100
2022      5         10.1700
2022      6         1.6400
2022      7         0.3600
2022      8         4.4100
2022      9         2.3900
2022      10        3.7400
2022      11        4.5600
2022      12        2.5500
2023      1         2.3000
2023      2         3.4300
2023      3         6.3700
2023      4         1.3800
2023      5         6.7300
2023      6         3.3100
2023      7         3.5100
2023      8         7.9500
2023      9         5.5400
2023      10        2.9200
2023      11        0.6400
