Year      Month     Average
2005      12        0.5800
2006      1         2.9000
2006      2         0.5200
2006      3         5.1100
2006      4         3.2700
2006      5         6.8800
2006      6         0.9100
2006      7         3.9400
2006      8         3.0000
2006      9         2.4100
2006      10        3.7200
2006      11        5.8100
2006      12        2.2300
2007      1         3.6500
2007      2         2.7900
2007      3         2.4200
2007      4         3.4400
2007      5         5.0200
2007      6         3.0700
2007      7         1.2000
2007      8         1.6100
2007      9         3.9400
2007      10        3.4800
2007      11        0.9600
2007      12        4.3100
2008      1         0.6000
2008      2         6.3500
2008      3         10.5700
2008      4         5.9700
2008      5         5.3400
2008      6         4.2400
2008      7         4.7600
2008      8         3.8200
2008      9         7.3500
2008      10        2.0500
2008      11        1.7400
2008      12        4.7100
2009      1         1.4200
2009      2         2.0200
2009      3         3.5600
2009      4         4.6900
2009      5         5.5200
2009      6         5.8500
2009      7         2.5300
2009      8         1.5800
2009      9         5.4500
2009      10        9.9800
2009      11        1.8900
2009      12        2.6700
2010      1         3.0100
2010      2         1.4600
2010      3         3.3700
2010      4         3.3900
2010      5         4.9600
2010      6         1.8200
2010      7         6.0800
2010      8         1.6800
2010      9         7.8400
2010      10        0.3700
2010      11        3.4200
2010      12        0.7100
2011      1         0.4400
2011      2         3.8500
2011      3         4.4900
2011      4         11.6900
2011      5         6.8000
2011      6         2.3100
2011      7         3.4000
2011      8         5.1800
2011      9         3.7500
2011      10        1.9700
2011      11        4.8500
2011      12        3.6700
2012      1         2.2700
2012      2         0.7200
2012      3         2.7600
2012      4         1.5500
2012      5         0.8500
2012      6         2.6500
2012      7         1.9800
2012      8         3.6700
2012      9         4.1400
2012      10        2.2700
2012      11        1.6900
2012      12        1.8600
2013      1         4.2200
2013      2         3.5800
2013      3         3.6600
2013      4         4.3200
2013      5         5.5600
2013      6         5.1800
2013      7         3.9900
2013      8         6.6700
2013      9         1.5500
2013      10        3.6400
2013      11        1.5900
2013      12        1.6800
2014      1         1.8500
2014      2         0.6200
2014      3         2.6700
2014      4         4.0100
2014      5         2.5300
2014      6         7.4400
2014      7         1.8900
2014      8         1.1700
2014      9         2.0900
2014      10        6.0800
2014      11        2.9400
2014      12        3.1100
2015      1         1.6600
2015      2         1.3500
2015      3         5.8800
2015      4         2.9500
2015      5         4.4100
2015      6         4.3200
2015      7         8.2500
2015      8         5.0900
2015      9         0.8000
2015      10        1.0800
2015      11        8.6600
2015      12        10.2300
2016      1         0.7900
2016      2         1.6500
2016      3         3.3600
2016      4         3.0800
2016      5         9.3200
2016      6         3.5200
2016      7         8.3300
2016      8         6.1300
2016      9         2.5400
2016      10        2.1500
2016      11        1.5000
2016      12        1.0000
2017      1         2.2500
2017      2         1.1000
2017      3         4.6400
2017      4         14.8100
2017      5         7.7300
2017      6         2.7100
2017      7         4.3000
2017      8         5.9600
2017      9         0.4500
2017      10        1.6300
2017      11        1.7700
2017      12        1.9300
2018      1         1.7500
2018      2         6.8900
2018      3         4.9900
2018      4         4.0800
2018      5         9.0300
2018      6         6.1400
2018      7         1.9900
2018      8         4.3800
2018      9         2.0600
2018      10        4.6000
2018      11        2.3600
2018      12        5.0900
2019      1         3.9900
2019      2         5.5100
2019      3         6.2100
2019      4         6.6200
2019      5         10.5300
2019      6         4.5400
2019      7         4.1700
2019      8         7.6100
2019      9         1.1200
2019      10        6.1100
2019      11        3.8600
2019      12        1.8700
2020      1         4.7000
2020      2         4.5000
2020      3         8.0900
2020      4         3.7800
2020      5         6.5300
2020      6         3.3000
2020      7         6.3800
2020      8         2.8500
2020      9         1.3700
2020      10        5.4500
2020      11        3.8300
2020      12        1.8700
2021      1         4.0300
2021      2         1.1300
2021      3         6.1300
2021      4         3.8400
2021      5         4.9800
2021      6         3.6900
2021      7         3.3800
2021      8         2.9400
2021      9         1.0400
2021      10        6.9900
2021      11        1.1600
2021      12        5.2600
2022      1         2.3300
2022      2         5.7100
2022      3         5.9400
2022      4         4.3500
2022      5         5.2600
2022      6         0.3900
2022      7         1.2200
2022      8         7.1800
2022      9         1.8200
2022      10        1.2800
2022      11        3.8900
2022      12        4.3900
2023      1         2.4800
2023      2         2.8800
2023      3         11.4300
2023      4         1.4600
2023      5         5.1700
2023      6         1.4600
2023      7         4.5300
2023      8         3.5100
2023      9         3.5100
2023      10        3.0900
2023      11        0.3400
