Year      Month     Average
2008      10        0.6100
2008      11        1.0500
2008      12        2.6500
2009      1         0.0500
2009      2         3.0900
2009      3         3.8900
2009      4         6.5400
2009      5         4.9300
2009      6         3.4400
2009      7         3.0800
2009      8         4.6000
2009      9         3.2200
2009      10        11.1300
2009      11        2.9200
2009      12        3.4800
2010      1         1.6500
2010      2         2.3400
2010      3         2.3900
2010      4         6.9800
2010      5         4.8600
2010      6         4.6200
2010      7         11.2600
2010      8         2.1900
2010      9         8.7900
2010      10        0.8300
2010      11        1.2800
2010      12        1.8200
2011      1         0.2800
2011      2         1.8500
2011      3         2.6800
2011      4         2.7100
2011      5         4.7800
2011      6         4.1900
2011      7         3.2600
2011      8         0.5600
2011      9         1.2400
2011      10        0.3800
2011      11        3.3900
2011      12        3.1200
2012      1         0.3300
2012      2         1.8100
2012      3         2.0200
2012      4         5.4200
2012      5         0.9300
2012      6         1.2400
2012      7         1.5300
2012      8         1.6200
2012      9         0.7600
2012      10        2.8400
2012      11        0.8500
2012      12        1.8500
2013      1         2.3200
2013      2         2.0200
2013      3         2.3700
2013      4         5.8400
2013      5         7.8600
2013      6         3.4600
2013      7         1.7100
2013      8         0.6200
2013      9         2.4400
2013      10        2.5300
2013      11        1.5700
2013      12        1.4700
2014      1         0.4000
2014      2         0.8600
2014      3         1.4400
2014      4         4.0800
2014      5         5.6400
2014      6         4.2600
2014      7         3.5600
2014      8         4.4900
2014      9         4.7600
2014      10        5.7700
2014      11        1.4100
2014      12        1.2700
2015      1         0.9800
2015      2         1.0100
2015      3         1.9400
2015      4         1.8200
2015      5         6.5100
2015      6         11.5800
2015      7         6.2700
2015      8         1.9600
2015      9         0.4300
2015      10        1.3200
2015      11        6.3700
2015      12        5.7900
2016      1         0.3800
2016      2         0.1200
2016      3         2.4300
2016      4         2.6200
2016      5         3.1700
2016      6         4.8800
2016      7         8.1100
2016      8         5.5600
2016      9         3.4800
2016      10        0.5900
2016      11        1.1000
2016      12        1.1800
2017      1         0.6600
2017      2         0.5700
2017      3         3.2000
2017      4         7.3600
2017      5         6.3500
2017      6         3.3700
2017      7         4.2500
2017      8         2.3500
2017      9         0.4400
2017      10        3.3300
2017      11        0.9600
2017      12        0.5100
2018      1         2.2100
2018      2         2.6000
2018      3         6.2000
2018      4         0.5800
2018      5         3.5900
2018      6         3.2900
2018      7         1.6800
2018      8         5.8700
2018      9         2.2900
2018      10        4.5400
2018      11        1.8400
2018      12        3.8100
2019      1         1.7900
2019      2         0.5800
2019      3         4.1600
2019      4         5.4300
2019      5         4.9600
2019      6         5.4400
2019      7         4.4700
2019      8         3.3500
2019      9         1.8100
2019      10        3.5900
2019      11        1.6400
2019      12        1.0200
2020      1         3.6500
2020      2         1.5900
2020      3         3.7400
2020      4         3.6400
2020      5         3.9900
2020      6         4.5500
2020      7         5.6500
2020      8         1.2000
2020      9         3.7400
2020      10        1.2900
2020      11        2.1500
2020      12        0.9200
2021      1         2.3700
2021      2         0.7600
2021      3         4.7700
2021      4         4.6400
2021      5         4.2900
2021      6         8.3400
2021      7         4.1600
2021      8         1.8000
2021      9         1.4600
2021      10        6.7100
2021      11        0.7600
2021      12        2.1700
2022      1         1.1600
2022      2         1.3100
2022      3         4.6400
2022      4         4.4200
2022      5         5.1600
2022      6         3.0600
2022      7         3.5500
2022      8         1.1800
2022      9         2.2500
2022      10        2.8000
2022      11        2.4500
2022      12        0.9800
2023      1         1.1600
2023      2         3.0100
2023      3         2.3300
2023      4         1.5900
2023      5         2.6300
2023      6         1.7200
2023      7         1.7800
2023      8         4.8300
2023      9         0.2800
2023      10        2.9200
2023      11        0.3600
