Year,Month,Total,,,,
2000,1,0.08,,22.42,,6.697877069
2000,2,1.33,,22.56,,
2000,3,1.02,,23.33,,
2000,4,2.16,,25.34,,
2000,5,1.61,,24.98,,
2000,6,5.26,,25.13,,
2000,7,2.9,,24.44,,
2000,8,1.69,,29.07,,
2000,9,2.68,,34.58,,
2000,10,1.42,,33.21,,
2000,11,2.27,,35.21,,
2000,12,0.22,,34.89,,
2001,1,2.1,,35.04,,
2001,2,3.03,,33.56,,
2001,3,1.8,,30.66,,
2001,4,1.76,,29.35,,
2001,5,4.57,,29.06,,
2001,6,7.53,,28.34,,
2001,7,7.2,,25.26,,
2001,8,1.31,,19.53,,
2001,9,3.42,,19.77,,
2001,10,1.95,,19.91,,
2001,11,0.37,,18.75,,
2001,12,0.62,,21.33,,
2002,1,0.13,,20.97,,
2002,2,0.49,,20.84,,
2002,3,1.47,,20.48,,
2002,4,3.85,,19.53,,
2002,5,4.45,,16.68,,
2002,6,1.47,,16.09,,
2002,7,1.55,,18.05,,
2002,8,3.56,,21.28,,
2002,9,0.79,,19.19,,
2002,10,2.95,,19.77,,
2002,11,0.26,,19.14,,
2002,12,0,,20.15,,
2003,1,0.13,,21.43,,
2003,2,0.52,,22.85,,
2003,3,1,,22.8,,
2003,4,3.86,,22.16,,
2003,5,3.43,,22.92,,
2003,6,4.78,,21,,
2003,7,1.47,,23.69,,
2003,8,1.37,,28.88,,
2003,9,2.32,,31.06,,
2003,10,1.27,,33.55,,
2003,11,1.28,,34.89,,
2003,12,1.55,,35.38,,
2004,1,0.47,,35.29,,
2004,2,0.36,,35.13,,
2004,3,4.62,,35.79,,
2004,4,1.51,,33.4,,
2004,5,7.47,,32.78,,
2004,6,6.66,,30.19,,
2004,7,3.55,,24.98,,
2004,8,4.81,,27.23,,
2004,9,2.61,,26.6,,
2004,10,1.77,,25.96,,
2004,11,1.46,,25.67,,
2004,12,0.31,,26.92,,
2005,1,1.02,,28.03,,
2005,2,2.23,,28.11,,
2005,3,0.89,,26.77,,
2005,4,4.88,,25.89,,
2005,5,1.45,,22.44,,
2005,6,5.8,,25.38,,
2005,7,4.18,,20.65,,
2005,8,1.97,,20.23,,
2005,9,1.48,,20.15,,
2005,10,2.71,,27.93,,
2005,11,1.42,,29.07,,
2005,12,1.1,,30.69,,
2006,1,0.89,,30.76,,
2006,2,0.01,,31.24,,
2006,3,1.43,,31.58,,
2006,4,4.39,,30.85,,
2006,5,1.07,,29.06,,
2006,6,3.76,,30.13,,
2006,7,1.89,,35.86,,
2006,8,9.26,,35.08,,
2006,9,3.85,,28.13,,
2006,10,3.04,,30.47,,
2006,11,1.17,,29.62,,
2006,12,1.37,,32.15,,
2007,1,0.35,,30.8,,
2007,2,0.7,,31.84,,
2007,3,2.6,,31.53,,
2007,4,2.14,,30.72,,
2007,5,9.49,,30.4,,
2007,6,1.11,,26.76,,
2007,7,2.31,,29.38,,
2007,8,6.19,,36.29,,
2007,9,2.19,,31.74,,
2007,10,3.7,,30.61,,
2007,11,0.02,,34.43,,
2007,12,1.39,,38.11,,
2008,1,0.39,,37.91,,
2008,2,1.79,,38.49,,
2008,3,1.82,,36.73,,
2008,4,5.85,,35.2,,
2008,5,3.73,,32.85,,
2008,6,9.22,,33.8,,
2008,7,1.64,,30.56,,
2008,8,1.06,,36.34,,
2008,9,7.52,,37.95,,
2008,10,3.7,,36.2,,
2008,11,1.19,,33.03,,
2008,12,0.97,,36.26,,
2009,1,0.03,,37.78,,
2009,2,0.29,,38.69,,
2009,3,3.5,,38.77,,
2009,4,4.68,,35.65,,
2009,5,5.98,,33.51,,
2009,6,7.42,,32.07,,
2009,7,2.67,,31.01,,
2009,8,5.77,,36.19,,
2009,9,0.53,,33.47,,
2009,10,4.42,,34.38,,
2009,11,2.49,,36.59,,
2009,12,0.94,,35.62,,
2010,1,0.37,,36.2,,
2010,2,0.38,,36.07,,
2010,3,2.54,,35.99,,
2010,4,4.54,,33.72,,
2010,5,6.36,,30.56,,
2010,6,7.85,,28.24,,
2010,7,3.05,,25.09,,
2010,8,1.44,,25.01,,
2010,9,6.63,,25.84,,
2010,10,1.52,,24.02,,
2010,11,1.52,,23.14,,
2010,12,0.24,,21.86,,
2011,1,0.3,,25.12,,
2011,2,0.27,,27.59,,
2011,3,1.38,,27.61,,
2011,4,4.04,,28.21,,
2011,5,4.7,,26.93,,
2011,6,2.97,,25.43,,
2011,7,2.27,,25.42,,
2011,8,4.81,,25.07,,
2011,9,0.64,,22.26,,
2011,10,0.24,,24.7,,
2011,11,3.5,,25.25,,
2011,12,2.77,,23.58,,
2012,1,0.29,,22.52,,
2012,2,1.98,,23.32,,
2012,3,2.76,,22.36,,
2012,4,3.2,,20.26,,
2012,5,2.96,,18.26,,
2012,6,1.92,,19.56,,
2012,7,2,,24.47,,
2012,8,3.08,,26.22,,
2012,9,0.79,,24,,
2012,10,1.83,,23.31,,
2012,11,1.71,,25.06,,
2012,12,1.09,,26.67,,
2013,1,1.02,,26.82,,
2013,2,0.66,,26.02,,
2013,3,1.2,,25.42,,
2013,4,4.26,,24.87,,
2013,5,6.83,,21.35,,
2013,6,3.75,,17.58,,
2013,7,0.86,,16.54,,
2013,8,0.1,,24.52,,
2013,9,3.58,,27.92,,
2013,10,3.32,,34.06,,
2013,11,1.24,,35.75,,
2013,12,0.22,,39,,
2014,1,0.06,,39.01,,
2014,2,0.65,,39.82,,
2014,3,0.74,,39.69,,
2014,4,3.06,,39.57,,
2014,5,2.71,,37.49,,
2014,6,8.84,,36.6,,
2014,7,3.5,,34.27,,
2014,8,9.72,,35.93,,
2014,9,5.01,,37.62,,
2014,10,4.49,,36.56,,
2014,11,0.23,,35.97,,
2014,12,0.87,,36.73,,
2015,1,0.52,,40.34,,
2015,2,0.62,,42.54,,
2015,3,0.98,,42.62,,
2015,4,1.82,,42.33,,
2015,5,6.51,,42.1,,
2015,6,5.16,,40.86,,
2015,7,11.41,,42.84,,
2015,8,3.95,,36.41,,
2015,9,3.9,,35.45,,
2015,10,0.99,,39.56,,
2015,11,4.48,,44.55,,
2015,12,2.72,,41.54,,
2016,1,0.7,,39.51,,
2016,2,0.69,,39.93,,
2016,3,1.59,,40.27,,
2016,4,5.27,,38.95,,
2016,5,7.14,,36.44,,
2016,6,4.98,,36.46,,
2016,7,2.99,,34.74,,
2016,8,8.01,,43.21,,
2016,9,5.98,,40.33,,
2016,10,1.47,,36.79,,
2016,11,0.69,,36.23,,
2016,12,1.12,,40.65,,
2017,1,1.03,,40,,
2017,2,0.27,,39.09,,
2017,3,2.76,,39.27,,
2017,4,7.16,,36.91,,
2017,5,3.26,,31.18,,
2017,6,11.46,,28.45,,
2017,7,5.13,,18.54,,
2017,8,2.44,,16.02,,
2017,9,0.91,,14.79,,
2017,10,5.11,,21.34,,
2017,11,0.47,,18.55,,
2017,12,0.12,,25.06,,
2018,1,0.45,,25.49,,
2018,2,0.4,,27.26,,
2018,3,1.43,,27.55,,
2018,4,0.53,,27.78,,
2018,5,1.55,,30.98,,
2018,6,2.61,,31.6,,
2018,7,1.21,,40.14,,
2018,8,7.46,,43.75,,
2018,9,2.32,,39.3,,
2018,10,6.98,,42.11,,
2018,11,0.55,,42.96,,
2018,12,2.22,,44.65,,
2019,1,0.69,,43.01,,
2019,2,1.66,,43.48,,
2019,3,3.73,,43.46,,
2019,4,2.17,,39.91,,
2019,5,11.15,,39.98,,
2019,6,4.82,,31.45,,
2019,7,3.01,,32.48,,
2019,8,5.13,,32.34,,
2019,9,7.83,,35.86,,
2019,10,2.24,,30.28,,
2019,11,0.58,,30.01,,
2019,12,1.16,,30.18,,
2020,1,1.64,,32.14,,
2020,2,0.18,,31,,
2020,3,2.24,,32.27,,
2020,4,2.62,,30.09,,
2020,5,5.85,,30.94,,
2020,6,2.87,,27.18,,
2020,7,8.65,,27.96,,
2020,8,2.25,,25.28,,
2020,9,1.97,,26.45,,
2020,10,0.75,,27.07,,
2020,11,3.12,,26.65,,
2020,12,0.5,,28.48,,
2021,1,1.45,,30.1,,
2021,2,0.06,,29.02,,
2021,3,3.47,,29.58,,
2021,4,2.09,,26.16,,
2021,5,3.65,,27.05,,
2021,6,5.97,,26.8,,
2021,7,3.42,,27.66,,
2021,8,2.59,,28.79,,
2021,9,0.33,,29.58,,
2021,10,4.95,,32.44,,
2021,11,2.12,,28.33,,
2021,12,0.37,,27.5,,
2022,1,0.62,,30.23,,
2022,2,0.05,,30.59,,
2022,3,2.98,,31.6,,
2022,4,3.4,,30.97,,
2022,5,6.83,,29,,
2022,6,4.55,,23.94,,
2022,7,3.38,,22.54,,
