Year,Month,Total,,,,
2000,1,0.66,,30.75,,6.392314601
2000,2,2.59,,32.94,,
2000,3,1.6,,34.08,,
2000,4,1.49,,34.61,,
2000,5,3.56,,36.49,,
2000,6,6.98,,40.03,,
2000,7,3.69,,40.89,,
2000,8,2.85,,43.75,,
2000,9,2.58,,45.77,,
2000,10,3.12,,47.61,,
2000,11,1.28,,48.1,,
2000,12,0.35,,47.3,,
2001,1,2.85,,47.95,,
2001,2,3.73,,46.63,,
2001,3,2.13,,44.07,,
2001,4,3.37,,42.7,,
2001,5,7.1,,44.35,,
2001,6,7.84,,48.85,,
2001,7,6.55,,45.4,,
2001,8,4.87,,43.24,,
2001,9,4.42,,43.35,,
2001,10,3.61,,39.49,,
2001,11,0.48,,39.23,,
2001,12,1,,39.12,,
2002,1,1.53,,38.59,,
2002,2,1.17,,37.57,,
2002,3,0.76,,38.21,,
2002,4,5.02,,38.7,,
2002,5,11.6,,37.19,,
2002,6,4.39,,29.82,,
2002,7,4.39,,29.01,,
2002,8,4.98,,26.81,,
2002,9,0.56,,27.73,,
2002,10,3.35,,31.13,,
2002,11,0.37,,28.79,,
2002,12,0.47,,31.34,,
2003,1,0.51,,34.71,,
2003,2,1.81,,34.77,,
2003,3,1.25,,33.3,,
2003,4,3.51,,35.93,,
2003,5,4.23,,35.73,,
2003,6,3.58,,36.35,,
2003,7,2.19,,37.27,,
2003,8,5.9,,40.13,,
2003,9,3.96,,42.89,,
2003,10,1.01,,40.52,,
2003,11,2.92,,43.16,,
2003,12,3.84,,43.1,,
2004,1,0.57,,39.92,,
2004,2,0.34,,41.75,,
2004,3,3.88,,44.28,,
2004,4,3.31,,41.89,,
2004,5,4.85,,40.87,,
2004,6,4.5,,39.85,,
2004,7,5.05,,41.34,,
2004,8,8.66,,38.05,,
2004,9,1.59,,36.91,,
2004,10,3.65,,38.51,,
2004,11,2.86,,38.6,,
2004,12,0.66,,37.01,,
2005,1,2.4,,37.02,,
2005,2,2.87,,35.77,,
2005,3,1.49,,33.06,,
2005,4,2.29,,34.56,,
2005,5,3.83,,35.2,,
2005,6,5.99,,36.74,,
2005,7,1.76,,33.4,,
2005,8,7.52,,35.56,,
2005,9,3.19,,34.75,,
2005,10,3.74,,33.48,,
2005,11,1.27,,32.92,,
2005,12,0.67,,33.49,,
2006,1,1.15,,34.5,,
2006,2,0.16,,33.35,,
2006,3,2.99,,34.39,,
2006,4,2.93,,34.01,,
2006,5,5.37,,33.78,,
2006,6,2.65,,33.17,,
2006,7,3.92,,37.92,,
2006,8,6.71,,35.72,,
2006,9,1.92,,32.33,,
2006,10,3.18,,32.08,,
2006,11,1.84,,33.42,,
2006,12,1.68,,31.98,,
2007,1,0,,31.51,,
2007,2,1.2,,31.9,,
2007,3,2.61,,33.57,,
2007,4,2.7,,33.99,,
2007,5,4.76,,35.98,,
2007,6,7.4,,35.11,,
2007,7,1.72,,35.22,,
2007,8,3.32,,41.62,,
2007,9,1.67,,40.8,,
2007,10,4.52,,45.96,,
2007,11,0.4,,45.07,,
2007,12,1.21,,46.79,,
2008,1,0.39,,47.38,,
2008,2,2.87,,46.99,,
2008,3,3.03,,45.44,,
2008,4,4.69,,46.98,,
2008,5,3.89,,47.51,,
2008,6,7.51,,47.38,,
2008,7,8.12,,46.26,,
2008,8,2.5,,41.24,,
2008,9,6.83,,46.91,,
2008,10,3.63,,41.02,,
2008,11,2.12,,44.7,,
2008,12,1.8,,44.56,,
2009,1,0,,44.56,,
2009,2,1.32,,45.05,,
2009,3,4.57,,44.84,,
2009,4,5.22,,42.55,,
2009,5,3.76,,42.73,,
2009,6,6.39,,45.05,,
2009,7,3.1,,45.5,,
2009,8,8.17,,50.16,,
2009,9,0.94,,47.31,,
2009,10,7.31,,52.54,,
2009,11,1.98,,45.44,,
2009,12,1.8,,44.94,,
2010,1,0.49,,43.87,,
2010,2,1.11,,43.61,,
2010,3,2.28,,44.7,,
2010,4,5.4,,44.3,,
2010,5,6.08,,43.1,,
2010,6,6.84,,41.45,,
2010,7,7.76,,39.01,,
2010,8,5.32,,36.2,,
2010,9,6.17,,34.56,,
2010,10,0.21,,29.36,,
2010,11,1.48,,29.5,,
2010,12,0.73,,33.59,,
2011,1,0.23,,35.59,,
2011,2,2.2,,35.78,,
2011,3,1.88,,35.86,,
2011,4,4.2,,38.13,,
2011,5,4.43,,36.65,,
2011,6,4.4,,35.75,,
2011,7,4.95,,32.92,,
2011,8,3.68,,29,,
2011,9,0.97,,28.92,,
2011,10,0.35,,31.13,,
2011,11,5.57,,33.23,,
2011,12,2.73,,29.07,,
2012,1,0.42,,27.59,,
2012,2,2.28,,29.03,,
2012,3,4.15,,28.4,,
2012,4,2.72,,26.82,,
2012,5,3.53,,30.48,,
2012,6,1.57,,34.89,,
2012,7,1.03,,35.83,,
2012,8,3.6,,36.09,,
2012,9,3.18,,33.29,,
2012,10,2.45,,31.83,,
2012,11,1.41,,32.73,,
2012,12,1.25,,33.23,,
2013,1,1.86,,32.73,,
2013,2,1.65,,31.04,,
2013,3,2.57,,29.71,,
2013,4,6.38,,28.23,,
2013,5,7.94,,26.41,,
2013,6,2.51,,19.04,,
2013,7,1.29,,23.95,,
2013,8,0.8,,25.57,,
2013,9,1.72,,30.45,,
2013,10,3.35,,30.85,,
2013,11,1.91,,34.84,,
2013,12,0.75,,34.08,,
2014,1,0.17,,34.56,,
2014,2,0.32,,35.48,,
2014,3,1.09,,36,,
2014,4,4.56,,36.61,,
2014,5,0.57,,35.02,,
2014,6,7.42,,41.89,,
2014,7,2.91,,38.71,,
2014,8,5.68,,43.6,,
2014,9,2.12,,39.51,,
2014,10,7.34,,38.12,,
2014,11,1.15,,33.02,,
2014,12,1.23,,37.97,,
2015,1,1.09,,41.05,,
2015,2,0.84,,40.93,,
2015,3,1.7,,40.44,,
2015,4,2.97,,40.85,,
2015,5,7.44,,41.29,,
2015,6,4.24,,38.88,,
2015,7,7.8,,37.34,,
2015,8,1.59,,35.96,,
2015,9,0.73,,39.43,,
2015,10,2.24,,41.87,,
2015,11,6.1,,43.17,,
2015,12,4.31,,37.48,,
2016,1,0.97,,34,,
2016,2,0.35,,33.99,,
2016,3,2.11,,34.11,,
2016,4,3.41,,35.49,,
2016,5,5.03,,37.78,,
2016,6,2.7,,36.49,,
2016,7,6.42,,44.78,,
2016,8,5.06,,41.76,,
2016,9,3.17,,39.23,,
2016,10,3.54,,36.63,,
2016,11,0.41,,38.41,,
2016,12,0.83,,38.25,,
2017,1,0.96,,37.44,,
2017,2,0.47,,37.46,,
2017,3,3.49,,39.73,,
2017,4,5.7,,39.14,,
2017,5,3.74,,33.93,,
2017,6,10.99,,32.07,,
2017,7,3.4,,23.57,,
2017,8,2.53,,23.18,,
2017,9,0.57,,27.93,,
2017,10,5.32,,29.02,,
2017,11,0.25,,28.92,,
2017,12,0.02,,29.72,,
2018,1,0.98,,32.68,,
2018,2,2.74,,32.88,,
2018,3,2.9,,31.77,,
2018,4,0.49,,32.13,,
2018,5,1.88,,38.34,,
2018,6,2.49,,43.77,,
2018,7,3.01,,48.17,,
2018,8,7.28,,49.54,,
2018,9,1.66,,46.3,,
2018,10,5.22,,49.29,,
2018,11,1.05,,46.87,,
2018,12,2.98,,47.09,,
2019,1,1.18,,45.82,,
2019,2,1.63,,45.96,,
2019,3,3.26,,45.12,,
2019,4,6.7,,46.43,,
2019,5,7.31,,42.31,,
2019,6,6.89,,39.51,,
2019,7,4.38,,38.43,,
2019,8,4.04,,38.64,,
2019,9,4.65,,36.37,,
2019,10,2.8,,35.98,,
2019,11,1.27,,34.37,,
2019,12,1.71,,35.8,,
2020,1,1.32,,35.26,,
2020,2,0.79,,35.49,,
2020,3,4.57,,34.81,,
2020,4,2.58,,35.08,,
2020,5,4.51,,36.03,,
2020,6,5.81,,35.58,,
2020,7,4.59,,41.88,,
2020,8,1.77,,40.56,,
2020,9,4.26,,40.65,,
2020,10,1.19,,37.3,,
2020,11,2.7,,40.19,,
2020,12,1.17,,37.95,,
2021,1,1.55,,37.87,,
2021,2,0.11,,36.91,,
2021,3,4.84,,37.39,,
2021,4,3.53,,36.31,,
2021,5,4.06,,34.75,,
2021,6,12.11,,33.7,,
2021,7,3.27,,24.9,,
2021,8,1.86,,25,,
2021,9,0.91,,25.33,,
2021,10,4.08,,25.15,,
2021,11,0.46,,22.83,,
2021,12,1.09,,25.84,,
2022,1,0.59,,25.91,,
2022,2,0.59,,28.43,,
2022,3,3.76,,30.99,,
2022,4,1.97,,29.7,,
2022,5,3.01,,28.93,,
2022,6,3.31,,27.2,,
2022,7,3.37,,24.68,,
2022,8,2.19,,22.38,,
2022,9,0.73,,28.07,,
2022,10,1.76,,28.49,,
2022,11,3.47,,30.42,,
2022,12,1.16,,27.87,,
2023,1,3.11,,29.2,,
2023,2,3.15,,27.9,,
2023,3,2.47,,24.84,,
2023,4,1.2,,25.16,,
2023,5,1.28,,29.59,,
2023,6,0.79,,31.95,,
2023,7,1.07,,,,
2023,8,7.88,,,,
2023,9,1.15,,,,
2023,10,3.69,,,,
2023,11,0.92,,,,
2023,12,2.49,,,,
2024,1,1.81,,,,
2024,2,0.09,,,,
2024,3,2.79,,,,
2024,4,5.63,,,,
2024,5,3.64,,,,
