Year,Month,Total,,,,
2000,1,6.53,,42.04,,7.732834776
2000,2,4.59,,36.66,,
2000,3,4.51,,36.89,,
2000,4,1.98,,35.13,,
2000,5,6.33,,33.56,,
2000,6,2.72,,29.46,,
2000,7,3.25,,29.81,,
2000,8,2.42,,31.87,,
2000,9,3.01,,31.64,,
2000,10,0.99,,31,,
2000,11,4.71,,34.35,,
2000,12,1,,36.37,,
2001,1,1.15,,43.36,,
2001,2,4.82,,46.83,,
2001,3,2.75,,43.45,,
2001,4,0.41,,47.98,,
2001,5,2.23,,52.93,,
2001,6,3.07,,56.49,,
2001,7,5.31,,57.34,,
2001,8,2.19,,54.71,,
2001,9,2.37,,54.11,,
2001,10,4.34,,55.83,,
2001,11,6.73,,54.91,,
2001,12,7.99,,50.98,,
2002,1,4.62,,48.88,,
2002,2,1.44,,44.92,,
2002,3,7.28,,48.65,,
2002,4,5.36,,43.51,,
2002,5,5.79,,42.92,,
2002,6,3.92,,41.57,,
2002,7,2.68,,45.09,,
2002,8,1.59,,45.71,,
2002,9,4.09,,47.07,,
2002,10,3.42,,48.34,,
2002,11,2.8,,46.26,,
2002,12,5.89,,48.24,,
2003,1,0.66,,45.11,,
2003,2,5.17,,46.83,,
2003,3,2.14,,43.7,,
2003,4,4.77,,44.33,,
2003,5,4.44,,42.35,,
2003,6,7.44,,41.54,,
2003,7,3.3,,35.52,,
2003,8,2.95,,34.11,,
2003,9,5.36,,33.92,,
2003,10,1.34,,28.84,,
2003,11,4.78,,32.04,,
2003,12,2.76,,34.18,,
2004,1,2.38,,34.02,,
2004,2,2.04,,37.48,,
2004,3,2.77,,37.99,,
2004,4,2.79,,38.22,,
2004,5,3.63,,38.77,,
2004,6,1.42,,35.86,,
2004,7,1.89,,36.64,,
2004,8,2.76,,40.07,,
2004,9,0.28,,41.65,,
2004,10,4.54,,44.13,,
2004,11,6.92,,39.59,,
2004,12,2.6,,36.17,,
2005,1,5.84,,34.49,,
2005,2,2.55,,33.27,,
2005,3,3,,32.88,,
2005,4,3.34,,34.9,,
2005,5,0.72,,35.51,,
2005,6,2.2,,41.51,,
2005,7,5.32,,41.78,,
2005,8,4.34,,39.95,,
2005,9,2.76,,38.61,,
2005,10,0,,47.47,,
2005,11,3.5,,51.81,,
2005,12,0.92,,52.92,,
2006,1,4.62,,56.39,,
2006,2,2.16,,57.84,,
2006,3,5.02,,58.52,,
2006,4,3.95,,55.95,,
2006,5,6.72,,54.8,,
2006,6,2.47,,51.37,,
2006,7,3.49,,55.54,,
2006,8,3,,55.16,,
2006,9,11.62,,52.41,,
2006,10,4.34,,43.61,,
2006,11,4.61,,46.87,,
2006,12,4.39,,44.65,,
2007,1,6.07,,47.38,,
2007,2,2.84,,43.11,,
2007,3,2.45,,43.22,,
2007,4,2.8,,50.25,,
2007,5,3.29,,53.35,,
2007,6,6.64,,55.21,,
2007,7,3.11,,51.93,,
2007,8,0.25,,51.75,,
2007,9,2.82,,52.64,,
2007,10,7.6,,50.62,,
2007,11,2.39,,45.35,,
2007,12,7.12,,45.12,,
2008,1,1.8,,42.72,,
2008,2,2.95,,43.71,,
2008,3,9.48,,43.77,,
2008,4,5.9,,36.77,,
2008,5,5.15,,36.37,,
2008,6,3.36,,37.18,,
2008,7,2.93,,37.45,,
2008,8,1.14,,38.91,,
2008,9,0.8,,40.42,,
2008,10,2.33,,43.06,,
2008,11,2.16,,50.49,,
2008,12,4.72,,49.24,,
2009,1,2.79,,49.43,,
2009,2,3.01,,49.5,,
2009,3,2.48,,47.73,,
2009,4,5.5,,49.96,,
2009,5,5.96,,48.89,,
2009,6,3.63,,47.83,,
2009,7,4.39,,44.87,,
2009,8,2.65,,42.43,,
2009,9,3.44,,42.21,,
2009,10,9.76,,42.44,,
2009,11,0.91,,33.14,,
2009,12,4.91,,37.22,,
2010,1,2.86,,34.88,,
2010,2,1.24,,32.47,,
2010,3,4.71,,37.02,,
2010,4,4.43,,37.67,,
2010,5,4.9,,46.14,,
2010,6,0.67,,47.84,,
2010,7,1.95,,50.58,,
2010,8,2.43,,49.89,,
2010,9,3.67,,48.82,,
2010,10,0.46,,48.1,,
2010,11,4.99,,49.47,,
2010,12,2.57,,54.54,,
2011,1,0.45,,58.25,,
2011,2,5.79,,61.24,,
2011,3,5.36,,57.23,,
2011,4,12.9,,55.97,,
2011,5,6.6,,43.74,,
2011,6,3.41,,39.65,,
2011,7,1.26,,38.15,,
2011,8,1.36,,39.11,,
2011,9,2.95,,37.99,,
2011,10,1.83,,39.85,,
2011,11,10.06,,42.53,,
2011,12,6.28,,35.24,,
2012,1,3.44,,31.26,,
2012,2,1.78,,32.9,,
2012,3,4.1,,34.63,,
2012,4,0.67,,32.91,,
2012,5,2.51,,37.35,,
2012,6,1.91,,38.87,,
2012,7,2.22,,42.68,,
2012,8,0.24,,43.33,,
2012,9,4.81,,45.71,,
2012,10,4.51,,43.68,,
2012,11,2.77,,44.65,,
2012,12,2.3,,43.97,,
2013,1,5.08,,49.94,,
2013,2,3.51,,46.54,,
2013,3,2.38,,44.91,,
2013,4,5.11,,45.42,,
2013,5,4.03,,48.21,,
2013,6,5.72,,46.43,,
2013,7,2.87,,47,,
2013,8,2.62,,46.07,,
2013,9,2.78,,46.05,,
2013,10,5.48,,45.47,,
2013,11,2.09,,44.61,,
2013,12,8.27,,44.78,,
2014,1,1.68,,38.93,,
2014,2,1.88,,39.77,,
2014,3,2.89,,40.21,,
2014,4,7.9,,44.89,,
2014,5,2.25,,42.32,,
2014,6,6.29,,45.79,,
2014,7,1.94,,41.27,,
2014,8,2.6,,47.45,,
2014,9,2.2,,47.03,,
2014,10,4.62,,46.09,,
2014,11,2.26,,43.27,,
2014,12,2.42,,49.83,,
2015,1,2.52,,54.29,,
2015,2,2.32,,53.46,,
2015,3,7.57,,53.17,,
2015,4,5.33,,53.87,,
2015,5,5.72,,51.23,,
2015,6,1.77,,49.7,,
2015,7,8.12,,49.2,,
2015,8,2.18,,48.78,,
2015,9,1.26,,53.91,,
2015,10,1.8,,53.62,,
2015,11,8.82,,52.01,,
2015,12,6.88,,46.12,,
2016,1,1.69,,45.05,,
2016,2,2.03,,45.36,,
2016,3,8.27,,44.98,,
2016,4,2.69,,42.25,,
2016,5,4.19,,47.15,,
2016,6,1.27,,47.46,,
2016,7,7.7,,50.36,,
2016,8,7.31,,44.38,,
2016,9,0.97,,40.17,,
2016,10,0.19,,40.26,,
2016,11,2.93,,42.59,,
2016,12,5.81,,40.94,,
2017,1,2,,38.18,,
2017,2,1.65,,38.76,,
2017,3,5.54,,45.43,,
2017,4,7.59,,44.3,,
2017,5,4.5,,42.42,,
2017,6,4.17,,42.36,,
2017,7,1.72,,43.34,,
2017,8,3.1,,43.36,,
2017,9,1.06,,43,,
2017,10,2.52,,46.53,,
2017,11,1.28,,47.67,,
2017,12,3.05,,51.13,,
2018,1,2.58,,52.39,,
2018,2,8.32,,53.76,,
2018,3,4.41,,55.46,,
2018,4,5.71,,56.11,,
2018,5,4.44,,56.64,,
2018,6,5.15,,59.21,,
2018,7,1.74,,59.56,,
2018,8,2.74,,63.18,,
2018,9,4.59,,64.76,,
2018,10,3.66,,60.6,,
2018,11,4.74,,63.83,,
2018,12,4.31,,64.07,,
2019,1,3.95,,62.18,,
2019,2,10.02,,63.17,,
2019,3,5.06,,59.8,,
2019,4,6.24,,62.65,,
2019,5,7.01,,59.31,,
2019,6,5.5,,57.62,,
2019,7,5.36,,57.46,,
2019,8,4.32,,55.63,,
2019,9,0.43,,58.45,,
2019,10,6.89,,60.87,,
2019,11,4.98,,62.38,,
2019,12,2.42,,59.87,,
2020,1,4.94,,59.84,,
2020,2,6.65,,59.22,,
2020,3,7.91,,54.54,,
2020,4,2.9,,51.12,,
2020,5,5.32,,53.64,,
2020,6,5.34,,53.25,,
2020,7,3.53,,51.93,,
2020,8,7.14,,55.57,,
2020,9,2.85,,51.88,,
2020,10,8.4,,51.52,,
2020,11,2.47,,48.15,,
2020,12,2.39,,47.55,,
2021,1,4.32,,48.86,,
2021,2,1.97,,49.9,,
2021,3,4.49,,52.99,,
2021,4,5.42,,52.28,,
2021,5,4.93,,52.54,,
2021,6,4.02,,55.24,,
2021,7,7.17,,53.81,,
2021,8,3.45,,48.59,,
2021,9,2.49,,48.04,,
2021,10,5.03,,46.61,,
2021,11,1.87,,42.76,,
2021,12,3.7,,43.06,,
2022,1,5.36,,43.73,,
2022,2,5.06,,45.34,,
2022,3,3.78,,44.08,,
2022,4,5.68,,48.41,,
2022,5,7.63,,45.77,,
2022,6,2.59,,40.67,,
2022,7,1.95,,38.82,,
2022,8,2.9,,40.86,,
2022,9,1.06,,51.65,,
2022,10,1.18,,52.29,,
2022,11,2.17,,54.58,,
2022,12,4.37,,53.43,,
2023,1,6.97,,50.76,,
2023,2,3.8,,50.7,,
2023,3,8.11,,47.42,,
2023,4,3.04,,41.87,,
2023,5,2.53,,42.18,,
2023,6,0.74,,48.31,,
2023,7,3.99,,,,
2023,8,13.69,,,,
2023,9,1.7,,,,
2023,10,3.47,,,,
2023,11,1.02,,,,
2023,12,1.7,,,,
2024,1,6.91,,,,
2024,2,0.52,,,,
2024,3,2.56,,,,
2024,4,3.35,,,,
