Year,Month,Total,,,,
2000,1,8.1,,47.44,,7.568955781
2000,2,4.14,,41.13,,
2000,3,7.68,,43.14,,
2000,4,1.53,,38.65,,
2000,5,8.68,,39.17,,
2000,6,3.29,,32.88,,
2000,7,1.69,,32.42,,
2000,8,1.22,,33.07,,
2000,9,2.55,,33.19,,
2000,10,0.91,,34.53,,
2000,11,5.4,,39.38,,
2000,12,2.25,,40.97,,
2001,1,1.79,,48.56,,
2001,2,6.15,,51.5,,
2001,3,3.19,,46.88,,
2001,4,2.05,,51.36,,
2001,5,2.39,,54.07,,
2001,6,2.83,,58.54,,
2001,7,2.34,,61.09,,
2001,8,1.34,,60.94,,
2001,9,3.89,,62.91,,
2001,10,5.76,,63.63,,
2001,11,6.99,,59.91,,
2001,12,9.84,,56.08,,
2002,1,4.73,,52.26,,
2002,2,1.53,,48.02,,
2002,3,7.67,,51.94,,
2002,4,4.76,,45.74,,
2002,5,6.86,,45.62,,
2002,6,5.38,,44.8,,
2002,7,2.19,,43.1,,
2002,8,3.31,,44.76,,
2002,9,4.61,,45.93,,
2002,10,2.04,,46.45,,
2002,11,3.16,,46.16,,
2002,12,6.02,,47.01,,
2003,1,0.49,,43.75,,
2003,2,5.45,,45.32,,
2003,3,1.47,,41.84,,
2003,4,4.64,,43.86,,
2003,5,6.04,,43.31,,
2003,6,3.68,,41.37,,
2003,7,3.85,,40.17,,
2003,8,4.48,,40.12,,
2003,9,5.13,,38.25,,
2003,10,1.75,,33.65,,
2003,11,4.01,,36.12,,
2003,12,2.76,,41.37,,
2004,1,2.06,,41.66,,
2004,2,1.97,,44.42,,
2004,3,3.49,,45.1,,
2004,4,4.09,,44.52,,
2004,5,4.1,,43.6,,
2004,6,2.48,,40.2,,
2004,7,3.8,,41.1,,
2004,8,2.61,,41.98,,
2004,9,0.53,,43.17,,
2004,10,4.22,,45.54,,
2004,11,9.26,,41.34,,
2004,12,3.05,,35.22,,
2005,1,4.82,,32.62,,
2005,2,2.65,,32.26,,
2005,3,2.91,,32,,
2005,4,3.17,,33.98,,
2005,5,0.7,,34.11,,
2005,6,3.38,,37.87,,
2005,7,4.68,,36.45,,
2005,8,3.8,,37.23,,
2005,9,2.9,,35.38,,
2005,10,0.02,,45.64,,
2005,11,3.14,,50.35,,
2005,12,0.45,,52.17,,
2006,1,4.46,,55.45,,
2006,2,2.39,,57.66,,
2006,3,4.89,,58.23,,
2006,4,3.3,,55.29,,
2006,5,4.46,,54.39,,
2006,6,1.96,,52.9,,
2006,7,5.46,,53.61,,
2006,8,1.95,,50.99,,
2006,9,13.16,,49.66,,
2006,10,4.73,,37.74,,
2006,11,4.96,,38.28,,
2006,12,3.73,,35.28,,
2007,1,6.67,,37.99,,
2007,2,2.96,,32.51,,
2007,3,1.95,,33.02,,
2007,4,2.4,,39.19,,
2007,5,2.97,,42.02,,
2007,6,2.67,,42.53,,
2007,7,2.84,,41.57,,
2007,8,0.62,,40.84,,
2007,9,1.24,,42.93,,
2007,10,5.27,,44.49,,
2007,11,1.96,,41.35,,
2007,12,6.44,,41.34,,
2008,1,1.19,,40.22,,
2008,2,3.47,,40.93,,
2008,3,8.12,,40.05,,
