Year,Month,Total,,,,
2000,1,0.68,,38.24,,8.539915647
2000,2,3.1,,41.27,,
2000,3,2.5,,43.03,,
2000,4,0.6,,42,,
2000,5,4.73,,45.04,,
2000,6,6.07,,47.72,,
2000,7,3.57,,47.65,,
2000,8,8.66,,49.93,,
2000,9,2.23,,44.77,,
2000,10,4.14,,44.62,,
2000,11,1.47,,44.9,,
2000,12,0.49,,45.3,,
2001,1,3.71,,45.79,,
2001,2,4.86,,44.99,,
2001,3,1.47,,40.74,,
2001,4,3.64,,40.94,,
2001,5,7.41,,42.18,,
2001,6,6,,44.39,,
2001,7,5.85,,41.65,,
2001,8,3.5,,39.69,,
2001,9,2.08,,43.45,,
2001,10,4.42,,43.06,,
2001,11,1.87,,43.26,,
2001,12,0.98,,42.08,,
2002,1,2.91,,42.18,,
2002,2,0.61,,39.97,,
2002,3,1.67,,40.9,,
2002,4,4.88,,41.84,,
2002,5,9.62,,41.4,,
2002,6,3.26,,36.36,,
2002,7,3.89,,39.4,,
2002,8,7.26,,36.57,,
2002,9,1.69,,32.54,,
2002,10,4.62,,38.92,,
2002,11,0.69,,35.96,,
2002,12,1.08,,37.51,,
2003,1,0.7,,40.03,,
2003,2,1.54,,41.35,,
2003,3,2.61,,40.64,,
2003,4,4.44,,44.6,,
2003,5,4.58,,43.34,,
2003,6,6.3,,44.36,,
2003,7,1.06,,39.53,,
2003,8,3.23,,43.89,,
2003,9,8.07,,46.54,,
2003,10,1.66,,40.09,,
2003,11,2.24,,42.74,,
2003,12,3.6,,45.97,,
2004,1,2.02,,43.47,,
2004,2,0.83,,47.52,,
2004,3,6.57,,48.83,,
2004,4,3.18,,43.1,,
2004,5,5.6,,43.41,,
2004,6,1.47,,40.87,,
2004,7,5.42,,44.04,,
2004,8,5.88,,39.17,,
2004,9,1.62,,40.94,,
2004,10,4.31,,44.65,,
2004,11,5.47,,42.99,,
2004,12,1.1,,38.85,,
2005,1,6.07,,38.5,,
2005,2,2.14,,34.26,,
2005,3,0.84,,32.18,,
2005,4,3.49,,34.45,,
2005,5,3.06,,33.02,,
2005,6,4.64,,32.43,,
2005,7,0.55,,32.69,,
2005,8,7.65,,34.83,,
2005,9,5.33,,31.41,,
2005,10,2.65,,26.65,,
2005,11,1.33,,27.22,,
2005,12,0.75,,28.2,,
2006,1,1.83,,28.87,,
2006,2,0.06,,28.93,,
2006,3,3.11,,30.65,,
2006,4,2.06,,30.68,,
2006,5,2.47,,32.15,,
2006,6,4.9,,32.88,,
2006,7,2.69,,32.21,,
2006,8,4.23,,31.64,,
2006,9,0.57,,29.9,,
2006,10,3.22,,30.95,,
2006,11,2.31,,30.69,,
2006,12,1.42,,30.37,,
2007,1,1.89,,31.97,,
2007,2,1.78,,32.8,,
2007,3,3.14,,34.24,,
2007,4,3.53,,36.2,,
2007,5,3.2,,37.02,,
2007,6,4.23,,40.24,,
2007,7,2.12,,42.13,,
2007,8,2.49,,50.22,,
2007,9,1.62,,50.56,,
2007,10,2.96,,59.71,,
2007,11,1.99,,58.7,,
2007,12,3.02,,57.79,,
2008,1,2.72,,56.98,,
2008,2,3.22,,54.38,,
2008,3,5.1,,53.93,,
2008,4,4.35,,52.45,,
2008,5,6.42,,54.21,,
2008,6,6.12,,52.51,,
2008,7,10.21,,54.45,,
2008,8,2.83,,49.69,,
2008,9,10.77,,50.71,,
2008,10,1.95,,42.82,,
2008,11,1.08,,51.65,,
2008,12,2.21,,52.33,,
2009,1,0.12,,53.15,,
2009,2,2.77,,54.91,,
2009,3,3.62,,54.74,,
2009,4,6.11,,54.01,,
2009,5,4.72,,55.92,,
2009,6,8.06,,56.61,,
2009,7,5.45,,55.19,,
2009,8,3.85,,60.64,,
2009,9,2.88,,60.53,,
2009,10,10.78,,65.01,,
2009,11,1.76,,54.82,,
2009,12,3.03,,54.49,,
2010,1,1.88,,53.5,,
2010,2,2.6,,51.93,,
2010,3,2.89,,51.87,,
2010,4,8.02,,52.43,,
2010,5,5.41,,47.55,,
2010,6,6.64,,48.63,,
2010,7,10.9,,45.22,,
2010,8,3.74,,35.63,,
2010,9,7.36,,35.01,,
2010,10,0.59,,29.99,,
2010,11,1.43,,30.11,,
2010,12,2.04,,33.09,,
2011,1,0.31,,34.19,,
2011,2,2.54,,34.62,,
2011,3,3.45,,34.59,,
2011,4,3.14,,35.21,,
2011,5,6.49,,38.51,,
2011,6,3.23,,33.04,,
2011,7,1.31,,31.45,,
2011,8,3.12,,31,,
2011,9,2.34,,29.72,,
2011,10,0.71,,29.1,,
2011,11,4.41,,31.03,,
2011,12,3.14,,28.06,,
2012,1,0.74,,25.96,,
2012,2,2.51,,27.86,,
2012,3,4.07,,27.29,,
2012,4,6.44,,26.4,,
2012,5,1.02,,26.86,,
2012,6,1.64,,36.04,,
2012,7,0.86,,35.84,,
2012,8,1.84,,36.44,,
2012,9,1.72,,36.83,,
2012,10,2.64,,37.81,,
2012,11,1.44,,38.17,,
2012,12,1.04,,38.12,,
2013,1,2.64,,38.67,,
2013,2,1.94,,36.41,,
2013,3,3.18,,34.93,,
2013,4,6.9,,33.59,,
2013,5,10.2,,32.94,,
2013,6,1.44,,24.49,,
2013,7,1.46,,28.94,,
2013,8,2.23,,29.23,,
2013,9,2.7,,30.35,,
2013,10,3,,34.12,,
2013,11,1.39,,40.25,,
2013,12,1.59,,39.75,,
2014,1,0.38,,40.04,,
2014,2,0.46,,40.49,,
2014,3,1.84,,41.04,,
2014,4,6.25,,41.45,,
2014,5,1.75,,38.38,,
2014,6,5.89,,41.46,,
2014,7,1.75,,40.61,,
2014,8,3.35,,48.11,,
2014,9,6.47,,47.23,,
2014,10,9.13,,41.44,,
