Year,Month,Total,,,,
2000,1,1.19,,28.15,,6.676545041
2000,2,1.69,,28.59,,
2000,3,2.45,,30.77,,
2000,4,0.57,,29.81,,
2000,5,1.48,,31.9,,
2000,6,4.36,,34.36,,
2000,7,5.34,,34.42,,
2000,8,2.47,,32.51,,
2000,9,1.66,,33.45,,
2000,10,3.09,,35.83,,
2000,11,2.6,,35.38,,
2000,12,1.25,,36.49,,
2001,1,1.63,,38.56,,
2001,2,3.87,,40.09,,
2001,3,1.49,,37.01,,
2001,4,2.66,,40.32,,
2001,5,3.94,,41.5,,
2001,6,4.42,,47.49,,
2001,7,3.43,,45.92,,
2001,8,3.41,,46.56,,
2001,9,4.04,,49.25,,
2001,10,2.64,,47.06,,
2001,11,3.71,,48,,
2001,12,3.32,,45.09,,
2002,1,3.16,,43.72,,
2002,2,0.79,,41.34,,
2002,3,4.8,,42.94,,
2002,4,3.84,,40.62,,
2002,5,9.93,,40.89,,
2002,6,2.85,,36.08,,
2002,7,4.07,,38.53,,
2002,8,6.1,,36.18,,
2002,9,1.85,,32.78,,
2002,10,3.58,,34.48,,
2002,11,0.8,,33.49,,
2002,12,1.95,,37.79,,
2003,1,0.78,,37.6,,
2003,2,2.39,,39.53,,
2003,3,2.48,,37.72,,
2003,4,4.11,,40.05,,
2003,5,5.12,,39.64,,
2003,6,5.3,,39.79,,
2003,7,1.72,,38.13,,
2003,8,2.7,,38.73,,
2003,9,3.55,,39.35,,
2003,10,2.59,,35.83,,
2003,11,5.1,,37.31,,
2003,12,1.76,,39.46,,
2004,1,2.71,,38.65,,
2004,2,0.58,,41.78,,
2004,3,4.81,,43.39,,
2004,4,3.7,,40.01,,
2004,5,5.27,,39.21,,
2004,6,3.64,,35.94,,
2004,7,2.32,,34.88,,
2004,8,3.32,,36.84,,
2004,9,0.03,,36.83,,
2004,10,4.07,,43.51,,
2004,11,7.25,,40.91,,
2004,12,0.95,,37.53,,
2005,1,5.84,,37.52,,
2005,2,2.19,,33.85,,
2005,3,1.43,,32.28,,
2005,4,2.9,,35.43,,
2005,5,2,,36.53,,
2005,6,2.58,,39.05,,
2005,7,4.28,,38.92,,
2005,8,3.31,,35.87,,
2005,9,6.71,,36.37,,
2005,10,1.47,,31.79,,
2005,11,3.87,,33.65,,
2005,12,0.94,,35.1,,
2006,1,2.17,,36.55,,
2006,2,0.62,,37.82,,
2006,3,4.58,,39.43,,
2006,4,4,,37.31,,
2006,5,4.52,,37.44,,
2006,6,2.45,,35.8,,
2006,7,1.23,,40.37,,
2006,8,3.81,,39.98,,
2006,9,2.13,,37.83,,
2006,10,3.33,,40.42,,
2006,11,5.32,,38.12,,
2006,12,2.39,,34.39,,
2007,1,3.44,,35.93,,
2007,2,2.23,,34.74,,
2007,3,2.46,,37.61,,
2007,4,4.13,,46.32,,
2007,5,2.88,,47.12,,
2007,6,7.02,,49.17,,
2007,7,0.84,,44.27,,
2007,8,1.66,,48.34,,
2007,9,4.72,,51.03,,
2007,10,1.03,,54.2,,
2007,11,1.59,,54.5,,
2007,12,3.93,,53.75,,
2008,1,2.25,,52.76,,
2008,2,5.1,,51.69,,
2008,3,11.17,,48.98,,
2008,4,4.93,,41.16,,
2008,5,4.93,,41.63,,
2008,6,2.12,,42.71,,
2008,7,4.91,,47.92,,
2008,8,4.35,,45.1,,
2008,9,7.89,,42.76,,
2008,10,1.33,,40.51,,
2008,11,0.84,,49.76,,
2008,12,2.94,,51.82,,
2009,1,1.18,,50.6,,
2009,2,2.39,,52.17,,
2009,3,3.35,,51.53,,
2009,4,5.4,,51.26,,
2009,5,6.01,,50.43,,
2009,6,7.33,,49.31,,
2009,7,2.09,,46.48,,
2009,8,2.01,,53.63,,
2009,9,5.64,,53.91,,
2009,10,10.58,,54.63,,
2009,11,2.9,,44.34,,
2009,12,1.72,,46.15,,
2010,1,2.75,,45.67,,
2010,2,1.75,,43.33,,
2010,3,3.08,,46.13,,
2010,4,4.57,,47.82,,
2010,5,4.89,,50.6,,
2010,6,4.5,,52.04,,
2010,7,9.24,,50.67,,
2010,8,2.29,,44.17,,
2010,9,6.36,,46.38,,
2010,10,0.29,,42.64,,
2010,11,4.71,,43.92,,
2010,12,1.24,,42.86,,
2011,1,0.41,,45.24,,
2011,2,4.55,,46.58,,
2011,3,4.77,,43.99,,
2011,4,7.35,,41.93,,
2011,5,6.33,,36.32,,
2011,6,3.13,,31.33,,
2011,7,2.74,,29.27,,
2011,8,4.5,,28.47,,
2011,9,2.62,,27.83,,
2011,10,1.57,,30.56,,
2011,11,3.65,,33.21,,
2011,12,3.62,,31.43,,
2012,1,1.75,,29.17,,
2012,2,1.96,,31.07,,
2012,3,2.71,,32.89,,
2012,4,1.74,,36.1,,
2012,5,1.34,,39.33,,
2012,6,1.07,,44.18,,
2012,7,1.94,,46.12,,
2012,8,3.86,,46.89,,
2012,9,5.35,,50.89,,
2012,10,4.22,,50.58,,
2012,11,1.87,,49.58,,
2012,12,1.36,,49.37,,
2013,1,3.65,,49.93,,
2013,2,3.78,,47.39,,
2013,3,5.92,,44.25,,
2013,4,4.97,,40.45,,
2013,5,6.19,,38.85,,
2013,6,3.01,,35.38,,
2013,7,2.71,,36.08,,
2013,8,7.86,,34.38,,
2013,9,5.04,,28.67,,
2013,10,3.22,,24.67,,
2013,11,1.66,,25.35,,
2013,12,1.92,,25.53,,
2014,1,1.11,,26.18,,
2014,2,0.64,,26.51,,
2014,3,2.12,,27.52,,
2014,4,3.37,,28.63,,
2014,5,2.72,,27.1,,
2014,6,3.71,,31.91,,
2014,7,1.01,,34.94,,
2014,8,2.15,,38.79,,
2014,9,1.04,,41.24,,
2014,10,3.9,,40.55,,
2014,11,1.84,,37.89,,
2014,12,2.57,,43.94,,
2015,1,1.44,,50.35,,
2015,2,1.65,,49.78,,
2015,3,3.23,,49.72,,
2015,4,1.84,,50.21,,
2015,5,7.53,,51.55,,
2015,6,6.74,,50.08,,
2015,7,4.86,,44.1,,
2015,8,4.6,,45.46,,
2015,9,0.35,,45.02,,
2015,10,1.24,,48.73,,
2015,11,7.89,,49.79,,
2015,12,8.98,,42.71,,
2016,1,0.87,,35.08,,
2016,2,1.59,,34.56,,
2016,3,3.72,,34.99,,
2016,4,3.18,,34.94,,
2016,5,6.06,,43.59,,
2016,6,0.76,,45.52,,
2016,7,6.22,,46.46,,
2016,8,4.16,,41.85,,
2016,9,4.06,,41.61,,
2016,10,2.3,,37.63,,
2016,11,0.81,,37.2,,
2016,12,1.35,,36.64,,
2017,1,0.35,,36.37,,
2017,2,2.02,,38.19,,
2017,3,3.67,,43.27,,
2017,4,11.83,,44.94,,
2017,5,7.99,,35.85,,
2017,6,1.7,,32.64,,
2017,7,1.61,,34.18,,
2017,8,3.92,,35.18,,
2017,9,0.08,,34.99,,
2017,10,1.87,,40.55,,
2017,11,0.25,,43.49,,
2017,12,1.08,,46.49,,
2018,1,2.17,,49.56,,
2018,2,7.1,,49.18,,
2018,3,5.34,,46.4,,
