Year,Month,Total,,,,
2000,1,0.04,,27.89,,5.175241877
2000,2,2.39,,29.17,,
2000,3,1.65,,29.16,,
2000,4,2.06,,29.74,,
2000,5,1.18,,29.56,,
2000,6,7.59,,30.28,,
2000,7,5.41,,28.94,,
2000,8,2.29,,27.94,,
2000,9,1.71,,26.63,,
2000,10,1.24,,29.43,,
2000,11,2.28,,30.71,,
2000,12,0.05,,29.22,,
2001,1,1.32,,29.53,,
2001,2,2.38,,28.35,,
2001,3,2.23,,26.73,,
2001,4,1.88,,25.78,,
2001,5,1.9,,25.92,,
2001,6,6.25,,29.29,,
2001,7,4.41,,23.61,,
2001,8,0.98,,21.4,,
2001,9,4.51,,23.52,,
2001,10,2.52,,21.08,,
2001,11,0.79,,23.67,,
2001,12,0.36,,23.27,,
2002,1,0.14,,22.91,,
2002,2,0.76,,22.87,,
2002,3,1.28,,22.57,,
2002,4,2.02,,22.62,,
2002,5,5.27,,23.93,,
2002,6,0.57,,21.96,,
2002,7,2.2,,28.15,,
2002,8,3.1,,26.39,,
2002,9,2.07,,24.58,,
2002,10,5.11,,23.53,,
2002,11,0.39,,19.22,,
2002,12,0,,24.04,,
2003,1,0.1,,25.5,,
2003,2,0.46,,25.72,,
2003,3,1.33,,25.94,,
2003,4,3.33,,28.29,,
2003,5,3.3,,26.17,,
2003,6,6.76,,28.95,,
2003,7,0.44,,24.04,,
2003,8,1.29,,26.88,,
2003,9,1.02,,28.4,,
2003,10,0.8,,27.99,,
2003,11,5.21,,27.94,,
2003,12,1.46,,23.78,,
2004,1,0.32,,22.63,,
2004,2,0.68,,22.87,,
2004,3,3.68,,24.6,,
2004,4,1.21,,21.64,,
2004,5,6.08,,26.86,,
2004,6,1.85,,24.75,,
2004,7,3.28,,27.02,,
2004,8,2.81,,28.77,,
2004,9,0.61,,31.98,,
2004,10,0.75,,31.87,,
2004,11,1.05,,33.72,,
2004,12,0.31,,33.95,,
2005,1,0.56,,34.65,,
2005,2,2.41,,34.91,,
2005,3,0.72,,32.51,,
2005,4,6.43,,33.6,,
2005,5,3.97,,30.64,,
2005,6,4.12,,28.62,,
2005,7,5.03,,26.88,,
2005,8,6.02,,23.92,,
2005,9,0.5,,23.49,,
2005,10,2.6,,26.46,,
2005,11,1.28,,26.26,,
2005,12,1.01,,25.67,,
2006,1,0.82,,26.79,,
2006,2,0.01,,26.21,,
2006,3,1.81,,26.79,,
2006,4,3.47,,27.53,,
2006,5,1.95,,27,,
2006,6,2.38,,33.37,,
2006,7,2.07,,32.28,,
2006,8,5.59,,32.7,,
2006,9,3.47,,37.77,,
2006,10,2.4,,35.67,,
2006,11,0.69,,38.51,,
2006,12,2.13,,37.91,,
2007,1,0.24,,37.81,,
2007,2,0.59,,37.7,,
2007,3,2.55,,37.93,,
2007,4,2.94,,37.87,,
2007,5,8.32,,38.23,,
2007,6,1.29,,35.35,,
2007,7,2.49,,38.72,,
2007,8,10.66,,38.96,,
2007,9,1.37,,28.98,,
2007,10,5.24,,32.18,,
2007,11,0.09,,31.07,,
2007,12,2.03,,32.04,,
2008,1,0.13,,30.52,,
2008,2,0.82,,30.42,,
2008,3,2.49,,29.93,,
