Year,Month,Total,,,,
2000,1,3.31,,38.16,,8.55826518
2000,2,4.37,,35.99,,
2000,3,2.76,,34.79,,
2000,4,0.99,,34.8,,
2000,5,3.44,,35.39,,
2000,6,4.53,,35.02,,
2000,7,3.57,,32.5,,
2000,8,2.21,,36.14,,
2000,9,3.69,,35.1,,
2000,10,1.6,,32.39,,
2000,11,5.16,,35.06,,
2000,12,2.53,,34.32,,
2001,1,1.14,,38.45,,
2001,2,3.17,,42.16,,
2001,3,2.77,,40.64,,
2001,4,1.58,,45.08,,
2001,5,3.07,,50.03,,
2001,6,2.01,,58.81,,
2001,7,7.21,,61.44,,
2001,8,1.17,,56.2,,
2001,9,0.98,,60.14,,
2001,10,4.27,,61.19,,
2001,11,4.42,,59.76,,
2001,12,6.66,,57.09,,
2002,1,4.85,,56.12,,
2002,2,1.65,,51.63,,
2002,3,7.21,,53.25,,
2002,4,6.53,,47.54,,
2002,5,11.85,,44.11,,
2002,6,4.64,,39.68,,
2002,7,1.97,,39.99,,
2002,8,5.11,,40.15,,
2002,9,2.03,,41.48,,
2002,10,2.84,,45.18,,
2002,11,1.75,,44.29,,
2002,12,5.69,,47.36,,
2003,1,0.36,,43.65,,
2003,2,3.27,,45.58,,
2003,3,1.5,,43.76,,
2003,4,3.1,,46,,
2003,5,7.42,,46.13,,
2003,6,4.95,,43.09,,
2003,7,2.13,,39.32,,
2003,8,6.44,,41.75,,
2003,9,5.73,,38.94,,
2003,10,1.95,,33.29,,
2003,11,4.82,,36.19,,
2003,12,1.98,,38.04,,
2004,1,2.29,,37.53,,
2004,2,1.45,,39.61,,
2004,3,3.74,,40.72,,
2004,4,3.23,,39.18,,
2004,5,4.38,,41.11,,
2004,6,1.18,,38.37,,
2004,7,4.56,,39.43,,
2004,8,3.63,,40.83,,
2004,9,0.08,,40.04,,
2004,10,4.85,,45.05,,
2004,11,6.67,,41.24,,
2004,12,1.47,,40.14,,
2005,1,4.37,,39.18,,
2005,2,2.56,,38.84,,
2005,3,2.2,,38.15,,
2005,4,5.16,,44.55,,
2005,5,1.64,,42.85,,
2005,6,2.24,,46.53,,
2005,7,5.96,,46.68,,
2005,8,2.84,,45.16,,
2005,9,5.09,,50.15,,
2005,10,1.04,,49.19,,
2005,11,5.57,,55.02,,
2005,12,0.51,,54.03,,
2006,1,4.03,,56.79,,
2006,2,1.87,,57.66,,
2006,3,8.6,,59.62,,
2006,4,3.46,,52.55,,
2006,5,5.32,,52.18,,
2006,6,2.39,,50.4,,
2006,7,4.44,,49.63,,
2006,8,7.83,,47.32,,
2006,9,4.13,,39.87,,
2006,10,6.87,,38.14,,
2006,11,4.58,,37.89,,
2006,12,3.27,,34.73,,
2007,1,4.9,,39.29,,
2007,2,3.83,,36.17,,
2007,3,1.53,,36.29,,
2007,4,3.09,,52.07,,
2007,5,3.54,,55.94,,
2007,6,1.62,,58.49,,
2007,7,2.13,,60.25,,
2007,8,0.38,,62.28,,
2007,9,2.4,,64.31,,
2007,10,6.62,,64.96,,
2007,11,1.42,,60.83,,
2007,12,7.83,,61.79,,
2008,1,1.78,,57.32,,
2008,2,3.95,,56.54,,
2008,3,17.31,,55.05,,
2008,4,6.96,,41.22,,
2008,5,6.09,,39.2,,
2008,6,3.38,,37.29,,
2008,7,4.16,,37.1,,
2008,8,2.41,,35.13,,
2008,9,3.05,,36.29,,
2008,10,2.49,,36.11,,
2008,11,2.38,,45.19,,
2008,12,3.36,,44.73,,
2009,1,1,,47.36,,
2009,2,2.46,,48.34,,
2009,3,3.48,,47.23,,
2009,4,4.94,,48.93,,
2009,5,4.18,,49.11,,
2009,6,3.19,,49.06,,
2009,7,2.19,,46.61,,
2009,8,3.57,,47.24,,
2009,9,2.87,,44.62,,
2009,10,11.57,,47.25,,
2009,11,1.92,,36.23,,
2009,12,5.99,,39.53,,
2010,1,1.98,,34.88,,
2010,2,1.35,,33.2,,
2010,3,5.18,,36.58,,
2010,4,5.12,,35.74,,
2010,5,4.13,,49.2,,
2010,6,0.74,,52.55,,
2010,7,2.82,,56.94,,
2010,8,0.95,,55.81,,
2010,9,5.5,,56.94,,
2010,10,0.55,,57.23,,
2010,11,5.22,,58.27,,
2010,12,1.34,,63.58,,
2011,1,0.3,,68.57,,
2011,2,4.73,,71.38,,
2011,3,4.34,,68.91,,
2011,4,18.58,,67.79,,
2011,5,7.48,,50.13,,
2011,6,5.13,,43.21,,
2011,7,1.69,,39.61,,
2011,8,2.08,,41.43,,
2011,9,5.79,,41.82,,
2011,10,1.59,,40.7,,
2011,11,10.53,,43.3,,
2011,12,6.33,,34.53,,
2012,1,3.11,,30.89,,
2012,2,2.26,,32.42,,
2012,3,3.22,,33.63,,
2012,4,0.92,,33.96,,
2012,5,0.56,,37.37,,
2012,6,1.53,,42.16,,
2012,7,3.51,,50.03,,
2012,8,2.47,,49.06,,
2012,9,4.67,,50.01,,
2012,10,4.19,,46.14,,
2012,11,1.76,,47.21,,
2012,12,2.69,,48.57,,
2013,1,4.64,,52.33,,
2013,2,3.47,,49.92,,
2013,3,3.55,,47.28,,
2013,4,4.33,,45.97,,
2013,5,5.35,,49.94,,
2013,6,9.4,,49.54,,
2013,7,2.54,,45.01,,
2013,8,3.42,,45.33,,
2013,9,0.8,,45.78,,
2013,10,5.26,,47.49,,
2013,11,3.12,,46.86,,
2013,12,6.45,,45.64,,
2014,1,2.23,,42.01,,
2014,2,0.83,,44.1,,
2014,3,2.24,,43.99,,
2014,4,8.3,,49.05,,
2014,5,4.95,,44.08,,
2014,6,4.87,,45.25,,
2014,7,2.86,,45.23,,
2014,8,3.87,,47.46,,
2014,9,2.51,,46.27,,
2014,10,4.63,,45.05,,
2014,11,1.9,,41.27,,
2014,12,2.82,,48.8,,
2015,1,4.32,,52.94,,
2015,2,0.72,,49.96,,
2015,3,7.3,,52.81,,
2015,4,3.33,,50.51,,
2015,5,6.12,,51.89,,
2015,6,4.85,,55.24,,
2015,7,5.09,,51.41,,
2015,8,2.68,,53.17,,
2015,9,1.29,,61.84,,
2015,10,0.85,,64.6,,
2015,11,9.43,,64.81,,
2015,12,6.96,,58.95,,
2016,1,1.34,,55.35,,
2016,2,3.57,,56.38,,
2016,3,5,,53.77,,
2016,4,4.71,,51.78,,
2016,5,9.47,,59.78,,
2016,6,1.02,,55.68,,
