Year,Month,Total,,,,
2000,1,6.2,,39.22,,8.636883909
2000,2,3.42,,34.63,,
2000,3,3.89,,37.09,,
2000,4,1.8,,36.03,,
2000,5,7.56,,35.88,,
2000,6,2.67,,31.06,,
2000,7,2.05,,30.84,,
2000,8,1.17,,30.63,,
2000,9,2.3,,30.32,,
2000,10,0.76,,30.25,,
2000,11,5.68,,34.16,,
2000,12,1.72,,36.15,,
2001,1,1.61,,43,,
2001,2,5.88,,46.08,,
2001,3,2.83,,41.52,,
2001,4,1.65,,46.11,,
2001,5,2.74,,47.03,,
2001,6,2.45,,50.57,,
2001,7,1.84,,51.28,,
2001,8,0.86,,51.27,,
2001,9,2.23,,51.67,,
2001,10,4.67,,53.44,,
2001,11,7.67,,50.68,,
2001,12,8.57,,44.95,,
2002,1,4.69,,42.62,,
2002,2,1.32,,38.31,,
2002,3,7.42,,41.82,,
2002,4,2.57,,35.93,,
2002,5,6.28,,37.14,,
2002,6,3.16,,34.68,,
2002,7,1.83,,33.69,,
2002,8,1.26,,35.55,,
2002,9,4,,38.89,,
2002,10,1.91,,37.93,,
2002,11,1.94,,37.68,,
2002,12,6.24,,40.17,,
2003,1,0.38,,36.59,,
2003,2,4.83,,38.08,,
2003,3,1.53,,35.05,,
2003,4,3.78,,36.39,,
2003,5,3.82,,36.71,,
2003,6,2.17,,36.21,,
2003,7,3.69,,35.62,,
2003,8,4.6,,35.95,,
2003,9,3.04,,35,,
2003,10,1.66,,32.07,,
2003,11,4.43,,34.43,,
2003,12,2.66,,39.29,,
2004,1,1.87,,39.26,,
2004,2,1.8,,42.82,,
2004,3,2.87,,43.56,,
2004,4,4.1,,43.31,,
2004,5,3.32,,43,,
2004,6,1.58,,40.13,,
2004,7,4.02,,39.8,,
2004,8,3.65,,40.94,,
2004,9,0.11,,40.9,,
2004,10,4.02,,44.62,,
2004,11,9.29,,40.6,,
2004,12,2.63,,34.43,,
2005,1,5.43,,32.31,,
2005,2,2.54,,30.46,,
2005,3,2.62,,30.31,,
2005,4,3.79,,32.2,,
2005,5,0.45,,30.39,,
2005,6,1.25,,33.35,,
2005,7,5.16,,33.7,,
2005,8,3.61,,33.38,,
2005,9,3.83,,34.74,,
2005,10,0,,46.09,,
2005,11,3.12,,50.73,,
2005,12,0.51,,52.5,,
2006,1,3.58,,55.35,,
2006,2,2.39,,57.51,,
2006,3,4.51,,58.89,,
2006,4,1.98,,55.98,,
2006,5,3.41,,56.56,,
2006,6,1.6,,57.68,,
2006,7,4.84,,57.65,,
2006,8,4.97,,55.38,,
2006,9,15.18,,50.44,,
2006,10,4.64,,36.72,,
2006,11,4.89,,38.9,,
2006,12,3.36,,35.85,,
2007,1,5.74,,39.38,,
2007,2,3.77,,35.5,,
2007,3,1.6,,35.49,,
2007,4,2.56,,42.75,,
2007,5,4.53,,44.33,,
2007,6,1.57,,44.79,,
2007,7,2.57,,44.4,,
2007,8,0.03,,43.5,,
2007,9,1.46,,45.89,,
2007,10,6.82,,49.06,,
2007,11,1.84,,44.2,,
2007,12,6.89,,43.74,,
2008,1,1.86,,40.43,,
2008,2,3.76,,40.6,,
2008,3,8.86,,39.52,,
2008,4,4.14,,33.25,,
2008,5,4.99,,34.88,,
2008,6,1.18,,37.43,,
2008,7,1.67,,38.92,,
2008,8,2.42,,42.13,,
2008,9,4.63,,41.97,,
2008,10,1.96,,39.53,,
2008,11,1.38,,47.59,,
2008,12,3.58,,47.77,,
2009,1,2.03,,51.48,,
2009,2,2.68,,52.19,,
2009,3,2.59,,50.98,,
2009,4,5.77,,52.64,,
2009,5,7.54,,51.11,,
2009,6,2.67,,48.65,,
2009,7,4.88,,46.01,,
2009,8,2.26,,43.69,,
2009,9,2.19,,42.22,,
2009,10,10.02,,40.94,,
2009,11,1.56,,31.59,,
2009,12,7.29,,33.47,,
2010,1,2.74,,28.07,,
2010,2,1.47,,25.5,,
2010,3,4.25,,29.46,,
2010,4,4.24,,29.77,,
2010,5,5.08,,38.72,,
2010,6,0.03,,42.54,,
2010,7,2.56,,44.58,,
2010,8,0.79,,44.76,,
2010,9,0.91,,46.37,,
2010,10,0.67,,48.72,,
2010,11,3.44,,49.34,,
2010,12,1.89,,56.42,,
2011,1,0.17,,61.91,,
2011,2,5.43,,63.72,,
2011,3,4.56,,61.17,,
2011,4,13.19,,61.89,,
2011,5,8.9,,50.01,,
2011,6,2.07,,41.96,,
2011,7,2.74,,40.63,,
2011,8,2.4,,40.18,,
2011,9,3.26,,39.56,,
2011,10,1.29,,40.37,,
2011,11,10.52,,41.51,,
2011,12,7.38,,32.79,,
2012,1,1.98,,28.34,,
2012,2,2.88,,31.63,,
2012,3,5.28,,32.72,,
2012,4,1.31,,29.51,,
2012,5,0.85,,34.48,,
2012,6,0.74,,39.07,,
2012,7,2.29,,42.15,,
2012,8,1.78,,45.14,,
2012,9,4.07,,47.53,,
2012,10,2.43,,44.95,,
2012,11,1.8,,48.3,,
2012,12,2.93,,48.11,,
2013,1,5.27,,52.27,,
2013,2,3.97,,49.07,,
2013,3,2.07,,46.29,,
2013,4,6.28,,46.93,,
2013,5,5.44,,52.78,,
2013,6,3.82,,52.1,,
2013,7,5.28,,52.54,,
2013,8,4.17,,49,,
2013,9,1.49,,48.55,,
2013,10,5.78,,48.54,,
2013,11,1.61,,46.99,,
2013,12,7.09,,47.14,,
2014,1,2.07,,42.09,,
2014,2,1.19,,42.98,,
2014,3,2.71,,43.5,,
2014,4,12.13,,48.69,,
2014,5,4.76,,42.55,,
2014,6,4.26,,43.75,,
2014,7,1.74,,42.01,,
2014,8,3.72,,47.4,,
2014,9,1.48,,47.81,,
2014,10,4.23,,47.06,,
2014,11,1.76,,44.98,,
2014,12,2.04,,53.63,,
2015,1,2.96,,59.02,,
2015,2,1.71,,57.74,,
2015,3,7.9,,57.79,,
2015,4,5.99,,55.83,,
2015,5,5.96,,52.88,,
2015,6,2.52,,53.99,,
2015,7,7.13,,53.74,,
2015,8,4.13,,49.87,,
2015,9,0.73,,50.62,,
2015,10,2.15,,51.48,,
2015,11,10.41,,50.27,,
2015,12,7.43,,43.66,,
2016,1,1.68,,40.83,,
2016,2,1.76,,40.4,,
2016,3,5.94,,40.76,,
2016,4,3.04,,40.03,,
2016,5,7.07,,44.56,,
2016,6,2.27,,42.28,,
2016,7,3.26,,44.73,,
2016,8,4.88,,44.2,,
2016,9,1.59,,42.12,,
2016,10,0.94,,40.66,,
2016,11,3.8,,41.52,,
2016,12,4.6,,40.11,,
2017,1,1.25,,38.56,,
2017,2,2.12,,39.27,,
2017,3,5.21,,45.33,,
2017,4,7.57,,44.2,,
2017,5,4.79,,40.77,,
2017,6,4.72,,39.76,,
2017,7,2.73,,38.63,,
2017,8,2.8,,36.41,,
2017,9,0.13,,38.12,,
2017,10,1.8,,41.91,,
2017,11,2.39,,44.73,,
2017,12,3.05,,45.79,,
2018,1,1.96,,47.38,,
2018,2,8.18,,49.76,,
2018,3,4.08,,51.34,,
2018,4,4.14,,50.18,,
2018,5,3.78,,52.13,,
2018,6,3.59,,56.2,,
2018,7,0.51,,58.57,,
2018,8,4.51,,65.86,,
2018,9,3.92,,67.19,,
2018,10,4.62,,63.96,,
2018,11,3.45,,66.8,,
2018,12,4.64,,69.05,,
2019,1,4.34,,66.19,,
2019,2,9.76,,67.04,,
2019,3,2.92,,63.08,,
2019,4,6.09,,67.92,,
2019,5,7.85,,65.54,,
2019,6,5.96,,62.96,,
2019,7,7.8,,59.04,,
2019,8,5.84,,56.46,,
2019,9,0.69,,56.43,,
2019,10,7.46,,60.25,,
2019,11,5.7,,59.99,,
2019,12,1.78,,56.57,,
2020,1,5.19,,57.18,,
2020,2,5.8,,56.49,,
2020,3,7.76,,52.55,,
2020,4,3.71,,50.82,,
2020,5,5.27,,52.09,,
2020,6,2.04,,49.84,,
2020,7,5.22,,52.19,,
2020,8,5.81,,49.55,,
2020,9,4.51,,46.51,,
2020,10,7.2,,44.59,,
2020,11,2.28,,42.68,,
2020,12,2.39,,42.54,,
2021,1,4.5,,44.24,,
2021,2,1.86,,45.4,,
2021,3,6.03,,46.57,,
2021,4,4.98,,43.95,,
2021,5,3.02,,44.9,,
2021,6,4.39,,46.75,,
2021,7,2.58,,43.49,,
2021,8,2.77,,44.09,,
2021,9,2.59,,46.32,,
2021,10,5.29,,43.98,,
2021,11,2.14,,40.26,,
2021,12,4.09,,40.68,,
2022,1,5.66,,41.31,,
2022,2,3.03,,43.75,,
2022,3,3.41,,44.63,,
2022,4,5.93,,49.47,,
2022,5,4.87,,46.39,,
2022,6,1.13,,43.22,,
2022,7,3.18,,42.79,,
2022,8,5,,43.48,,
2022,9,0.25,,42.98,,
2022,10,1.57,,43.84,,
2022,11,2.56,,46.51,,
2022,12,4.72,,45.29,,
2023,1,8.1,,42.31,,
2023,2,3.91,,43.5,,
2023,3,8.25,,40.8,,
2023,4,2.85,,34.62,,
2023,5,1.7,,34.36,,
2023,6,0.7,,39.44,,
2023,7,3.87,,,,
2023,8,4.5,,,,
2023,9,1.11,,,,
2023,10,4.24,,,,
2023,11,1.34,,,,
2023,12,1.74,,,,
2024,1,9.29,,,,
2024,2,1.21,,,,
2024,3,2.07,,,,
2024,4,2.59,,,,
2024,5,6.78,,,,
