Year,Month,Total,,,,
2000,1,4.78,,46.14,,7.863222538
2000,2,5.06,,43.02,,
2000,3,4.85,,43.33,,
2000,4,3.7,,42.16,,
2000,5,7.38,,39.7,,
2000,6,4.32,,35,,
2000,7,3.7,,32.41,,
2000,8,2.12,,32.98,,
2000,9,3.02,,31.69,,
2000,10,0.67,,31.01,,
2000,11,4.12,,35.91,,
2000,12,2.42,,37.69,,
2001,1,1.66,,43.67,,
2001,2,5.37,,46.88,,
2001,3,3.68,,43.11,,
2001,4,1.24,,45.55,,
2001,5,2.68,,47.93,,
2001,6,1.73,,50.68,,
2001,7,4.27,,50.42,,
2001,8,0.83,,49.66,,
2001,9,2.34,,52.23,,
2001,10,5.57,,54.69,,
2001,11,5.9,,52.19,,
2001,12,8.4,,47.77,,
2002,1,4.87,,45.03,,
2002,2,1.6,,40.88,,
2002,3,6.12,,45.31,,
2002,4,3.62,,40.73,,
2002,5,5.43,,40.78,,
2002,6,1.47,,42.85,,
2002,7,3.51,,46.55,,
2002,8,3.4,,48.4,,
2002,9,4.8,,48.57,,
2002,10,3.07,,48.93,,
2002,11,1.48,,48.18,,
2002,12,5.66,,51.97,,
2003,1,0.72,,48.74,,
2003,2,6.03,,50.91,,
2003,3,1.54,,47.2,,
2003,4,3.67,,50.23,,
2003,5,7.5,,52.7,,
2003,6,5.17,,50.63,,
2003,7,5.36,,47.95,,
2003,8,3.57,,48.81,,
2003,9,5.16,,50.11,,
2003,10,2.32,,44.95,,
2003,11,5.27,,46.72,,
2003,12,2.43,,48.71,,
2004,1,2.89,,49.56,,
2004,2,2.32,,51.12,,
2004,3,4.57,,51.63,,
2004,4,6.14,,50.25,,
2004,5,5.43,,48.24,,
2004,6,2.49,,43.82,,
2004,7,6.22,,43.59,,
2004,8,4.87,,41.78,,
2004,9,0,,43.06,,
2004,10,4.09,,45.23,,
2004,11,7.26,,41.19,,
2004,12,3.28,,35.86,,
2005,1,4.45,,33.23,,
2005,2,2.83,,34.42,,
2005,3,3.19,,33.86,,
2005,4,4.13,,34.99,,
2005,5,1.01,,33.08,,
2005,6,2.26,,37.51,,
2005,7,4.41,,37.17,,
2005,8,6.15,,40.3,,
2005,9,2.17,,35.73,,
2005,10,0.05,,42.82,,
2005,11,1.93,,47.15,,
2005,12,0.65,,50.7,,
2006,1,5.64,,54.11,,
2006,2,2.27,,54.41,,
2006,3,4.32,,54.28,,
2006,4,2.22,,51.19,,
2006,5,5.44,,51.91,,
2006,6,1.92,,49.19,,
2006,7,7.54,,48.65,,
2006,8,1.58,,44.21,,
2006,9,9.26,,43.25,,
2006,10,4.38,,42.87,,
2006,11,5.48,,45.57,,
2006,12,4.06,,43.77,,
2007,1,5.94,,45.48,,
2007,2,2.14,,42.07,,
2007,3,1.23,,43.11,,
2007,4,2.94,,51.36,,
2007,5,2.72,,54.54,,
2007,6,1.38,,55.17,,
2007,7,3.1,,54.97,,
2007,8,0.62,,54.91,,
2007,9,8.88,,55.31,,
2007,10,7.08,,49.41,,
2007,11,3.68,,46.09,,
2007,12,5.77,,44.62,,
2008,1,2.53,,44.42,,
2008,2,3.18,,44.07,,
2008,3,9.48,,45.69,,
2008,4,6.12,,39.29,,
2008,5,3.35,,39.03,,
2008,6,1.18,,42.74,,
2008,7,3.04,,43.91,,
2008,8,1.02,,45.41,,
2008,9,2.98,,47.26,,
2008,10,3.76,,48.71,,
2008,11,2.21,,54.95,,
2008,12,5.57,,53.86,,
2009,1,2.18,,53.31,,
2009,2,4.8,,53.98,,
2009,3,3.08,,50.79,,
2009,4,5.86,,52.46,,
2009,5,7.06,,50.22,,
2009,6,2.35,,50.96,,
2009,7,4.54,,49.47,,
2009,8,2.87,,47.56,,
2009,9,4.43,,44.95,,
2009,10,10,,41.29,,
2009,11,1.12,,31.82,,
2009,12,5.02,,35.45,,
2010,1,2.85,,33.31,,
2010,2,1.61,,30.83,,
2010,3,4.75,,34.93,,
2010,4,3.62,,35.22,,
2010,5,7.8,,42.23,,
2010,6,0.86,,43.54,,
2010,7,2.63,,45.04,,
2010,8,0.26,,44.37,,
2010,9,0.77,,44.91,,
2010,10,0.53,,47.71,,
2010,11,4.75,,50.23,,
2010,12,2.88,,55.89,,
2011,1,0.37,,60.89,,
2011,2,5.71,,64.57,,
2011,3,5.04,,61.18,,
2011,4,10.63,,60.75,,
2011,5,9.11,,51.72,,
2011,6,2.36,,43.63,,
2011,7,1.96,,41.9,,
2011,8,0.8,,44.02,,
2011,9,3.57,,44.97,,
2011,10,3.05,,47.38,,
2011,11,10.41,,47.27,,
2011,12,7.88,,39.05,,
2012,1,4.05,,34.17,,
2012,2,2.32,,36.04,,
2012,3,4.61,,37.12,,
2012,4,1.6,,35.34,,
2012,5,1.02,,40.12,,
2012,6,0.63,,44.44,,
2012,7,4.08,,48.22,,
2012,8,1.75,,47.85,,
2012,9,5.98,,51.89,,
2012,10,2.94,,48.34,,
2012,11,2.19,,49.62,,
2012,12,3,,49.51,,
2013,1,5.92,,54.3,,
2013,2,3.4,,50.04,,
2013,3,2.83,,49.69,,
2013,4,6.38,,50.09,,
2013,5,5.34,,52.07,,
2013,6,4.41,,49.65,,
2013,7,3.71,,52.34,,
2013,8,5.79,,51.85,,
2013,9,2.43,,48.25,,
2013,10,4.22,,47.7,,
2013,11,2.08,,47.31,,
