Year,Month,Total,,,,
2000,1,0.36,,29.6,,7.716206274
2000,2,3.08,,31.94,,
2000,3,1.47,,32.46,,
2000,4,0.74,,33.35,,
2000,5,2.3,,36.32,,
2000,6,6.03,,40.99,,
2000,7,4.02,,41.16,,
2000,8,5.02,,39.98,,
2000,9,2.25,,38.98,,
2000,10,2.51,,40.91,,
2000,11,1.4,,41.75,,
2000,12,0.42,,40.82,,
2001,1,2.7,,41.46,,
2001,2,3.6,,39.27,,
2001,3,2.36,,38.16,,
2001,4,3.71,,36.42,,
2001,5,6.97,,36.96,,
2001,6,6.2,,42.78,,
2001,7,2.84,,37.82,,
2001,8,4.02,,39.38,,
2001,9,4.18,,42.23,,
2001,10,3.35,,39.21,,
2001,11,0.47,,38.25,,
2001,12,1.06,,37.97,,
2002,1,0.51,,37.15,,
2002,2,2.49,,36.82,,
2002,3,0.62,,35.1,,
2002,4,4.25,,35.24,,
2002,5,12.79,,36.34,,
2002,6,1.24,,27.05,,
2002,7,4.4,,28.78,,
2002,8,6.87,,25.38,,
2002,9,1.16,,23.32,,
2002,10,2.39,,26.4,,
2002,11,0.19,,25.67,,
2002,12,0.24,,26.94,,
2003,1,0.18,,29.6,,
2003,2,0.77,,29.79,,
2003,3,0.76,,29.42,,
2003,4,5.35,,33.65,,
2003,5,3.5,,31.66,,
2003,6,2.97,,33.68,,
2003,7,1,,34.72,,
2003,8,4.81,,38.04,,
2003,9,4.24,,41.54,,
2003,10,1.66,,38.32,,
2003,11,1.46,,41.72,,
2003,12,2.9,,42.77,,
2004,1,0.37,,40.69,,
2004,2,0.4,,42.33,,
2004,3,4.99,,44.7,,
2004,4,3.36,,40.93,,
2004,5,5.52,,39.82,,
2004,6,4.01,,36.83,,
2004,7,4.32,,38.08,,
2004,8,8.31,,34.42,,
2004,9,1.02,,30,,
2004,10,5.06,,29.8,,
2004,11,2.51,,28.26,,
2004,12,0.82,,26.7,,
2005,1,2.01,,26.91,,
2005,2,2.77,,26.37,,
2005,3,1.22,,23.62,,
2005,4,2.25,,25.94,,
2005,5,2.53,,26.55,,
2005,6,5.26,,26.48,,
2005,7,0.66,,25.02,,
2005,8,3.89,,28.26,,
2005,9,0.82,,29.06,,
2005,10,3.52,,29.21,,
2005,11,0.95,,28.82,,
2005,12,1.03,,29.69,,
2006,1,1.47,,30.3,,
2006,2,0.02,,29.05,,
2006,3,3.54,,30.8,,
2006,4,2.86,,30.62,,
2006,5,2.46,,30.43,,
2006,6,3.8,,33.31,,
2006,7,3.9,,34.83,,
2006,8,4.69,,32.32,,
2006,9,0.97,,31.54,,
2006,10,3.13,,32.51,,
2006,11,1.82,,33.68,,
2006,12,1.64,,32.28,,
2007,1,0.22,,32.56,,
2007,2,1.77,,32.94,,
2007,3,3.36,,34.25,,
2007,4,2.67,,34.12,,
2007,5,5.34,,36.7,,
2007,6,5.32,,34.91,,
2007,7,1.39,,42.77,,
2007,8,3.91,,51.55,,
2007,9,1.94,,48.69,,
2007,10,4.3,,58.46,,
2007,11,0.42,,56.27,,
2007,12,1.92,,57.91,,
2008,1,0.6,,57.9,,
2008,2,3.08,,57.3,,
2008,3,3.23,,55.47,,
2008,4,5.25,,57.86,,
2008,5,3.55,,57.26,,
2008,6,13.18,,56.88,,
2008,7,10.17,,49.56,,
2008,8,1.05,,43.58,,
2008,9,11.71,,50.8,,
2008,10,2.11,,39.96,,
2008,11,2.06,,44.41,,
2008,12,1.91,,45.1,,
2009,1,0,,44.65,,
2009,2,1.25,,45.48,,
2009,3,5.62,,44.96,,
2009,4,4.65,,41.2,,
2009,5,3.17,,41.58,,
2009,6,5.86,,45.34,,
2009,7,4.19,,48.34,,
2009,8,8.27,,51.31,,
2009,9,0.87,,46.54,,
2009,10,6.56,,53.07,,
2009,11,2.75,,47.4,,
2009,12,1.46,,45.92,,
2010,1,0.83,,45.01,,
2010,2,0.73,,44.53,,
2010,3,1.86,,44.81,,
2010,4,5.03,,44.75,,
2010,5,6.93,,43.88,,
2010,6,8.86,,40.5,,
2010,7,7.16,,36.26,,
2010,8,3.5,,32.89,,
2010,9,7.4,,31.54,,
2010,10,0.89,,24.81,,
2010,11,1.27,,24.39,,
2010,12,0.55,,28.81,,
2011,1,0.35,,30.76,,
2011,2,1.01,,30.89,,
2011,3,1.8,,32.18,,
2011,4,4.16,,34.76,,
2011,5,3.55,,33.1,,
2011,6,4.62,,31.54,,
2011,7,3.79,,28.42,,
2011,8,2.15,,28.91,,
2011,9,0.67,,29.05,,
2011,10,0.47,,33.03,,
2011,11,5.69,,34.51,,
2011,12,2.5,,30.54,,
2012,1,0.48,,29.23,,
2012,2,2.3,,30.75,,
