Year,Month,Total,,,,
2000,1,0.43,,30.99,,8.383466134
2000,2,2.85,,33.1,,
2000,3,1.73,,34.61,,
2000,4,2.07,,35.25,,
2000,5,2.5,,35.96,,
2000,6,7.58,,41.71,,
2000,7,2.26,,39.17,,
2000,8,3.93,,39.64,,
2000,9,3.01,,38.34,,
2000,10,2.41,,40.26,,
2000,11,1.88,,41.5,,
2000,12,0.34,,40.47,,
2001,1,2.54,,41.08,,
2001,2,4.36,,39.19,,
2001,3,2.37,,36.91,,
2001,4,2.78,,35.5,,
2001,5,8.25,,38.98,,
2001,6,5.04,,41.73,,
2001,7,2.73,,38.67,,
2001,8,2.63,,39.39,,
2001,9,4.93,,39.44,,
2001,10,3.65,,35.52,,
2001,11,0.85,,34.81,,
2001,12,0.95,,34.2,,
2002,1,0.65,,33.83,,
2002,2,2.08,,33.47,,
2002,3,0.96,,32.27,,
2002,4,6.26,,32.58,,
2002,5,11,,32.62,,
2002,6,1.98,,25.29,,
2002,7,3.45,,26.55,,
2002,8,2.68,,26.37,,
2002,9,1.01,,29.85,,
2002,10,2.94,,35.09,,
2002,11,0.24,,34.22,,
2002,12,0.58,,37,,
2003,1,0.29,,40.47,,
2003,2,0.88,,40.52,,
2003,3,1.27,,40.06,,
2003,4,6.3,,41.7,,
2003,5,3.67,,38.47,,
2003,6,3.24,,39.52,,
2003,7,3.27,,39.57,,
2003,8,6.16,,38.94,,
2003,9,6.25,,40.89,,
2003,10,2.07,,35.62,,
2003,11,3.02,,40.07,,
2003,12,4.05,,39.89,,
2004,1,0.34,,36.8,,
2004,2,0.42,,39.2,,
2004,3,2.91,,40.93,,
2004,4,3.07,,39.23,,
2004,5,4.72,,38.86,,
2004,6,3.29,,36.34,,
2004,7,2.64,,38.74,,
2004,8,8.11,,38.34,,
2004,9,0.98,,33.44,,
2004,10,6.52,,35.22,,
2004,11,2.84,,32.05,,
2004,12,0.96,,30.53,,
2005,1,2.74,,30.48,,
2005,2,2.15,,29.85,,
2005,3,1.21,,27.79,,
2005,4,2.7,,29.41,,
2005,5,2.2,,29.16,,
2005,6,5.69,,29.53,,
2005,7,2.24,,27.37,,
2005,8,3.21,,28.35,,
2005,9,2.76,,31.9,,
2005,10,3.35,,29.8,,
2005,11,1.32,,28.81,,
2005,12,0.91,,29.61,,
2006,1,2.11,,31.22,,
2006,2,0.09,,29.94,,
2006,3,2.83,,32.53,,
2006,4,2.45,,34.57,,
2006,5,2.57,,36.29,,
2006,6,3.53,,39.28,,
2006,7,3.22,,38.57,,
2006,8,6.76,,37.21,,
2006,9,0.66,,34.06,,
2006,10,2.36,,36.06,,
2006,11,2.12,,37.1,,
2006,12,2.52,,35.77,,
2007,1,0.83,,35.14,,
2007,2,2.68,,35.09,,
2007,3,4.87,,36.31,,
2007,4,4.17,,34.52,,
2007,5,5.56,,34.93,,
2007,6,2.82,,33.79,,
2007,7,1.86,,41.07,,
2007,8,3.61,,49.91,,
2007,9,2.66,,50.54,,
2007,10,3.4,,55.8,,
2007,11,0.79,,55.44,,
2007,12,1.89,,56.18,,
2008,1,0.78,,56.62,,
2008,2,3.9,,55.85,,
2008,3,3.08,,53.6,,
2008,4,4.58,,55.7,,
2008,5,4.42,,55.9,,
2008,6,10.1,,58.18,,
2008,7,10.7,,53.79,,
2008,8,4.24,,47.33,,
2008,9,7.92,,49.68,,
2008,10,3.04,,45.14,,
2008,11,1.53,,50.94,,
2008,12,2.33,,51.97,,
2009,1,0.01,,51.36,,
2009,2,1.65,,53.03,,
2009,3,5.18,,52.27,,
2009,4,4.78,,49.16,,
2009,5,6.7,,50.11,,
2009,6,5.71,,49.7,,
2009,7,4.24,,50.42,,
2009,8,6.59,,59.03,,
2009,9,3.38,,54.21,,
2009,10,8.84,,60.36,,
2009,11,2.56,,52.34,,
2009,12,1.72,,51.2,,
2010,1,1.68,,50.48,,
2010,2,0.89,,49.12,,
2010,3,2.07,,49.4,,
2010,4,5.73,,48.71,,
2010,5,6.29,,47.31,,
2010,6,6.43,,46.28,,
2010,7,12.85,,47.39,,
2010,8,1.77,,36.52,,
2010,9,9.53,,37.02,,
2010,10,0.82,,28.09,,
2010,11,1.42,,28.73,,
2010,12,1,,32.82,,
2011,1,0.32,,34.77,,
2011,2,1.17,,34.89,,
2011,3,1.38,,35.86,,
2011,4,4.33,,36.82,,
2011,5,5.26,,37.18,,
2011,6,7.54,,34.41,,
2011,7,1.98,,29.1,,
2011,8,2.27,,27.85,,
2011,9,0.6,,28.57,,
2011,10,1.46,,31.53,,
2011,11,5.51,,33.32,,
2011,12,2.95,,29.28,,
2012,1,0.44,,28.41,,
2012,2,2.14,,29.82,,
