Year,Month,Total,,,,
2000,1,4.78,,43.38,,8.607135567
2000,2,5.06,,40.17,,
2000,3,4.85,,41.13,,
2000,4,3.7,,39.86,,
2000,5,7.38,,38.19,,
2000,6,4.59,,33.45,,
2000,7,2.83,,31.01,,
2000,8,2.06,,32.06,,
2000,9,2.34,,30.96,,
2000,10,0.69,,31.25,,
2000,11,4.44,,38.32,,
2000,12,0.66,,39.87,,
2001,1,1.57,,48,,
2001,2,6.02,,51.54,,
2001,3,3.58,,47.38,,
2001,4,2.03,,50,,
2001,5,2.64,,51.43,,
2001,6,2.15,,53.67,,
2001,7,3.88,,54.42,,
2001,8,0.96,,52.27,,
2001,9,2.63,,54.01,,
2001,10,7.76,,55.33,,
2001,11,5.99,,50.65,,
2001,12,8.79,,46.19,,
2002,1,5.11,,43.3,,
2002,2,1.86,,38.83,,
2002,3,6.2,,42.67,,
2002,4,3.46,,38.42,,
2002,5,4.88,,38.18,,
2002,6,2.9,,39.56,,
2002,7,1.73,,43.06,,
2002,8,2.7,,45.71,,
2002,9,3.95,,45.63,,
2002,10,3.08,,47.43,,
2002,11,1.53,,46.22,,
2002,12,5.9,,49.45,,
2003,1,0.64,,45.67,,
2003,2,5.7,,48.3,,
2003,3,1.95,,45.06,,
2003,4,3.22,,47.35,,
2003,5,6.26,,49.18,,
2003,6,6.4,,49.76,,
2003,7,4.38,,46.85,,
2003,8,2.62,,48.43,,
2003,9,5.75,,49.03,,
2003,10,1.87,,43.28,,
2003,11,4.76,,46.94,,
2003,12,2.12,,50.55,,
2004,1,3.27,,51.78,,
2004,2,2.46,,53.99,,
2004,3,4.24,,54.3,,
2004,4,5.05,,53.43,,
2004,5,6.84,,52.57,,
2004,6,3.49,,46.33,,
2004,7,5.96,,45.14,,
2004,8,3.22,,43.66,,
2004,9,0,,44.36,,
2004,10,5.53,,46.65,,
2004,11,8.37,,41.12,,
2004,12,3.35,,34.33,,
2005,1,5.48,,31.66,,
2005,2,2.77,,31.5,,
2005,3,3.37,,31.26,,
2005,4,4.19,,32.92,,
2005,5,0.6,,31.28,,
2005,6,2.3,,35.55,,
2005,7,4.48,,35.28,,
2005,8,3.92,,35.99,,
2005,9,2.29,,33.8,,
2005,10,0,,42.61,,
2005,11,1.58,,47.08,,
2005,12,0.68,,51.17,,
2006,1,5.32,,55,,
2006,2,2.53,,56.78,,
2006,3,5.03,,56.61,,
2006,4,2.55,,52.84,,
2006,5,4.87,,53.32,,
2006,6,2.03,,50.59,,
2006,7,5.19,,49.78,,
2006,8,1.73,,47.25,,
2006,9,11.1,,46.75,,
2006,10,4.47,,40.19,,
2006,11,5.67,,43.49,,
2006,12,4.51,,40.83,,
2007,1,7.1,,42.7,,
2007,2,2.36,,37.67,,
2007,3,1.26,,38.98,,
2007,4,3.03,,47.46,,
2007,5,2.14,,50.06,,
2007,6,1.22,,52.08,,
2007,7,2.66,,52.13,,
2007,8,1.23,,52.24,,
2007,9,4.54,,52.59,,
2007,10,7.77,,51.02,,
2007,11,3.01,,46.13,,
2007,12,6.38,,45.06,,
2008,1,2.07,,44.62,,
2008,2,3.67,,46.05,,
2008,3,9.74,,47.1,,
2008,4,5.63,,39.91,,
2008,5,4.16,,39.27,,
2008,6,1.27,,42.35,,
2008,7,2.77,,44.19,,
2008,8,1.58,,45.82,,
2008,9,2.97,,46.12,,
2008,10,2.88,,49.29,,
2008,11,1.94,,56.31,,
2008,12,5.94,,55.9,,
2009,1,3.5,,55.43,,
2009,2,4.72,,54.89,,
2009,3,2.55,,51.83,,
2009,4,4.99,,54.65,,
2009,5,7.24,,54.74,,
2009,6,3.11,,54.53,,
2009,7,4.4,,52.69,,
2009,8,1.88,,51.18,,
2009,9,6.14,,49.75,,
2009,10,9.9,,45.46,,
2009,11,1.53,,36.07,,
2009,12,5.47,,39.71,,
2010,1,2.96,,37.07,,
2010,2,1.66,,34.55,,
2010,3,5.37,,38.82,,
2010,4,5.08,,38.48,,
2010,5,7.03,,43.31,,
2010,6,1.27,,45.22,,
2010,7,2.89,,46.01,,
2010,8,0.45,,44.41,,
2010,9,1.85,,45.22,,
2010,10,0.51,,45.53,,
2010,11,5.17,,49.37,,
2010,12,2.83,,54.56,,
2011,1,0.44,,59.76,,
2011,2,5.93,,63.25,,
2011,3,5.03,,59.97,,
2011,4,9.91,,60.64,,
2011,5,8.94,,51.83,,
2011,6,2.06,,43.52,,
2011,7,1.29,,41.93,,
2011,8,1.26,,42.82,,
2011,9,2.16,,43.69,,
2011,10,4.35,,45.82,,
2011,11,10.36,,43.9,,
2011,12,8.03,,35.85,,
2012,1,3.93,,31.52,,
2012,2,2.65,,33.13,,
2012,3,5.7,,34.61,,
2012,4,1.1,,31.61,,
2012,5,0.63,,36.52,,
2012,6,0.47,,42.23,,
2012,7,2.18,,45.5,,
2012,8,2.13,,47.01,,
2012,9,4.29,,50.57,,
2012,10,2.43,,48.26,,
2012,11,2.31,,50.19,,
2012,12,3.7,,49.74,,
2013,1,5.54,,54.19,,
2013,2,4.13,,50.43,,
2013,3,2.7,,49.18,,
2013,4,6.01,,50.28,,
2013,5,6.34,,53.25,,
2013,6,3.74,,50.64,,
2013,7,3.69,,53.02,,
2013,8,5.69,,53.72,,
2013,9,1.98,,50.51,,
2013,10,4.36,,50.41,,
2013,11,1.86,,50.21,,
2013,12,8.15,,50.44,,
2014,1,1.78,,44.59,,
