Year,Month,Total,,,,
2000,1,0.09,,29.81,,6.009120253
2000,2,1.44,,31.83,,
2000,3,1.61,,33.14,,
2000,4,1.96,,33.44,,
2000,5,2.12,,34.19,,
2000,6,5.44,,36.27,,
2000,7,4.06,,39.76,,
2000,8,4.54,,42.83,,
2000,9,3.27,,41.24,,
2000,10,2.4,,43.06,,
2000,11,2.81,,42.73,,
2000,12,0.07,,40.7,,
2001,1,2.11,,41.02,,
2001,2,2.75,,39.06,,
2001,3,1.91,,36.78,,
2001,4,2.71,,35.87,,
2001,5,4.2,,37.37,,
2001,6,8.93,,39.48,,
2001,7,7.13,,32.18,,
2001,8,2.95,,25.78,,
2001,9,5.09,,25.69,,
2001,10,2.07,,21.5,,
2001,11,0.78,,23.05,,
2001,12,0.39,,22.66,,
2002,1,0.15,,22.28,,
2002,2,0.47,,22.29,,
2002,3,1,,22.32,,
2002,4,4.21,,22.35,,
2002,5,6.31,,25.38,,
2002,6,1.63,,21.66,,
2002,7,0.73,,24.73,,
2002,8,2.86,,24.38,,
2002,9,0.9,,26.58,,
2002,10,3.62,,28.81,,
2002,11,0.39,,26.26,,
2002,12,0.01,,26.49,,
2003,1,0.16,,29.21,,
2003,2,0.5,,29.29,,
2003,3,1.03,,29.41,,
2003,4,7.24,,31.73,,
2003,5,2.59,,27.08,,
2003,6,4.7,,32.79,,
2003,7,0.38,,32.32,,
2003,8,5.06,,39.57,,
2003,9,3.13,,39.82,,
2003,10,1.07,,38.87,,
2003,11,0.62,,40.37,,
2003,12,2.73,,41.31,,
2004,1,0.24,,39.03,,
2004,2,0.62,,40.2,,
2004,3,3.35,,42.04,,
2004,4,2.59,,39.45,,
2004,5,8.3,,40.02,,
2004,6,4.23,,37.3,,
2004,7,7.63,,39.55,,
2004,8,5.31,,33.11,,
2004,9,2.18,,35.35,,
2004,10,2.57,,34.88,,
2004,11,1.56,,36.94,,
2004,12,0.45,,36.92,,
2005,1,1.41,,37.46,,
2005,2,2.46,,36.8,,
2005,3,0.76,,34.35,,
2005,4,3.16,,35.72,,
2005,5,5.58,,37.09,,
2005,6,6.48,,33.17,,
2005,7,1.19,,29.51,,
2005,8,7.55,,32.16,,
2005,9,1.71,,31.71,,
2005,10,4.63,,32.05,,
2005,11,1.54,,30.35,,
2005,12,0.99,,29.78,,
2006,1,0.75,,31,,
2006,2,0.01,,30.67,,
2006,3,2.13,,31.47,,
2006,4,4.53,,32.69,,
2006,5,1.66,,30.23,,
2006,6,2.82,,36.27,,
2006,7,3.84,,35.34,,
2006,8,7.1,,33.59,,
2006,9,2.05,,33.26,,
2006,10,2.93,,34.52,,
2006,11,0.97,,36.4,,
2006,12,2.21,,35.49,,
2007,1,0.42,,35.53,,
2007,2,0.81,,35.84,,
2007,3,3.35,,37.04,,
2007,4,2.07,,35.58,,
2007,5,7.7,,38.57,,
2007,6,1.89,,34.49,,
2007,7,2.09,,39.63,,
2007,8,6.77,,42.45,,
2007,9,3.31,,36.66,,
2007,10,4.81,,41.09,,
2007,11,0.06,,40,,
2007,12,2.25,,40.94,,
2008,1,0.73,,39.95,,
2008,2,2.01,,39.23,,
2008,3,1.89,,37.71,,
2008,4,5.06,,39.88,,
2008,5,3.62,,39.12,,
2008,6,7.03,,39.24,,
2008,7,4.91,,36.35,,
2008,8,0.98,,36.3,,
2008,9,7.74,,43.01,,
2008,10,3.72,,37.1,,
2008,11,1,,37.6,,
2008,12,1.26,,39.19,,
2009,1,0.01,,38.72,,
2009,2,0.49,,38.95,,
2009,3,4.06,,39.29,,
2009,4,4.3,,38.05,,
2009,5,3.74,,37.35,,
2009,6,4.14,,40.16,,
2009,7,4.86,,45.4,,
2009,8,7.69,,44.93,,
2009,9,1.83,,42.3,,
2009,10,4.22,,44.76,,
2009,11,2.59,,41.67,,
2009,12,0.79,,40.77,,
2010,1,0.24,,40.19,,
2010,2,0.83,,40.29,,
2010,3,2.82,,40.01,,
2010,4,3.6,,38.67,,
2010,5,6.55,,37.9,,
2010,6,9.38,,34.95,,
2010,7,4.39,,30.5,,
2010,8,5.06,,30.77,,
2010,9,4.29,,32.31,,
2010,10,1.13,,29.37,,
2010,11,1.69,,28.33,,
2010,12,0.21,,30.55,,
2011,1,0.34,,33.35,,
2011,2,0.55,,33.17,,
2011,3,1.48,,35.19,,
2011,4,2.83,,37.85,,
2011,5,3.6,,37.11,,
2011,6,4.93,,36,,
2011,7,4.66,,35.25,,
2011,8,6.6,,30.97,,
2011,9,1.35,,26.06,,
2011,10,0.09,,26.02,,
2011,11,3.91,,27.99,,
2011,12,3.01,,25.95,,
2012,1,0.16,,23.65,,
2012,2,2.57,,24.25,,
2012,3,4.14,,22.24,,
2012,4,2.09,,20.48,,
2012,5,2.49,,22.29,,
2012,6,4.18,,26.87,,
2012,7,0.38,,24.39,,
2012,8,1.69,,25.52,,
2012,9,1.31,,25.36,,
2012,10,2.06,,27.89,,
2012,11,1.87,,30.6,,
2012,12,0.71,,31.21,,
2013,1,0.76,,30.86,,
2013,2,0.56,,30.16,,
2013,3,2.38,,30.24,,
2013,4,3.9,,28.5,,
2013,5,7.07,,29.65,,
2013,6,1.7,,25.27,,
2013,7,1.51,,32.33,,
2013,8,1.53,,35.36,,
2013,9,3.84,,39.38,,
2013,10,4.77,,37.34,,
2013,11,2.48,,37.79,,
2013,12,0.36,,35.59,,
2014,1,0.06,,36.39,,
2014,2,0.64,,37.21,,
2014,3,0.64,,37.31,,
2014,4,5.05,,38.12,,
2014,5,2.69,,35.84,,
2014,6,8.76,,42.4,,
2014,7,4.54,,39.79,,
2014,8,5.55,,42.41,,
2014,9,1.8,,38.59,,
2014,10,5.22,,38.65,,
2014,11,0.28,,34.57,,
2014,12,1.16,,38.57,,
2015,1,0.88,,39.87,,
2015,2,0.74,,39.7,,
2015,3,1.45,,39.56,,
2015,4,2.77,,38.83,,
2015,5,9.25,,42.06,,
2015,6,6.15,,39.48,,
2015,7,7.16,,35.32,,
2015,8,1.73,,34.58,,
2015,9,1.86,,40.14,,
2015,10,1.14,,46.58,,
2015,11,4.28,,47.08,,
2015,12,2.46,,43.35,,
2016,1,0.71,,42.08,,
2016,2,0.6,,42.42,,
2016,3,0.72,,41.89,,
2016,4,6,,44.28,,
2016,5,6.67,,43.62,,
2016,6,1.99,,40.24,,
2016,7,6.42,,40.58,,
2016,8,7.29,,36.27,,
2016,9,8.3,,32.11,,
2016,10,1.64,,25.75,,
2016,11,0.55,,28.24,,
2016,12,1.19,,28.16,,
2017,1,1.05,,27.08,,
2017,2,0.07,,26.53,,
2017,3,3.11,,27.28,,
2017,4,5.34,,24.69,,
2017,5,3.29,,20.04,,
2017,6,2.33,,20.08,,
2017,7,2.11,,21.68,,
2017,8,3.13,,20.59,,
2017,9,1.94,,25.43,,
2017,10,4.13,,26.72,,
2017,11,0.47,,29.15,,
2017,12,0.11,,29.23,,
2018,1,0.5,,31.99,,
2018,2,0.82,,32.12,,
2018,3,0.52,,33.07,,
2018,4,0.69,,35.88,,
2018,5,3.33,,37.87,,
2018,6,3.93,,42.31,,
2018,7,1.02,,43.98,,
2018,8,7.97,,45.58,,
2018,9,3.23,,44.37,,
2018,10,6.56,,46.06,,
2018,11,0.55,,42.71,,
2018,12,2.87,,42.87,,
2019,1,0.63,,41.1,,
2019,2,1.77,,41.59,,
2019,3,3.33,,40.33,,
2019,4,2.68,,40.22,,
2019,5,7.77,,40.53,,
2019,6,5.6,,36.49,,
2019,7,2.62,,34.9,,
2019,8,6.76,,43.9,,
2019,9,4.92,,38.7,,
2019,10,3.21,,35.8,,
2019,11,0.71,,32.95,,
2019,12,1.1,,34.71,,
2020,1,1.12,,34.15,,
2020,2,0.51,,35.55,,
2020,3,3.22,,35.07,,
2020,4,2.99,,35.09,,
2020,5,3.73,,34.89,,
2020,6,4.01,,35.91,,
2020,7,11.62,,41.09,,
2020,8,1.56,,31.14,,
2020,9,2.02,,33.23,,
2020,10,0.36,,32,,
2020,11,2.47,,37.89,,
2020,12,0.54,,36.74,,
2021,1,2.52,,36.41,,
2021,2,0.03,,34.17,,
2021,3,3.24,,34.15,,
2021,4,2.79,,34.15,,
2021,5,4.75,,33.41,,
2021,6,9.19,,33.78,,
2021,7,1.67,,27.47,,
2021,8,3.65,,33.52,,
2021,9,0.79,,31.99,,
2021,10,6.25,,33.22,,
2021,11,1.32,,28.15,,
2021,12,0.21,,29.71,,
2022,1,0.28,,30.24,,
2022,2,0.01,,30.9,,
2022,3,3.24,,34.08,,
2022,4,2.05,,32.44,,
2022,5,5.12,,32.48,,
2022,6,2.88,,29.57,,
2022,7,7.72,,30.41,,
2022,8,2.12,,26.63,,
2022,9,2.02,,30.66,,
2022,10,1.18,,29.7,,
2022,11,2.88,,30.31,,
2022,12,0.74,,28.82,,
2023,1,0.94,,31.41,,
2023,2,3.19,,31.38,,
2023,3,1.6,,28.33,,
2023,4,2.09,,28.59,,
2023,5,2.21,,31.83,,
2023,6,3.72,,33.48,,
2023,7,3.94,,,,
2023,8,6.15,,,,
2023,9,1.06,,,,
2023,10,1.79,,,,
2023,11,1.39,,,,
2023,12,3.33,,,,
2024,1,0.91,,,,
2024,2,0.14,,,,
2024,3,1.86,,,,
2024,4,5.33,,,,
2024,5,3.86,,,,
