Year,Month,Total
2000      ,1         ,2.6300
2000      ,2         ,3.1400
2000      ,3         ,3.3100
2000      ,4         ,3.9100
2000      ,5         ,7.3100
2000      ,6         ,3.7200
2000      ,7         ,1.9100
2000      ,8         ,1.4000
2000      ,9         ,2.2400
2000      ,10        ,1.5100
2000      ,11        ,5.0900
2000      ,12        ,0.5800
2001      ,1         ,2.0800
2001      ,2         ,6.6600
2001      ,3         ,3.6600
2001      ,4         ,0.3100
2001      ,5         ,4.4000
2001      ,6         ,2.9200
2001      ,7         ,1.0600
2001      ,8         ,1.5800
2001      ,9         ,2.3400
2001      ,10        ,5.8900
2001      ,11        ,5.3200
2001      ,12        ,8.9100
2002      ,1         ,4.6900
2002      ,2         ,2.1900
2002      ,3         ,6.5500
2002      ,4         ,1.7700
2002      ,5         ,4.1000
2002      ,6         ,2.5700
2002      ,7         ,5.4000
2002      ,8         ,3.5100
2002      ,9         ,4.1100
2002      ,10        ,3.2000
2002      ,11        ,1.5800
2002      ,12        ,6.6000
2003      ,1         ,1.2300
2003      ,2         ,5.4600
2003      ,3         ,2.5400
2003      ,4         ,3.5500
2003      ,5         ,11.4400
2003      ,6         ,4.4300
2003      ,7         ,5.4800
2003      ,8         ,3.2900
2003      ,9         ,2.7800
2003      ,10        ,3.4100
2003      ,11        ,6.2800
2003      ,12        ,3.0600
2004      ,1         ,2.8000
2004      ,2         ,2.6300
2004      ,3         ,3.7400
2004      ,4         ,6.3700
2004      ,5         ,5.5900
2004      ,6         ,3.3400
2004      ,7         ,4.0500
2004      ,8         ,3.6400
2004      ,9         ,0.0300
2004      ,10        ,4.9200
2004      ,11        ,9.7900
2004      ,12        ,3.0500
2005      ,1         ,4.7300
2005      ,2         ,3.0100
2005      ,3         ,4.5700
2005      ,4         ,5.8600
2005      ,5         ,0.2600
2005      ,6         ,2.6000
2005      ,7         ,4.7400
2005      ,8         ,2.5000
2005      ,9         ,3.2600
2005      ,10        ,0.2300
2005      ,11        ,2.7700
2005      ,12        ,0.3600
2006      ,1         ,4.4600
2006      ,2         ,2.5500
2006      ,3         ,3.9000
2006      ,4         ,2.5200
2006      ,5         ,2.7200
2006      ,6         ,3.9200
2006      ,7         ,4.4700
2006      ,8         ,2.4800
2006      ,9         ,4.8700
2006      ,10        ,5.8800
2006      ,11        ,4.1400
2006      ,12        ,4.0400
2007      ,1         ,6.9200
2007      ,2         ,2.0700
2007      ,3         ,1.5400
2007      ,4         ,3.6400
2007      ,5         ,1.1500
2007      ,6         ,2.9300
2007      ,7         ,3.0800
2007      ,8         ,0.2700
2007      ,9         ,3.6700
2007      ,10        ,6.7900
2007      ,11        ,4.1700
2007      ,12        ,6.2300
2008      ,1         ,1.8000
2008      ,2         ,3.2400
2008      ,3         ,10.9900
2008      ,4         ,5.7400
2008      ,5         ,2.3200
2008      ,6         ,1.0000
2008      ,7         ,1.1300
2008      ,8         ,3.4600
2008      ,9         ,2.8700
2008      ,10        ,3.0600
2008      ,11        ,1.5600
2008      ,12        ,5.4200
2009      ,1         ,1.5000
2009      ,2         ,4.2400
2009      ,3         ,4.0500
2009      ,4         ,6.5900
2009      ,5         ,6.5300
2009      ,6         ,2.6900
2009      ,7         ,9.7800
2009      ,8         ,3.7500
2009      ,9         ,2.3200
2009      ,10        ,9.7900
2009      ,11        ,1.0400
2009      ,12        ,7.8800
2010      ,1         ,2.6800
2010      ,2         ,1.4400
2010      ,3         ,4.2200
2010      ,4         ,3.2500
2010      ,5         ,4.1300
2010      ,6         ,1.5100
2010      ,7         ,4.7900
2010      ,8         ,0.1900
2010      ,9         ,2.3400
2010      ,10        ,0.3400
2010      ,11        ,4.8500
2010      ,12        ,2.2700
2011      ,1         ,0.3300
2011      ,2         ,5.7300
2011      ,3         ,5.8400
2011      ,4         ,8.5800
2011      ,5         ,10.0400
2011      ,6         ,3.7800
2011      ,7         ,1.9000
2011      ,8         ,2.2200
2011      ,9         ,2.5100
2011      ,10        ,3.0900
2011      ,11        ,10.0900
2011      ,12        ,7.6900
2012      ,1         ,2.4300
2012      ,2         ,1.9400
2012      ,3         ,4.2400
2012      ,4         ,1.1200
2012      ,5         ,1.9100
2012      ,6         ,3.4700
2012      ,7         ,2.8900
2012      ,8         ,1.7100
2012      ,9         ,4.7400
2012      ,10        ,3.2700
2012      ,11        ,2.2900
2012      ,12        ,3.2800
2013      ,1         ,5.6900
2013      ,2         ,4.3100
2013      ,3         ,1.8900
2013      ,4         ,4.8600
2013      ,5         ,7.1400
2013      ,6         ,3.0500
2013      ,7         ,4.0200
2013      ,8         ,4.7900
2013      ,9         ,1.5900
2013      ,10        ,3.6600
2013      ,11        ,2.3400
2013      ,12        ,6.7400
2014      ,1         ,1.9300
2014      ,2         ,1.6700
2014      ,3         ,3.7000
2014      ,4         ,6.1400
2014      ,5         ,7.8300
