Year,Month,Average
2000      ,1         ,0.6800
2000      ,2         ,3.1000
2000      ,3         ,2.5000
2000      ,4         ,0.6000
2000      ,5         ,4.7300
2000      ,6         ,6.0700
2000      ,7         ,3.5700
2000      ,8         ,8.6600
2000      ,9         ,2.2300
2000      ,10        ,4.1400
2000      ,11        ,1.4700
2000      ,12        ,0.4900
2001      ,1         ,3.7100
2001      ,2         ,4.8600
2001      ,3         ,1.4700
2001      ,4         ,3.6400
2001      ,5         ,7.4100
2001      ,6         ,6.0000
2001      ,7         ,5.8500
2001      ,8         ,3.5000
2001      ,9         ,2.0800
2001      ,10        ,4.4200
2001      ,11        ,1.8700
2001      ,12        ,0.9800
2002      ,1         ,2.9100
2002      ,2         ,0.6100
2002      ,3         ,1.6700
2002      ,4         ,4.8800
2002      ,5         ,9.6200
2002      ,6         ,3.2600
2002      ,7         ,3.8900
2002      ,8         ,7.2600
2002      ,9         ,1.6900
2002      ,10        ,4.6200
2002      ,11        ,0.6900
2002      ,12        ,1.0800
2003      ,1         ,0.7000
2003      ,2         ,1.5400
2003      ,3         ,2.6100
2003      ,4         ,4.4400
2003      ,5         ,4.5800
2003      ,6         ,6.3000
2003      ,7         ,1.0600
2003      ,8         ,3.2300
2003      ,9         ,8.0700
2003      ,10        ,1.6600
2003      ,11        ,2.2400
2003      ,12        ,3.6000
2004      ,1         ,2.0200
2004      ,2         ,0.8300
2004      ,3         ,6.5700
2004      ,4         ,3.1800
2004      ,5         ,5.6000
2004      ,6         ,1.4700
2004      ,7         ,5.4200
2004      ,8         ,5.8800
2004      ,9         ,1.6200
2004      ,10        ,4.3100
2004      ,11        ,5.4700
2004      ,12        ,1.1000
2005      ,1         ,6.0700
2005      ,2         ,2.1400
2005      ,3         ,0.8400
2005      ,4         ,3.4900
2005      ,5         ,3.0600
2005      ,6         ,4.6400
2005      ,7         ,0.5500
2005      ,8         ,7.6500
2005      ,9         ,5.3300
2005      ,10        ,2.6500
2005      ,11        ,1.3300
2005      ,12        ,0.7500
2006      ,1         ,1.8300
2006      ,2         ,0.0600
2006      ,3         ,3.1100
2006      ,4         ,2.0600
2006      ,5         ,2.4700
2006      ,6         ,4.9000
2006      ,7         ,2.6900
2006      ,8         ,4.2300
2006      ,9         ,0.5700
2006      ,10        ,3.2200
2006      ,11        ,2.3100
2006      ,12        ,1.4200
2007      ,1         ,1.8900
2007      ,2         ,1.7800
2007      ,3         ,3.1400
2007      ,4         ,3.5300
2007      ,5         ,3.2000
2007      ,6         ,4.2300
2007      ,7         ,2.1200
2007      ,8         ,2.4900
2007      ,9         ,1.6200
2007      ,10        ,2.9600
2007      ,11        ,1.9900
2007      ,12        ,3.0200
2008      ,1         ,2.7200
2008      ,2         ,3.2200
2008      ,3         ,5.1000
2008      ,4         ,4.3500
2008      ,5         ,6.4200
2008      ,6         ,6.1200
2008      ,7         ,10.2100
2008      ,8         ,2.8300
2008      ,9         ,10.7700
2008      ,10        ,1.9500
2008      ,11        ,1.0800
2008      ,12        ,2.2100
2009      ,1         ,0.1200
2009      ,2         ,2.7700
2009      ,3         ,3.6200
2009      ,4         ,6.1100
2009      ,5         ,4.7200
2009      ,6         ,8.0600
2009      ,7         ,5.4500
2009      ,8         ,3.8500
2009      ,9         ,2.8800
2009      ,10        ,10.7800
2009      ,11        ,1.7600
2009      ,12        ,3.0300
2010      ,1         ,1.8800
2010      ,2         ,2.6000
2010      ,3         ,2.8900
2010      ,4         ,8.0200
2010      ,5         ,5.4100
2010      ,6         ,6.6400
2010      ,7         ,10.9000
2010      ,8         ,3.7400
2010      ,9         ,7.3600
2010      ,10        ,0.5900
2010      ,11        ,1.4300
2010      ,12        ,2.0400
2011      ,1         ,0.3100
2011      ,2         ,2.5400
2011      ,3         ,3.4500
2011      ,4         ,3.1400
2011      ,5         ,6.4900
2011      ,6         ,3.2300
2011      ,7         ,1.3100
2011      ,8         ,3.1200
2011      ,9         ,2.3400
2011      ,10        ,0.7100
2011      ,11        ,4.4100
2011      ,12        ,3.1400
2012      ,1         ,0.7400
2012      ,2         ,2.5100
2012      ,3         ,4.0700
2012      ,4         ,6.4400
2012      ,5         ,1.0200
2012      ,6         ,1.6400
2012      ,7         ,0.8600
2012      ,8         ,1.8400
2012      ,9         ,1.7200
2012      ,10        ,2.6400
2012      ,11        ,1.4400
2012      ,12        ,1.0400
2013      ,1         ,2.6400
2013      ,2         ,1.9400
2013      ,3         ,3.1800
2013      ,4         ,6.9000
2013      ,5         ,10.2000
2013      ,6         ,1.4400
2013      ,7         ,1.4600
2013      ,8         ,2.2300
2013      ,9         ,2.7000
2013      ,10        ,3.0000
2013      ,11        ,1.3900
2013      ,12        ,1.5900
2014      ,1         ,0.3800
2014      ,2         ,0.4600
2014      ,3         ,1.8400
2014      ,4         ,6.2500
2014      ,5         ,1.7500
2014      ,6         ,5.8900
2014      ,7         ,1.7500
2014      ,8         ,3.3500
2014      ,9         ,6.4700
2014      ,10        ,9.1300
2014      ,11        ,0.8900
2014      ,12        ,1.8800
2015      ,1         ,0.8300
2015      ,2         ,1.0100
2015      ,3         ,2.2500
2015      ,4         ,3.1800
2015      ,5         ,4.8300
2015      ,6         ,5.0400
2015      ,7         ,9.2500
2015      ,8         ,2.4700
2015      ,9         ,0.6800
2015      ,10        ,1.2800
2015      ,11        ,8.2300
2015      ,12        ,5.9700
2016      ,1         ,0.6800
2016      ,2         ,0.4900
2016      ,3         ,2.0500
2016      ,4         ,1.9500
2016      ,5         ,3.3300
2016      ,6         ,1.4200
2016      ,7         ,10.7900
2016      ,8         ,3.4800
2016      ,9         ,5.5300
2016      ,10        ,1.0800
2016      ,11        ,1.7200
2016      ,12        ,1.3300
2017      ,1         ,0.9400
2017      ,2         ,0.2000
2017      ,3         ,2.6800
2017      ,4         ,9.0200
2017      ,5         ,4.1600
2017      ,6         ,4.0500
2017      ,7         ,3.1000
2017      ,8         ,2.9500
2017      ,9         ,0.9600
2017      ,10        ,4.2300
2017      ,11        ,0.6100
