Year,Month,Total
2000      ,1         ,0.0400
2000      ,2         ,2.3900
2000      ,3         ,1.6500
2000      ,4         ,2.0600
2000      ,5         ,1.1800
2000      ,6         ,7.5900
2000      ,7         ,5.4100
2000      ,8         ,2.2900
2000      ,9         ,1.7100
2000      ,10        ,1.2400
2000      ,11        ,2.2800
2000      ,12        ,0.0500
2001      ,1         ,1.3200
2001      ,2         ,2.3800
2001      ,3         ,2.2300
2001      ,4         ,1.8800
2001      ,5         ,1.9000
2001      ,6         ,6.2500
2001      ,7         ,4.4100
2001      ,8         ,0.9800
2001      ,9         ,4.5100
2001      ,10        ,2.5200
2001      ,11        ,0.7900
2001      ,12        ,0.3600
2002      ,1         ,0.1400
2002      ,2         ,0.7600
2002      ,3         ,1.2800
2002      ,4         ,2.0200
2002      ,5         ,5.2700
2002      ,6         ,0.5700
2002      ,7         ,2.2000
2002      ,8         ,3.1000
2002      ,9         ,2.0700
2002      ,10        ,5.1100
2002      ,11        ,0.3900
2002      ,12        ,0.0000
2003      ,1         ,0.1000
2003      ,2         ,0.4600
2003      ,3         ,1.3300
2003      ,4         ,3.3300
2003      ,5         ,3.3000
2003      ,6         ,6.7600
2003      ,7         ,0.4400
2003      ,8         ,1.2900
2003      ,9         ,1.0200
2003      ,10        ,0.8000
2003      ,11        ,5.2100
2003      ,12        ,1.4600
2004      ,1         ,0.3200
2004      ,2         ,0.6800
2004      ,3         ,3.6800
2004      ,4         ,1.2100
2004      ,5         ,6.0800
2004      ,6         ,1.8500
2004      ,7         ,3.2800
2004      ,8         ,2.8100
2004      ,9         ,0.6100
2004      ,10        ,0.7500
2004      ,11        ,1.0500
2004      ,12        ,0.3100
2005      ,1         ,0.5600
2005      ,2         ,2.4100
2005      ,3         ,0.7200
2005      ,4         ,6.4300
2005      ,5         ,3.9700
2005      ,6         ,4.1200
2005      ,7         ,5.0300
2005      ,8         ,6.0200
2005      ,9         ,0.5000
2005      ,10        ,2.6000
2005      ,11        ,1.2800
2005      ,12        ,1.0100
2006      ,1         ,0.8200
2006      ,2         ,0.0100
2006      ,3         ,1.8100
2006      ,4         ,3.4700
2006      ,5         ,1.9500
2006      ,6         ,2.3800
2006      ,7         ,2.0700
2006      ,8         ,5.5900
2006      ,9         ,3.4700
2006      ,10        ,2.4000
2006      ,11        ,0.6900
2006      ,12        ,2.1300
2007      ,1         ,0.2400
2007      ,2         ,0.5900
2007      ,3         ,2.5500
2007      ,4         ,2.9400
2007      ,5         ,8.3200
2007      ,6         ,1.2900
2007      ,7         ,2.4900
2007      ,8         ,10.6600
2007      ,9         ,1.3700
2007      ,10        ,5.2400
2007      ,11        ,0.0900
2007      ,12        ,2.0300
2008      ,1         ,0.1300
2008      ,2         ,0.8200
2008      ,3         ,2.4900
2008      ,4         ,3.3000
2008      ,5         ,5.4400
2008      ,6         ,4.6600
2008      ,7         ,2.7300
2008      ,8         ,0.6800
2008      ,9         ,4.5700
2008      ,10        ,4.1300
2008      ,11        ,1.0600
2008      ,12        ,0.5100
2009      ,1         ,0.0300
2009      ,2         ,0.3300
2009      ,3         ,1.8800
2009      ,4         ,4.1900
2009      ,5         ,1.7400
2009      ,6         ,5.7500
2009      ,7         ,2.7700
2009      ,8         ,3.5900
2009      ,9         ,0.8800
2009      ,10        ,3.7300
2009      ,11        ,2.5500
2009      ,12        ,0.6200
2010      ,1         ,0.6400
2010      ,2         ,0.6600
2010      ,3         ,3.2000
2010      ,4         ,2.8300
2010      ,5         ,3.7100
2010      ,6         ,4.9600
2010      ,7         ,4.8700
2010      ,8         ,4.8000
2010      ,9         ,3.2300
2010      ,10        ,0.8300
2010      ,11        ,1.7700
2010      ,12        ,0.0400
2011      ,1         ,0.2900
2011      ,2         ,0.2300
2011      ,3         ,0.6300
2011      ,4         ,3.6100
2011      ,5         ,3.6100
2011      ,6         ,5.6800
2011      ,7         ,5.8300
2011      ,8         ,4.9400
2011      ,9         ,0.2900
2011      ,10        ,0.0300
2011      ,11        ,2.8700
2011      ,12        ,2.8000
2012      ,1         ,0.0600
2012      ,2         ,1.7900
2012      ,3         ,2.0600
2012      ,4         ,3.0200
2012      ,5         ,1.4000
2012      ,6         ,2.8800
2012      ,7         ,2.4700
2012      ,8         ,5.5000
2012      ,9         ,1.4900
2012      ,10        ,2.4800
2012      ,11        ,1.1000
2012      ,12        ,0.6700
2013      ,1         ,0.4000
2013      ,2         ,0.5100
2013      ,3         ,0.6100
2013      ,4         ,6.5400
2013      ,5         ,5.0500
2013      ,6         ,2.5800
2013      ,7         ,1.4200
2013      ,8         ,1.9600
2013      ,9         ,2.7800
2013      ,10        ,1.9200
2013      ,11        ,0.5600
2013      ,12        ,0.1600
2014      ,1         ,0.0700
2014      ,2         ,0.6000
2014      ,3         ,0.1500
2014      ,4         ,1.8400
2014      ,5         ,2.0800
2014      ,6         ,6.2700
2014      ,7         ,2.9100
2014      ,8         ,8.8800
2014      ,9         ,6.6200
2014      ,10        ,2.3000
2014      ,11        ,0.1000
2014      ,12        ,1.2500
2015      ,1         ,0.6400
2015      ,2         ,0.4400
2015      ,3         ,1.5900
2015      ,4         ,3.2100
2015      ,5         ,6.2400
2015      ,6         ,3.8300
2015      ,7         ,7.2100
2015      ,8         ,2.6200
2015      ,9         ,4.0400
2015      ,10        ,0.7800
2015      ,11        ,4.0800
2015      ,12        ,3.7500
2016      ,1         ,0.4200
2016      ,2         ,0.5900
2016      ,3         ,0.7700
2016      ,4         ,5.7100
2016      ,5         ,4.2100
2016      ,6         ,1.2800
2016      ,7         ,4.7000
2016      ,8         ,6.0900
2016      ,9         ,2.9000
2016      ,10        ,0.9300
2016      ,11        ,1.0600
2016      ,12        ,0.5800
2017      ,1         ,0.8700
2017      ,2         ,0.4100
2017      ,3         ,3.6600
2017      ,4         ,4.8700
2017      ,5         ,2.3600
2017      ,6         ,2.5100
2017      ,7         ,1.8800
2017      ,8         ,2.3300
2017      ,9         ,1.8000
2017      ,10        ,3.9800
2017      ,11        ,0.2100
2017      ,12        ,0.1700
2018      ,1         ,0.3300
2018      ,2         ,0.6500
2018      ,3         ,0.9800
2018      ,4         ,0.5900
2018      ,5         ,2.1800
2018      ,6         ,3.5500
2018      ,7         ,2.0300
2018      ,8         ,5.6100
2018      ,9         ,6.4600
2018      ,10        ,4.9000
2018      ,11        ,0.6800
2018      ,12        ,2.4000
2019      ,1         ,0.5800
2019      ,2         ,1.3300
2019      ,3         ,3.7500
2019      ,4         ,1.7100
2019      ,5         ,10.5100
2019      ,6         ,3.1000
2019      ,7         ,2.0200
2019      ,8         ,5.3900
2019      ,9         ,6.6000
2019      ,10        ,2.9700
2019      ,11        ,0.4600
2019      ,12        ,0.8200
2020      ,1         ,1.2800
2020      ,2         ,0.0000
2020      ,3         ,1.9000
2020      ,4         ,1.8700
2020      ,5         ,3.6400
2020      ,6         ,4.0300
2020      ,7         ,6.7700
2020      ,8         ,0.6000
2020      ,9         ,2.0100
2020      ,10        ,0.8900
2020      ,11        ,2.3700
2020      ,12        ,0.3200
2021      ,1         ,1.1000
2021      ,2         ,0.0900
2021      ,3         ,3.9900
2021      ,4         ,1.5300
2021      ,5         ,4.2500
2021      ,6         ,5.9000
2021      ,7         ,3.0900
2021      ,8         ,4.3700
2021      ,9         ,0.8800
2021      ,10        ,2.6000
2021      ,11        ,1.4600
2021      ,12        ,0.2900
2022      ,1         ,0.3000
2022      ,2         ,0.0500
2022      ,3         ,2.6300
2022      ,4         ,3.1300
2022      ,5         ,4.2900
2022      ,6         ,4.2800
2022      ,7         ,2.6600
2022      ,8         ,1.2300
2022      ,9         ,1.0900
2022      ,10        ,0.8500
2022      ,11        ,2.5200
2022      ,12        ,0.6600
2023      ,1         ,2.2300
2023      ,2         ,2.8400
2023      ,3         ,1.2700
2023      ,4         ,1.8700
2023      ,5         ,3.4600
