Year,Month,Average
2000      ,1         ,3.3100
2000      ,2         ,4.3700
2000      ,3         ,2.7600
2000      ,4         ,0.9900
2000      ,5         ,3.4400
2000      ,6         ,4.5300
2000      ,7         ,3.5700
2000      ,8         ,2.2100
2000      ,9         ,3.6900
2000      ,10        ,1.6000
2000      ,11        ,5.1600
2000      ,12        ,2.5300
2001      ,1         ,1.1400
2001      ,2         ,3.1700
2001      ,3         ,2.7700
2001      ,4         ,1.5800
2001      ,5         ,3.0700
2001      ,6         ,2.0100
2001      ,7         ,7.2100
2001      ,8         ,1.1700
2001      ,9         ,0.9800
2001      ,10        ,4.2700
2001      ,11        ,4.4200
2001      ,12        ,6.6600
2002      ,1         ,4.8500
2002      ,2         ,1.6500
2002      ,3         ,7.2100
2002      ,4         ,6.5300
2002      ,5         ,11.8500
2002      ,6         ,4.6400
2002      ,7         ,1.9700
2002      ,8         ,5.1100
2002      ,9         ,2.0300
2002      ,10        ,2.8400
2002      ,11        ,1.7500
2002      ,12        ,5.6900
2003      ,1         ,0.3600
2003      ,2         ,3.2700
2003      ,3         ,1.5000
2003      ,4         ,3.1000
2003      ,5         ,7.4200
2003      ,6         ,4.9500
2003      ,7         ,2.1300
2003      ,8         ,6.4400
2003      ,9         ,5.7300
2003      ,10        ,1.9500
2003      ,11        ,4.8200
2003      ,12        ,1.9800
2004      ,1         ,2.2900
2004      ,2         ,1.4500
2004      ,3         ,3.7400
2004      ,4         ,3.2300
2004      ,5         ,4.3800
2004      ,6         ,1.1800
2004      ,7         ,4.5600
2004      ,8         ,3.6300
2004      ,9         ,0.0800
2004      ,10        ,4.8500
2004      ,11        ,6.6700
2004      ,12        ,1.4700
2005      ,1         ,4.3700
2005      ,2         ,2.5600
2005      ,3         ,2.2000
2005      ,4         ,5.1600
2005      ,5         ,1.6400
2005      ,6         ,2.2400
2005      ,7         ,5.9600
2005      ,8         ,2.8400
2005      ,9         ,5.0900
2005      ,10        ,1.0400
2005      ,11        ,5.5700
2005      ,12        ,0.5100
2006      ,1         ,4.0300
2006      ,2         ,1.8700
2006      ,3         ,8.6000
2006      ,4         ,3.4600
2006      ,5         ,5.3200
2006      ,6         ,2.3900
2006      ,7         ,4.4400
2006      ,8         ,7.8300
2006      ,9         ,4.1300
2006      ,10        ,6.8700
2006      ,11        ,4.5800
2006      ,12        ,3.2700
2007      ,1         ,4.9000
2007      ,2         ,3.8300
2007      ,3         ,1.5300
2007      ,4         ,3.0900
2007      ,5         ,3.5400
2007      ,6         ,1.6200
2007      ,7         ,2.1300
2007      ,8         ,0.3800
2007      ,9         ,2.4000
2007      ,10        ,6.6200
2007      ,11        ,1.4200
2007      ,12        ,7.8300
2008      ,1         ,1.7800
2008      ,2         ,3.9500
2008      ,3         ,17.3100
2008      ,4         ,6.9600
2008      ,5         ,6.0900
2008      ,6         ,3.3800
2008      ,7         ,4.1600
2008      ,8         ,2.4100
2008      ,9         ,3.0500
2008      ,10        ,2.4900
2008      ,11        ,2.3800
2008      ,12        ,3.3600
2009      ,1         ,1.0000
2009      ,2         ,2.4600
2009      ,3         ,3.4800
2009      ,4         ,4.9400
2009      ,5         ,4.1800
2009      ,6         ,3.1900
2009      ,7         ,2.1900
2009      ,8         ,3.5700
2009      ,9         ,2.8700
2009      ,10        ,11.5700
2009      ,11        ,1.9200
2009      ,12        ,5.9900
2010      ,1         ,1.9800
2010      ,2         ,1.3500
2010      ,3         ,5.1800
2010      ,4         ,5.1200
2010      ,5         ,4.1300
2010      ,6         ,0.7400
2010      ,7         ,2.8200
2010      ,8         ,0.9500
2010      ,9         ,5.5000
2010      ,10        ,0.5500
2010      ,11        ,5.2200
2010      ,12        ,1.3400
2011      ,1         ,0.3000
2011      ,2         ,4.7300
2011      ,3         ,4.3400
2011      ,4         ,18.5800
2011      ,5         ,7.4800
2011      ,6         ,5.1300
2011      ,7         ,1.6900
2011      ,8         ,2.0800
2011      ,9         ,5.7900
2011      ,10        ,1.5900
2011      ,11        ,10.5300
2011      ,12        ,6.3300
2012      ,1         ,3.1100
2012      ,2         ,2.2600
2012      ,3         ,3.2200
2012      ,4         ,0.9200
2012      ,5         ,0.5600
2012      ,6         ,1.5300
2012      ,7         ,3.5100
2012      ,8         ,2.4700
2012      ,9         ,4.6700
2012      ,10        ,4.1900
2012      ,11        ,1.7600
2012      ,12        ,2.6900
2013      ,1         ,4.6400
2013      ,2         ,3.4700
2013      ,3         ,3.5500
2013      ,4         ,4.3300
2013      ,5         ,5.3500
2013      ,6         ,9.4000
2013      ,7         ,2.5400
2013      ,8         ,3.4200
2013      ,9         ,0.8000
2013      ,10        ,5.2600
2013      ,11        ,3.1200
2013      ,12        ,6.4500
2014      ,1         ,2.2300
2014      ,2         ,0.8300
2014      ,3         ,2.2400
2014      ,4         ,8.3000
2014      ,5         ,4.9500
2014      ,6         ,4.8700
2014      ,7         ,2.8600
2014      ,8         ,3.8700
2014      ,9         ,2.5100
2014      ,10        ,4.6300
2014      ,11        ,1.9000
2014      ,12        ,2.8200
2015      ,1         ,4.3200
2015      ,2         ,0.7200
2015      ,3         ,7.3000
2015      ,4         ,3.3300
2015      ,5         ,6.1200
2015      ,6         ,4.8500
2015      ,7         ,5.0900
2015      ,8         ,2.6800
2015      ,9         ,1.2900
2015      ,10        ,0.8500
2015      ,11        ,9.4300
2015      ,12        ,6.9600
2016      ,1         ,1.3400
2016      ,2         ,3.5700
2016      ,3         ,5.0000
2016      ,4         ,4.7100
2016      ,5         ,9.4700
2016      ,6         ,1.0200
2016      ,7         ,6.8500
2016      ,8         ,11.3500
2016      ,9         ,4.0500
2016      ,10        ,1.0600
2016      ,11        ,3.5700
2016      ,12        ,3.3600
2017      ,1         ,2.3700
2017      ,2         ,0.9600
2017      ,3         ,3.0100
2017      ,4         ,12.7100
2017      ,5         ,5.3700
2017      ,6         ,2.8900
2017      ,7         ,3.2800
2017      ,8         ,2.5700
2017      ,9         ,0.4200
2017      ,10        ,2.7000
2017      ,11        ,1.9900
2017      ,12        ,2.2600
2018      ,1         ,2.2700
2018      ,2         ,9.3600
2018      ,3         ,4.8700
2018      ,4         ,4.5400
2018      ,5         ,5.8800
2018      ,6         ,8.5900
2018      ,7         ,2.9000
2018      ,8         ,3.9200
2018      ,9         ,4.6500
2018      ,10        ,3.6900
2018      ,11        ,3.3800
2018      ,12        ,4.9200
2019      ,1         ,4.5600
2019      ,2         ,6.2500
2019      ,3         ,4.5200
2019      ,4         ,5.7300
2019      ,5         ,7.8600
2019      ,6         ,5.9200
2019      ,7         ,6.3600
2019      ,8         ,3.8000
2019      ,9         ,4.6200
2019      ,10        ,6.9200
2019      ,11        ,5.2500
2019      ,12        ,1.7400
2020      ,1         ,5.3900
2020      ,2         ,4.5700
2020      ,3         ,6.1300
2020      ,4         ,2.3300
2020      ,5         ,5.9600
2020      ,6         ,4.0700
2020      ,7         ,3.5300
2020      ,8         ,5.5900
2020      ,9         ,2.2100
2020      ,10        ,5.9700
2020      ,11        ,2.3000
2020      ,12        ,2.0900
2021      ,1         ,2.8900
2021      ,2         ,2.5400
2021      ,3         ,5.1100
2021      ,4         ,5.2900
2021      ,5         ,3.6700
2021      ,6         ,5.0900
2021      ,7         ,7.9000
2021      ,8         ,3.5200
2021      ,9         ,0.9000
2021      ,10        ,3.8100
2021      ,11        ,1.9100
2021      ,12        ,5.5500
2022      ,1         ,4.1100
2022      ,2         ,6.4500
2022      ,3         ,4.3800
2022      ,4         ,6.1100
2022      ,5         ,3.4900
2022      ,6         ,0.8900
2022      ,7         ,0.9500
2022      ,8         ,5.9200
2022      ,9         ,0.4800
2022      ,10        ,1.5900
2022      ,11        ,2.3600
2022      ,12        ,3.9100
2023      ,1         ,5.3500
2023      ,2         ,4.1100
2023      ,3         ,7.4600
2023      ,4         ,3.6300
2023      ,5         ,2.4500
2023      ,6         ,1.4600
2023      ,7         ,6.8600
2023      ,8         ,12.2400
2023      ,9         ,1.2100
2023      ,10        ,2.7300
2023      ,11        ,0.6000
2023      ,12        ,1.3200
2024      ,1         ,6.5300
2024      ,2         ,0.2800
2024      ,3         ,1.9800
2024      ,4         ,3.9900
2024      ,5         ,9.9500
