0,1,2,3,4,5,6
05/01/2000,01/01/2001,8,-1.84,-6.97,-0.87,-0.76
12/01/2001,01/01/2004,25,-2.56,-26.88,-1.08,-1.21
12/01/2004,02/01/2005,2,-1.06,-1.12,-0.56,-0.56
06/01/2006,08/01/2006,2,-1.64,-2.65,-1.33,-1.33
12/01/2010,05/01/2011,5,-1.51,-4.76,-0.95,-1.22
10/01/2011,12/01/2011,2,-1.19,-2.23,-1.11,-1.11
06/01/2012,01/01/2013,7,-1.59,-8.17,-1.17,-1.22
08/01/2013,11/01/2013,3,-2.36,-4.71,-1.57,-1.75
02/01/2014,06/01/2014,4,-1.81,-5.24,-1.31,-1.22
03/01/2015,06/01/2015,3,-1.75,-2.97,-0.99,-1.05
12/01/2016,02/01/2017,2,-1.27,-1.3,-0.65,-0.65
01/01/2018,09/01/2018,8,-2.73,-14.0,-1.75,-1.8
10/01/2020,01/01/2021,3,-1.31,-2.17,-0.72,-0.44
09/01/2021,11/01/2021,2,-1.06,-1.39,-0.69,-0.69
02/01/2022,03/01/2022,1,-1.19,-1.19,-1.19,-1.19
10/01/2022,12/01/2022,2,-1.17,-1.89,-0.95,-0.95
05/01/2023,08/01/2023,3,-1.17,-2.34,-0.78,-0.95
11/01/2023,01/01/2024,2,-2.14,-2.23,-1.11,-1.11
