0,1,2,3
-2.8,1,0.34,2.13
-2.7,2,0.68,4.26
-2.5,1,0.34,6.38
-2.2,2,0.68,8.51
-2.1,1,0.34,10.64
-2.0,1,0.34,12.77
-1.8,1,0.34,14.89
-1.7,4,1.37,17.02
-1.6,4,1.37,19.15
-1.5,5,1.71,21.28
-1.4,2,0.68,23.4
-1.3,6,2.05,25.53
-1.2,8,2.73,27.66
-1.1,5,1.71,29.79
-1.0,11,3.75,31.91
-0.9,5,1.71,34.04
-0.8,9,3.07,36.17
-0.7,9,3.07,38.3
-0.6,11,3.75,40.43
-0.5,12,4.1,42.55
-0.4,9,3.07,44.68
-0.3,11,3.75,46.81
-0.2,2,0.68,48.94
-0.1,15,5.12,51.06
0.0,12,4.1,53.19
0.1,15,5.12,55.32
0.2,14,4.78,57.45
0.3,7,2.39,59.57
0.4,9,3.07,61.7
0.5,6,2.05,63.83
0.6,11,3.75,65.96
0.7,12,4.1,68.09
0.8,12,4.1,70.21
0.9,7,2.39,72.34
1.0,6,2.05,74.47
1.1,5,1.71,76.6
1.2,4,1.37,78.72
1.3,7,2.39,80.85
1.4,8,2.73,82.98
1.5,4,1.37,85.11
1.6,3,1.02,87.23
1.7,4,1.37,89.36
1.8,1,0.34,91.49
1.9,5,1.71,93.62
2.0,2,0.68,95.74
2.1,1,0.34,97.87
2.6,1,0.34,100.0
