0,1,2,3,4
01/01/2000,-1.54,-99.0,-99.0,-99.0
02/01/2000,0.81,-99.0,-99.0,-99.0
03/01/2000,-1.11,-0.75,-99.0,-99.0
04/01/2000,-0.68,-0.95,-99.0,-99.0
05/01/2000,-1.52,-1.84,-99.0,-99.0
06/01/2000,0.19,-1.07,-1.23,-99.0
07/01/2000,-0.12,-0.75,-0.99,-99.0
08/01/2000,-0.76,-0.61,-1.69,-99.0
09/01/2000,0.2,-0.75,-1.27,-99.0
10/01/2000,-0.68,-1.0,-1.28,-99.0
11/01/2000,0.8,-0.17,-0.61,-99.0
12/01/2000,-1.2,-0.77,-1.02,-1.62
01/01/2001,1.92,0.84,-0.57,-1.28
02/01/2001,1.89,1.67,0.87,-0.97
03/01/2001,-0.08,2.02,0.88,-0.87
04/01/2001,-1.03,0.28,0.61,-0.89
05/01/2001,0.06,-0.54,0.2,-0.4
06/01/2001,0.92,0.21,0.83,-0.05
07/01/2001,1.55,1.16,1.06,0.46
08/01/2001,-1.0,0.78,0.27,0.43
09/01/2001,0.5,0.47,0.38,0.53
10/01/2001,-0.25,-0.7,0.51,0.62
11/01/2001,-1.0,-0.47,0.43,0.39
12/01/2001,-0.36,-1.57,-0.09,0.5
01/01/2002,-1.2,-1.39,-1.4,0.21
02/01/2002,-0.13,-0.95,-1.04,-0.17
03/01/2002,-0.47,-1.08,-1.77,-0.24
04/01/2002,0.44,-0.14,-0.85,0.09
05/01/2002,0.02,-0.03,-0.45,0.05
06/01/2002,-1.84,-0.85,-1.12,-0.83
07/01/2002,-1.01,-1.4,-1.22,-1.49
08/01/2002,0.07,-1.62,-1.28,-1.45
09/01/2002,-0.98,-1.21,-1.4,-1.85
10/01/2002,0.37,-0.5,-1.45,-1.78
11/01/2002,-1.25,-1.42,-1.95,-1.86
12/01/2002,-1.73,-1.33,-1.64,-1.95
01/01/2003,-1.2,-2.56,-1.44,-1.99
02/01/2003,-0.08,-1.78,-2.34,-1.99
03/01/2003,-1.15,-1.56,-1.87,-2.16
04/01/2003,0.44,-0.39,-1.36,-2.05
05/01/2003,-0.42,-0.48,-1.09,-2.18
06/01/2003,0.01,-0.22,-0.64,-1.49
07/01/2003,-1.08,-0.78,-0.83,-1.24
08/01/2003,-0.96,-1.27,-1.38,-1.96
09/01/2003,0.04,-1.49,-1.08,-1.6
10/01/2003,-0.82,-1.31,-1.48,-2.03
11/01/2003,0.12,-0.91,-1.45,-1.89
12/01/2003,0.77,-0.63,-1.6,-1.56
01/01/2004,-0.09,0.23,-1.24,-1.53
02/01/2004,-0.36,0.06,-0.91,-1.56
03/01/2004,2.12,1.29,0.39,-0.93
04/01/2004,-1.28,0.23,0.18,-1.3
05/01/2004,1.02,0.96,0.79,-0.59
06/01/2004,0.66,0.6,0.89,-0.29
07/01/2004,0.21,0.89,0.8,0.03
08/01/2004,0.47,0.58,1.01,0.43
09/01/2004,0.17,0.25,0.5,0.47
10/01/2004,-0.39,0.03,0.64,0.56
11/01/2004,0.27,-0.42,0.27,0.6
12/01/2004,-0.97,-1.06,-0.17,0.49
01/01/2005,0.82,-0.06,-0.12,0.57
02/01/2005,1.45,0.8,0.02,0.84
03/01/2005,-1.34,0.53,-0.39,0.31
04/01/2005,0.96,0.97,0.5,0.77
05/01/2005,-1.66,-0.85,-0.52,-0.12
06/01/2005,0.38,-0.21,-0.06,-0.22
07/01/2005,0.49,-0.35,0.02,-0.09
08/01/2005,-0.6,-0.09,-0.67,-0.6
09/01/2005,-0.43,-0.64,-0.61,-0.73
10/01/2005,0.23,-0.87,-0.88,-0.64
11/01/2005,0.24,-0.53,-0.34,-0.66
12/01/2005,0.3,0.11,-0.58,-0.48
01/01/2006,0.64,0.29,-0.81,-0.52
02/01/2006,-2.18,-0.23,-0.74,-0.89
03/01/2006,-0.52,-0.84,-0.45,-0.83
04/01/2006,0.72,-0.13,0.0,-0.88
05/01/2006,-2.03,-0.97,-1.1,-0.92
06/01/2006,-0.42,-1.01,-1.2,-1.21
07/01/2006,-0.75,-1.64,-1.39,-1.33
08/01/2006,1.49,0.56,-0.16,-0.47
09/01/2006,0.65,1.11,0.14,-0.1
10/01/2006,0.42,1.51,0.04,-0.07
11/01/2006,0.03,0.53,0.63,-0.11
12/01/2006,0.6,0.32,1.09,-0.02
01/01/2007,-0.38,0.0,1.48,-0.11
02/01/2007,0.18,0.09,0.43,0.01
03/01/2007,0.69,0.21,0.27,0.18
04/01/2007,-0.7,-0.36,-0.32,-0.17
05/01/2007,1.54,1.1,0.94,0.96
06/01/2007,-2.2,-0.06,-0.04,0.61
07/01/2007,-0.46,-0.02,-0.18,0.58
08/01/2007,0.83,-0.68,0.21,0.23
09/01/2007,-0.02,0.18,0.01,0.02
10/01/2007,0.75,0.71,0.37,0.1
11/01/2007,-2.66,-0.39,-0.75,-0.06
12/01/2007,0.62,0.04,0.12,-0.01
01/01/2008,-0.28,-0.74,0.36,-0.01
02/01/2008,1.16,0.81,0.05,0.16
03/01/2008,-0.06,0.44,0.22,0.04
04/01/2008,1.39,1.6,0.64,0.57
05/01/2008,-0.29,0.42,0.56,-0.29
06/01/2008,1.38,1.23,1.19,0.82
07/01/2008,-0.94,0.32,0.78,0.63
08/01/2008,-1.2,-0.1,0.12,0.02
09/01/2008,1.65,0.07,0.85,0.72
10/01/2008,0.75,0.75,0.64,0.75
11/01/2008,0.04,1.99,0.85,0.93
12/01/2008,0.15,0.49,0.18,0.94
01/01/2009,-2.12,-0.45,0.5,0.9
02/01/2009,-0.52,-0.89,1.52,0.7
03/01/2009,1.39,0.32,0.44,0.96
04/01/2009,0.87,1.18,0.46,0.75
