0,1,2,3,4,5,6
04/01/2000,07/01/2000,3,-1.54,-3.13,-1.04,-1.31
01/01/2003,05/01/2003,4,-1.32,-2.95,-0.74,-0.78
04/01/2005,10/01/2005,6,-2.34,-7.98,-1.33,-1.55
12/01/2005,03/01/2006,3,-1.61,-3.39,-1.13,-1.11
09/01/2007,01/01/2008,4,-1.4,-4.1,-1.03,-1.27
12/01/2010,12/01/2011,12,-1.82,-9.25,-0.77,-0.56
07/01/2012,01/01/2013,6,-1.89,-6.56,-1.09,-0.95
08/01/2013,06/01/2014,10,-2.13,-9.58,-0.96,-0.76
02/01/2015,06/01/2015,4,-1.3,-3.54,-0.89,-1.1
10/01/2015,11/01/2015,1,-2.52,-2.52,-2.52,-2.52
03/01/2016,07/01/2016,4,-2.11,-5.97,-1.49,-1.53
12/01/2016,04/01/2017,4,-1.75,-4.48,-1.12,-1.04
11/01/2017,03/01/2018,4,-1.45,-3.85,-0.96,-1.16
05/01/2018,10/01/2018,5,-1.42,-5.1,-1.02,-1.09
12/01/2020,03/01/2021,3,-1.08,-1.9,-0.63,-0.77
04/01/2023,01/01/2024,9,-2.72,-10.82,-1.2,-1.12
