0,1,2,3
-2.6,1,0.34,1.96
-2.5,1,0.34,3.92
-2.3,3,1.02,5.88
-2.2,1,0.34,7.84
-2.1,4,1.37,9.8
-2.0,2,0.68,11.76
-1.9,1,0.34,13.73
-1.8,2,0.68,15.69
-1.7,3,1.02,17.65
-1.6,2,0.68,19.61
-1.4,5,1.71,21.57
-1.3,4,1.37,23.53
-1.2,6,2.05,25.49
-1.1,6,2.05,27.45
-1.0,10,3.41,29.41
-0.9,4,1.37,31.37
-0.8,5,1.71,33.33
-0.7,10,3.41,35.29
-0.6,9,3.07,37.25
-0.5,11,3.75,39.22
-0.4,9,3.07,41.18
-0.3,11,3.75,43.14
-0.2,15,5.12,45.1
-0.1,17,5.8,47.06
0.0,12,4.1,49.02
0.1,11,3.75,50.98
0.2,13,4.44,52.94
0.3,8,2.73,54.9
0.4,17,5.8,56.86
0.5,14,4.78,58.82
0.6,8,2.73,60.78
0.7,10,3.41,62.75
0.8,5,1.71,64.71
0.9,9,3.07,66.67
1.0,4,1.37,68.63
1.1,1,0.34,70.59
1.2,5,1.71,72.55
1.3,7,2.39,74.51
1.4,5,1.71,76.47
1.5,5,1.71,78.43
1.6,3,1.02,80.39
1.8,3,1.02,82.35
1.9,1,0.34,84.31
2.0,2,0.68,86.27
2.1,1,0.34,88.24
2.2,1,0.34,90.2
2.3,2,0.68,92.16
2.4,1,0.34,94.12
2.5,1,0.34,96.08
2.7,1,0.34,98.04
3.0,1,0.34,100.0
