0,1,2,3,4
01/01/2000,-1.25,-99.0,-99.0,-99.0
02/01/2000,0.95,-99.0,-99.0,-99.0
03/01/2000,-0.62,-0.45,-99.0,-99.0
04/01/2000,-2.49,-1.54,-99.0,-99.0
05/01/2000,0.05,-1.31,-99.0,-99.0
06/01/2000,0.69,-0.27,-0.52,-99.0
07/01/2000,-0.12,0.22,-0.34,-99.0
08/01/2000,1.34,0.8,-0.05,-99.0
09/01/2000,-0.12,0.39,0.0,-99.0
10/01/2000,0.43,0.75,0.53,-99.0
11/01/2000,-0.18,-0.14,0.51,-99.0
12/01/2000,-2.08,-0.54,0.0,-0.38
01/01/2001,1.31,-0.06,0.63,0.0
02/01/2001,1.79,1.49,0.65,0.23
03/01/2001,-1.28,1.49,0.52,0.16
04/01/2001,0.3,0.79,0.42,0.61
05/01/2001,0.43,-0.04,0.64,0.66
06/01/2001,0.25,0.32,0.84,0.48
07/01/2001,0.08,0.18,0.38,0.52
08/01/2001,-0.09,-0.06,-0.15,0.12
09/01/2001,-0.03,-0.19,0.01,0.15
10/01/2001,0.55,0.04,0.07,0.19
11/01/2001,0.28,0.21,0.01,0.26
12/01/2001,-0.54,0.11,-0.21,0.37
01/01/2002,0.86,0.17,0.0,0.26
02/01/2002,-0.74,-0.45,-0.11,-0.18
03/01/2002,-1.25,-0.62,-0.39,-0.21
04/01/2002,0.4,-0.76,-0.57,-0.2
05/01/2002,1.95,0.99,0.73,0.29
06/01/2002,-0.61,0.65,0.35,0.01
07/01/2002,-0.01,0.41,0.06,-0.02
08/01/2002,-0.04,-0.61,0.13,-0.01
09/01/2002,-0.72,-0.47,0.1,-0.1
10/01/2002,0.41,-0.29,0.09,-0.14
11/01/2002,-1.25,-0.86,-0.84,-0.31
12/01/2002,-0.02,-0.31,-0.68,-0.25
01/01/2003,-0.98,-1.32,-1.21,-0.55
02/01/2003,0.25,-0.85,-1.18,-0.39
03/01/2003,-0.2,-0.72,-0.85,-0.31
04/01/2003,0.2,-0.06,-1.14,-0.4
05/01/2003,0.59,0.26,-0.26,-0.85
06/01/2003,0.6,0.55,0.22,-0.38
07/01/2003,-1.6,-0.08,-0.14,-0.7
08/01/2003,-0.1,-0.46,-0.25,-0.76
09/01/2003,1.03,-0.25,0.15,-0.21
10/01/2003,-0.74,0.1,-0.09,-0.48
11/01/2003,0.5,0.4,-0.17,-0.26
12/01/2003,0.92,0.09,-0.27,-0.09
01/01/2004,0.17,0.65,0.38,0.03
02/01/2004,-0.69,0.14,0.33,-0.07
