0,1,2,3
-99.0,11,3.75,2.22
-3.2,1,0.34,4.44
-2.3,2,0.68,6.67
-2.2,2,0.68,8.89
-2.0,2,0.68,11.11
-1.9,3,1.02,13.33
-1.8,4,1.37,15.56
-1.7,3,1.02,17.78
-1.6,3,1.02,20.0
-1.5,7,2.39,22.22
-1.4,4,1.37,24.44
-1.3,4,1.37,26.67
-1.2,7,2.39,28.89
-1.1,3,1.02,31.11
-1.0,5,1.71,33.33
-0.9,6,2.05,35.56
-0.8,6,2.05,37.78
-0.7,6,2.05,40.0
-0.6,7,2.39,42.22
-0.5,14,4.78,44.44
-0.4,10,3.41,46.67
-0.3,13,4.44,48.89
-0.2,9,3.07,51.11
-0.1,15,5.12,53.33
0.0,13,4.44,55.56
0.1,8,2.73,57.78
0.2,11,3.75,60.0
0.3,11,3.75,62.22
0.4,11,3.75,64.44
0.5,6,2.05,66.67
0.6,9,3.07,68.89
0.7,6,2.05,71.11
0.8,6,2.05,73.33
0.9,8,2.73,75.56
1.0,6,2.05,77.78
1.1,5,1.71,80.0
1.2,8,2.73,82.22
1.3,8,2.73,84.44
1.4,8,2.73,86.67
1.5,7,2.39,88.89
1.6,6,2.05,91.11
1.7,6,2.05,93.33
1.8,1,0.34,95.56
2.0,1,0.34,97.78
2.1,1,0.34,100.0
