0,1,2,3,4,5,6
12/01/2000,02/01/2001,2,-2.19,-2.76,-1.38,-1.38
04/01/2001,09/01/2001,5,-3.1,-5.76,-1.15,-0.71
09/01/2004,10/01/2004,1,-3.11,-3.11,-3.11,-3.11
05/01/2005,07/01/2005,2,-3.03,-3.38,-1.69,-1.69
10/01/2005,01/01/2006,3,-2.6,-5.44,-1.81,-2.44
03/01/2007,09/01/2007,6,-2.4,-6.58,-1.1,-0.98
06/01/2008,08/01/2008,2,-2.38,-4.14,-2.07,-2.07
11/01/2009,12/01/2009,1,-1.6,-1.6,-1.6,-1.6
06/01/2010,07/01/2010,1,-1.58,-1.58,-1.58,-1.58
08/01/2010,09/01/2010,1,-2.66,-2.66,-2.66,-2.66
10/01/2010,11/01/2010,1,-2.17,-2.17,-2.17,-2.17
01/01/2011,02/01/2011,1,-2.59,-2.59,-2.59,-2.59
04/01/2012,06/01/2012,2,-1.8,-2.96,-1.48,-1.48
03/01/2013,04/01/2013,1,-1.65,-1.65,-1.65,-1.65
09/01/2017,02/01/2018,5,-1.92,-4.68,-0.94,-0.88
07/01/2018,08/01/2018,1,-1.81,-1.81,-1.81,-1.81
09/01/2022,12/01/2022,3,-1.92,-2.93,-0.98,-0.6
