0,1,2,3
-3.1,2,0.68,2.04
-3.0,1,0.34,4.08
-2.7,1,0.34,6.12
-2.6,2,0.68,8.16
-2.4,3,1.02,10.2
-2.2,2,0.68,12.24
-2.0,1,0.34,14.29
-1.9,2,0.68,16.33
-1.8,4,1.37,18.37
-1.7,1,0.34,20.41
-1.6,3,1.02,22.45
-1.4,2,0.68,24.49
-1.3,1,0.34,26.53
-1.2,5,1.71,28.57
-1.1,8,2.73,30.61
-1.0,6,2.05,32.65
-0.9,8,2.73,34.69
-0.8,4,1.37,36.73
-0.7,9,3.07,38.78
-0.6,8,2.73,40.82
-0.5,9,3.07,42.86
-0.4,12,4.1,44.9
-0.3,8,2.73,46.94
-0.2,17,5.8,48.98
-0.1,14,4.78,51.02
0.0,15,5.12,53.06
0.1,13,4.44,55.1
0.2,4,1.37,57.14
0.3,17,5.8,59.18
0.4,10,3.41,61.22
0.5,9,3.07,63.27
0.6,22,7.51,65.31
0.7,11,3.75,67.35
0.8,11,3.75,69.39
0.9,10,3.41,71.43
1.0,4,1.37,73.47
1.1,6,2.05,75.51
1.2,3,1.02,77.55
1.3,4,1.37,79.59
1.4,3,1.02,81.63
1.5,3,1.02,83.67
1.6,1,0.34,85.71
1.7,2,0.68,87.76
1.8,1,0.34,89.8
1.9,3,1.02,91.84
2.1,1,0.34,93.88
2.2,2,0.68,95.92
2.3,3,1.02,97.96
2.5,2,0.68,100.0
