0,1,2,3,4,5,6
12/01/2000,08/01/2001,8,-2.38,-11.01,-1.38,-1.37
03/01/2003,06/01/2003,3,-1.2,-1.81,-0.6,-0.53
02/01/2004,11/01/2004,9,-1.8,-11.63,-1.29,-1.32
05/01/2005,08/01/2005,3,-1.76,-4.58,-1.53,-1.6
11/01/2005,03/01/2006,4,-2.16,-5.19,-1.3,-1.18
04/01/2007,06/01/2007,2,-1.29,-2.45,-1.23,-1.23
09/01/2008,05/01/2009,8,-1.7,-7.14,-0.89,-0.79
07/01/2010,03/01/2011,8,-1.71,-7.32,-0.92,-0.83
08/01/2011,11/01/2011,3,-1.3,-3.48,-1.16,-1.21
04/01/2012,10/01/2012,6,-2.03,-9.98,-1.66,-1.82
03/01/2014,04/01/2014,1,-1.82,-1.82,-1.82,-1.82
01/01/2015,03/01/2015,2,-1.5,-2.85,-1.42,-1.42
10/01/2015,11/01/2015,1,-1.3,-1.3,-1.3,-1.3
06/01/2016,07/01/2016,1,-1.01,-1.01,-1.01,-1.01
11/01/2016,04/01/2017,5,-1.93,-3.93,-0.79,-0.57
09/01/2017,02/01/2018,5,-1.6,-6.15,-1.23,-1.21
09/01/2022,01/01/2023,4,-1.79,-5.14,-1.28,-1.21
06/01/2023,08/01/2023,2,-1.65,-3.24,-1.62,-1.62
11/01/2023,05/01/2024,6,-1.73,-5.9,-0.98,-0.88
