0,1,2,3
-99.0,11,3.75,2.08
-2.6,1,0.34,4.17
-2.5,1,0.34,6.25
-2.3,1,0.34,8.33
-2.2,1,0.34,10.42
-2.1,2,0.68,12.5
-2.0,2,0.68,14.58
-1.9,3,1.02,16.67
-1.8,2,0.68,18.75
-1.7,5,1.71,20.83
-1.6,5,1.71,22.92
-1.5,4,1.37,25.0
-1.4,5,1.71,27.08
-1.3,4,1.37,29.17
-1.2,3,1.02,31.25
-1.1,6,2.05,33.33
-1.0,7,2.39,35.42
-0.9,6,2.05,37.5
-0.8,7,2.39,39.58
-0.7,4,1.37,41.67
-0.6,5,1.71,43.75
-0.5,15,5.12,45.83
-0.4,8,2.73,47.92
-0.3,15,5.12,50.0
-0.2,9,3.07,52.08
-0.1,14,4.78,54.17
0.0,11,3.75,56.25
0.1,9,3.07,58.33
0.2,11,3.75,60.42
0.3,11,3.75,62.5
0.4,11,3.75,64.58
0.5,8,2.73,66.67
0.6,7,2.39,68.75
0.7,9,3.07,70.83
0.8,8,2.73,72.92
0.9,9,3.07,75.0
1.0,8,2.73,77.08
1.1,4,1.37,79.17
1.2,11,3.75,81.25
1.3,4,1.37,83.33
1.4,7,2.39,85.42
1.5,2,0.68,87.5
1.6,4,1.37,89.58
1.7,4,1.37,91.67
1.8,3,1.02,93.75
1.9,1,0.34,95.83
2.0,2,0.68,97.92
2.1,3,1.02,100.0
