0,1,2,3,4,5,6
04/01/2000,05/01/2000,1,-1.77,-1.77,-1.77,-1.77
07/01/2000,09/01/2000,2,-1.65,-2.77,-1.38,-1.38
01/01/2003,02/01/2003,1,-1.84,-1.84,-1.84,-1.84
03/01/2003,04/01/2003,1,-1.94,-1.94,-1.94,-1.94
05/01/2005,06/01/2005,1,-2.75,-2.75,-2.75,-2.75
10/01/2005,01/01/2006,3,-3.1,-5.97,-1.99,-2.65
08/01/2007,10/01/2007,2,-1.86,-2.52,-1.26,-1.26
06/01/2010,07/01/2010,1,-1.9,-1.9,-1.9,-1.9
08/01/2010,11/01/2010,3,-2.69,-4.74,-1.58,-1.49
01/01/2011,02/01/2011,1,-2.48,-2.48,-2.48,-2.48
04/01/2012,09/01/2012,5,-1.75,-5.66,-1.13,-1.58
02/01/2014,04/01/2014,2,-1.6,-2.45,-1.22,-1.22
09/01/2015,11/01/2015,2,-1.61,-1.72,-0.86,-0.86
09/01/2017,02/01/2018,5,-1.89,-3.82,-0.76,-0.45
07/01/2018,08/01/2018,1,-1.54,-1.54,-1.54,-1.54
05/01/2023,07/01/2023,2,-2.09,-3.79,-1.89,-1.89
