0,1,2,3,4,5,6
08/01/2000,10/01/2001,14,-1.83,-11.64,-0.83,-0.82
03/01/2003,06/01/2003,3,-1.29,-2.05,-0.68,-0.45
02/01/2004,11/01/2004,9,-1.54,-5.88,-0.65,-0.57
04/01/2005,08/01/2005,4,-2.15,-5.24,-1.31,-1.21
11/01/2005,03/01/2006,4,-2.37,-5.86,-1.46,-1.23
04/01/2007,12/01/2007,8,-1.94,-9.12,-1.14,-1.02
07/01/2008,05/01/2009,10,-1.42,-7.49,-0.75,-0.61
08/01/2010,04/01/2011,8,-2.6,-11.62,-1.45,-1.39
08/01/2011,11/01/2011,3,-1.69,-3.29,-1.1,-0.84
05/01/2012,02/01/2013,9,-2.46,-9.43,-1.05,-0.87
03/01/2014,04/01/2014,1,-2.0,-2.0,-2.0,-2.0
01/01/2015,04/01/2015,3,-2.06,-3.98,-1.33,-1.56
09/01/2015,11/01/2015,2,-1.19,-2.3,-1.15,-1.15
11/01/2017,02/01/2018,3,-1.9,-4.03,-1.34,-1.12
07/01/2018,08/01/2018,1,-1.06,-1.06,-1.06,-1.06
11/01/2022,01/01/2023,2,-1.3,-1.6,-0.8,-0.8
06/01/2023,08/01/2023,2,-1.65,-3.08,-1.54,-1.54
12/01/2023,05/01/2024,5,-2.22,-3.53,-0.71,-0.13
