0,1,2,3
-99.0,2,0.68,2
-2.6,1,0.34,4
-2.5,1,0.34,6
-2.4,2,0.68,8
-2.2,1,0.34,10
-2.1,2,0.68,12
-2.0,2,0.68,14
-1.9,2,0.68,16
-1.8,2,0.68,18
-1.7,1,0.34,20
-1.6,3,1.02,22
-1.5,2,0.68,24
-1.4,4,1.37,26
-1.3,7,2.39,28
-1.2,7,2.39,30
-1.1,8,2.73,32
-1.0,6,2.05,34
-0.9,7,2.39,36
-0.8,8,2.73,38
-0.7,7,2.39,40
-0.6,10,3.41,42
-0.5,13,4.44,44
-0.4,10,3.41,46
-0.3,12,4.1,48
-0.2,5,1.71,50
-0.1,15,5.12,52
0.0,16,5.46,54
0.1,8,2.73,56
0.2,12,4.1,58
0.3,9,3.07,60
0.4,20,6.83,62
0.5,8,2.73,64
0.6,10,3.41,66
0.7,5,1.71,68
0.8,3,1.02,70
0.9,12,4.1,72
1.0,7,2.39,74
1.1,6,2.05,76
1.2,8,2.73,78
1.3,3,1.02,80
1.4,4,1.37,82
1.5,2,0.68,84
1.6,3,1.02,86
1.7,3,1.02,88
1.8,2,0.68,90
1.9,4,1.37,92
2.0,2,0.68,94
2.2,2,0.68,96
2.3,3,1.02,98
2.6,1,0.34,100
