0,1,2,3,4,5,6
04/01/2000,05/01/2000,1,-2.06,-2.06,-2.06,-2.06
06/01/2004,07/01/2004,1,-1.62,-1.62,-1.62,-1.62
03/01/2005,06/01/2005,3,-2.44,-3.08,-1.03,-0.58
07/01/2005,08/01/2005,1,-1.76,-1.76,-1.76,-1.76
02/01/2006,03/01/2006,1,-2.32,-2.32,-2.32,-2.32
01/01/2009,02/01/2009,1,-2.19,-2.19,-2.19,-2.19
10/01/2010,12/01/2010,2,-1.93,-2.3,-1.15,-1.15
01/01/2011,02/01/2011,1,-1.52,-1.52,-1.52,-1.52
10/01/2011,11/01/2011,1,-1.75,-1.75,-1.75,-1.75
05/01/2012,01/01/2013,8,-2.24,-8.05,-1.01,-0.95
06/01/2013,09/01/2013,3,-1.65,-3.52,-1.17,-0.95
06/01/2016,07/01/2016,1,-1.66,-1.66,-1.66,-1.66
02/01/2017,04/01/2017,2,-1.61,-1.89,-0.95,-0.95
12/01/2017,01/01/2018,1,-2.23,-2.23,-2.23,-2.23
04/01/2018,06/01/2018,2,-2.48,-3.28,-1.64,-1.64
08/01/2021,10/01/2021,2,-1.73,-1.98,-0.99,-0.99
06/01/2022,10/01/2022,4,-1.73,-4.34,-1.08,-1.04
04/01/2023,07/01/2023,3,-2.14,-4.49,-1.5,-1.66
09/01/2023,12/01/2023,3,-2.08,-3.4,-1.13,-0.97
02/01/2024,04/01/2024,2,-1.93,-2.05,-1.03,-1.03
