0,1,2,3
-2.5,1,0.34,2.08
-2.4,1,0.34,4.17
-2.3,1,0.34,6.25
-2.2,3,1.02,8.33
-2.1,3,1.02,10.42
-1.9,2,0.68,12.5
-1.8,2,0.68,14.58
-1.7,4,1.37,16.67
-1.6,3,1.02,18.75
-1.5,5,1.71,20.83
-1.4,5,1.71,22.92
-1.3,4,1.37,25.0
-1.2,3,1.02,27.08
-1.1,4,1.37,29.17
-1.0,9,3.07,31.25
-0.9,3,1.02,33.33
-0.8,13,4.44,35.42
-0.7,7,2.39,37.5
-0.6,6,2.05,39.58
-0.5,15,5.12,41.67
-0.4,10,3.41,43.75
-0.3,8,2.73,45.83
-0.2,10,3.41,47.92
-0.1,15,5.12,50.0
0.0,9,3.07,52.08
0.1,15,5.12,54.17
0.2,12,4.1,56.25
0.3,19,6.48,58.33
0.4,13,4.44,60.42
0.5,9,3.07,62.5
0.6,11,3.75,64.58
0.7,9,3.07,66.67
0.8,7,2.39,68.75
0.9,6,2.05,70.83
1.0,9,3.07,72.92
1.1,1,0.34,75.0
1.2,4,1.37,77.08
1.3,5,1.71,79.17
1.5,6,2.05,81.25
1.6,3,1.02,83.33
1.7,3,1.02,85.42
1.8,2,0.68,87.5
1.9,3,1.02,89.58
2.0,3,1.02,91.67
2.1,1,0.34,93.75
2.2,3,1.02,95.83
2.3,2,0.68,97.92
3.0,1,0.34,100.0
