0,1,2,3,4,5,6
04/01/2000,06/01/2000,2,-2.09,-2.21,-1.1,-1.1
06/01/2004,07/01/2004,1,-1.56,-1.56,-1.56,-1.56
03/01/2005,06/01/2005,3,-2.05,-2.8,-0.93,-0.65
07/01/2005,08/01/2005,1,-1.96,-1.96,-1.96,-1.96
02/01/2006,03/01/2006,1,-2.02,-2.02,-2.02,-2.02
09/01/2006,10/01/2006,1,-1.66,-1.66,-1.66,-1.66
08/01/2007,12/01/2007,4,-1.95,-2.73,-0.68,-0.39
01/01/2009,02/01/2009,1,-2.35,-2.35,-2.35,-2.35
10/01/2010,11/01/2010,1,-1.59,-1.59,-1.59,-1.59
01/01/2011,02/01/2011,1,-1.54,-1.54,-1.54,-1.54
05/01/2012,01/01/2013,8,-2.18,-8.34,-1.04,-0.83
03/01/2014,04/01/2014,1,-1.81,-1.81,-1.81,-1.81
10/01/2015,11/01/2015,1,-1.52,-1.52,-1.52,-1.52
06/01/2016,07/01/2016,1,-1.91,-1.91,-1.91,-1.91
02/01/2017,04/01/2017,2,-1.65,-1.88,-0.94,-0.94
11/01/2017,01/01/2018,2,-2.4,-3.95,-1.97,-1.97
04/01/2018,06/01/2018,2,-2.46,-3.44,-1.72,-1.72
08/01/2021,09/01/2021,1,-1.88,-1.88,-1.88,-1.88
04/01/2023,07/01/2023,3,-2.05,-4.34,-1.45,-2.04
09/01/2023,12/01/2023,3,-1.77,-3.18,-1.06,-1.11
02/01/2024,04/01/2024,2,-2.42,-2.57,-1.28,-1.28
