0,1,2,3,4,5,6
04/01/2000,07/01/2000,3,-1.34,-2.6,-0.87,-1.02
01/01/2003,05/01/2003,4,-1.57,-3.66,-0.91,-1.0
05/01/2005,08/01/2005,3,-1.24,-3.03,-1.01,-1.22
12/01/2005,02/01/2007,14,-1.5,-10.25,-0.73,-0.82
08/01/2007,12/01/2007,4,-1.66,-5.46,-1.37,-1.43
08/01/2011,12/01/2011,4,-1.44,-4.22,-1.06,-1.15
07/01/2012,02/01/2013,7,-2.95,-10.45,-1.49,-1.21
08/01/2013,06/01/2014,10,-2.76,-12.07,-1.21,-1.02
03/01/2015,06/01/2015,3,-1.43,-3.2,-1.07,-1.41
10/01/2015,11/01/2015,1,-1.48,-1.48,-1.48,-1.48
03/01/2016,07/01/2016,4,-1.96,-7.02,-1.75,-1.84
12/01/2016,04/01/2017,4,-1.84,-4.43,-1.11,-1.12
12/01/2017,03/01/2018,3,-1.65,-3.05,-1.02,-1.07
04/01/2018,10/01/2018,6,-1.76,-7.28,-1.21,-1.1
12/01/2020,01/01/2021,1,-1.1,-1.1,-1.1,-1.1
01/01/2022,04/01/2022,3,-1.03,-2.08,-0.69,-0.8
08/01/2022,03/01/2023,7,-1.52,-5.59,-0.8,-0.66
04/01/2023,08/01/2023,4,-2.27,-6.14,-1.53,-1.66
11/01/2023,01/01/2024,2,-2.12,-2.57,-1.29,-1.29
