0,1,2,3
-2.5,1,0.34,2
-2.4,2,0.68,4
-2.3,1,0.34,6
-2.2,1,0.34,8
-2.1,2,0.68,10
-2.0,4,1.37,12
-1.9,3,1.02,14
-1.8,3,1.02,16
-1.7,1,0.34,18
-1.6,3,1.02,20
-1.5,5,1.71,22
-1.4,3,1.02,24
-1.3,3,1.02,26
-1.2,2,0.68,28
-1.1,9,3.07,30
-1.0,6,2.05,32
-0.9,7,2.39,34
-0.8,8,2.73,36
-0.7,5,1.71,38
-0.6,17,5.8,40
-0.5,6,2.05,42
-0.4,8,2.73,44
-0.3,9,3.07,46
-0.2,14,4.78,48
-0.1,15,5.12,50
0.0,12,4.1,52
0.1,13,4.44,54
0.2,11,3.75,56
0.3,9,3.07,58
0.4,13,4.44,60
0.5,16,5.46,62
0.6,11,3.75,64
0.7,9,3.07,66
0.8,12,4.1,68
0.9,4,1.37,70
1.0,2,0.68,72
1.1,8,2.73,74
1.2,8,2.73,76
1.3,4,1.37,78
1.4,3,1.02,80
1.5,3,1.02,82
1.6,2,0.68,84
1.7,1,0.34,86
1.8,2,0.68,88
1.9,1,0.34,90
2.0,1,0.34,92
2.1,1,0.34,94
2.2,4,1.37,96
2.3,4,1.37,98
2.9,1,0.34,100
