0,1,2,3,4
01/01/2000,-0.57,-99.0,-99.0,-99.0
02/01/2000,1.09,-99.0,-99.0,-99.0
03/01/2000,-0.41,0.07,-99.0,-99.0
04/01/2000,-2.09,-1.02,-99.0,-99.0
05/01/2000,-0.11,-1.34,-99.0,-99.0
06/01/2000,1.19,-0.24,-0.25,-99.0
07/01/2000,-0.08,0.4,-0.22,-99.0
08/01/2000,2.16,1.5,0.55,-99.0
09/01/2000,-0.1,0.89,0.48,-99.0
10/01/2000,0.19,1.2,0.93,-99.0
11/01/2000,-0.18,-0.35,1.0,-99.0
12/01/2000,-1.4,-0.64,0.49,0.14
01/01/2001,1.17,-0.02,1.09,0.45
02/01/2001,1.6,1.4,0.53,0.64
03/01/2001,-1.4,1.02,0.25,0.51
04/01/2001,-0.09,0.19,0.02,0.83
05/01/2001,0.89,-0.11,0.5,1.03
06/01/2001,0.47,0.48,0.86,0.86
07/01/2001,0.58,0.8,0.71,1.03
08/01/2001,-0.79,0.14,-0.08,0.15
09/01/2001,0.03,-0.09,0.16,0.2
10/01/2001,0.44,-0.32,0.35,0.27
11/01/2001,0.14,0.09,0.1,0.32
12/01/2001,-0.48,0.0,-0.18,0.4
01/01/2002,0.82,0.12,-0.36,0.32
02/01/2002,-0.48,-0.33,-0.18,-0.18
03/01/2002,-1.27,-0.66,-0.54,-0.18
04/01/2002,0.23,-0.92,-0.69,-0.08
05/01/2002,1.79,0.75,0.45,0.27
06/01/2002,-0.62,0.73,0.27,-0.03
07/01/2002,0.27,0.7,0.11,-0.17
08/01/2002,1.24,0.37,0.74,0.41
09/01/2002,-0.17,0.49,0.73,0.35
10/01/2002,0.58,0.73,0.83,0.41
11/01/2002,-1.26,-0.38,0.07,0.28
12/01/2002,-0.42,-0.32,0.22,0.28
01/01/2003,-0.98,-1.57,-0.07,0.0
02/01/2003,0.08,-1.17,-1.0,0.1
03/01/2003,-0.29,-0.82,-0.9,0.25
04/01/2003,0.36,-0.09,-1.03,0.27
05/01/2003,0.08,0.01,-0.58,-0.31
06/01/2003,0.77,0.49,-0.01,0.07
07/01/2003,-1.22,-0.22,-0.33,-0.33
08/01/2003,-0.32,-0.39,-0.45,-0.79
09/01/2003,1.54,0.25,0.41,-0.05
10/01/2003,-0.66,0.54,0.13,-0.37
11/01/2003,0.13,0.92,0.15,-0.22
12/01/2003,0.99,-0.08,0.1,0.0
01/01/2004,0.49,0.67,0.8,0.19
02/01/2004,-0.54,0.39,0.9,0.12
03/01/2004,2.21,1.36,0.88,0.77
04/01/2004,-0.4,0.71,0.85,0.5
05/01/2004,0.74,1.06,1.04,0.65
06/01/2004,-1.56,-0.65,0.2,0.12
07/01/2004,0.59,0.02,0.32,0.6
08/01/2004,0.84,0.08,0.75,0.9
09/01/2004,-1.08,0.22,-0.3,0.13
10/01/2004,0.33,0.01,-0.03,0.35
11/01/2004,1.97,0.44,0.22,0.73
12/01/2004,-0.56,0.92,0.58,0.5
01/01/2005,2.21,2.08,1.33,0.98
02/01/2005,0.53,1.62,1.23,1.15
03/01/2005,-2.05,0.88,1.21,0.32
04/01/2005,-0.1,-0.95,0.89,0.38
05/01/2005,-0.65,-1.22,-0.2,0.02
06/01/2005,0.04,-0.56,-0.04,0.33
07/01/2005,-1.96,-1.24,-1.64,-0.28
08/01/2005,1.9,0.34,-0.62,0.18
09/01/2005,0.82,0.7,0.14,0.61
10/01/2005,-0.13,1.35,0.15,0.52
11/01/2005,-0.66,0.11,0.26,0.07
