0,1,2,3
-99.0,5,1.71,2
-3.1,1,0.34,4
-3.0,1,0.34,6
-2.6,1,0.34,8
-2.5,1,0.34,10
-2.4,1,0.34,12
-2.3,1,0.34,14
-2.2,2,0.68,16
-2.1,2,0.68,18
-2.0,1,0.34,20
-1.8,5,1.71,22
-1.7,4,1.37,24
-1.6,5,1.71,26
-1.5,1,0.34,28
-1.4,7,2.39,30
-1.3,5,1.71,32
-1.2,4,1.37,34
-1.1,5,1.71,36
-1.0,3,1.02,38
-0.9,5,1.71,40
-0.8,10,3.41,42
-0.7,5,1.71,44
-0.6,7,2.39,46
-0.5,6,2.05,48
-0.4,11,3.75,50
-0.3,11,3.75,52
-0.2,13,4.44,54
-0.1,9,3.07,56
0.0,12,4.1,58
0.1,9,3.07,60
0.2,10,3.41,62
0.3,12,4.1,64
0.4,10,3.41,66
0.5,8,2.73,68
0.6,15,5.12,70
0.7,13,4.44,72
0.8,12,4.1,74
0.9,14,4.78,76
1.0,13,4.44,78
1.1,5,1.71,80
1.2,7,2.39,82
1.3,5,1.71,84
1.4,3,1.02,86
1.5,4,1.37,88
1.6,1,0.34,90
1.8,2,0.68,92
1.9,1,0.34,94
2.0,3,1.02,96
2.1,1,0.34,98
2.3,1,0.34,100
