0,1,2,3,4
01/01/2000,-0.76,-99.0,-99.0,-99.0
02/01/2000,-0.35,-99.0,-99.0,-99.0
03/01/2000,-0.94,-1.25,-99.0,-99.0
04/01/2000,-2.68,-1.93,-99.0,-99.0
05/01/2000,-2.05,-2.37,-99.0,-99.0
06/01/2000,0.52,-1.55,-2.06,-99.0
07/01/2000,0.9,-0.19,-1.27,-99.0
08/01/2000,-1.01,0.46,-1.39,-99.0
09/01/2000,-0.32,-0.26,-1.65,-99.0
10/01/2000,0.24,-1.02,-0.9,-99.0
11/01/2000,0.03,-0.47,-0.14,-99.0
12/01/2000,-0.86,-0.36,-0.61,-1.87
01/01/2001,-0.35,-0.65,-1.43,-1.88
02/01/2001,0.95,-0.16,-0.66,-1.7
03/01/2001,-1.77,-0.6,-0.84,-1.97
04/01/2001,-0.62,-0.7,-1.33,-1.63
05/01/2001,-0.33,-1.14,-1.31,-1.15
06/01/2001,0.55,-0.26,-0.63,-1.22
07/01/2001,0.08,-0.02,-0.5,-1.48
08/01/2001,-0.21,0.12,-0.84,-1.12
09/01/2001,0.55,0.15,-0.25,-0.75
10/01/2001,-0.01,0.08,-0.04,-0.88
11/01/2001,0.53,0.42,0.34,-0.71
12/01/2001,0.82,0.49,0.38,-0.28
01/01/2002,0.66,0.78,0.63,-0.1
02/01/2002,-1.28,0.07,0.34,-0.61
03/01/2002,0.4,-0.01,0.22,-0.1
04/01/2002,0.02,-0.29,0.2,0.06
05/01/2002,1.86,1.05,0.93,0.92
06/01/2002,-0.25,0.89,0.66,0.75
07/01/2002,0.39,1.24,0.57,0.8
08/01/2002,1.47,0.75,1.15,1.0
09/01/2002,-0.23,0.45,1.04,0.73
10/01/2002,0.48,0.55,1.34,0.9
11/01/2002,-1.28,-0.86,-0.2,0.54
12/01/2002,-0.16,-0.58,-0.12,0.4
01/01/2003,-1.25,-1.5,-0.72,0.07
02/01/2003,0.15,-0.97,-1.56,0.32
03/01/2003,-0.92,-1.12,-1.38,-0.05
04/01/2003,0.15,-0.41,-1.62,-0.04
05/01/2003,0.22,-0.24,-0.83,-0.85
06/01/2003,0.92,0.5,-0.22,-0.47
07/01/2003,-0.98,0.08,-0.27,-0.83
08/01/2003,-0.79,-0.49,-0.45,-1.22
09/01/2003,0.41,-0.74,-0.12,-0.95
10/01/2003,-0.04,-0.37,-0.26,-1.18
11/01/2003,1.03,0.64,0.19,-0.51
12/01/2003,-0.33,0.43,-0.35,-0.41
01/01/2004,0.4,0.62,0.18,-0.17
02/01/2004,-1.6,-1.01,-0.03,-0.49
03/01/2004,0.4,-0.22,0.03,-0.14
04/01/2004,-0.05,-0.38,-0.02,-0.25
05/01/2004,0.28,0.19,-0.39,-0.24
06/01/2004,0.18,0.1,-0.12,-0.54
07/01/2004,-0.55,-0.18,-0.41,-0.4
08/01/2004,-0.27,-0.67,-0.16,-0.26
09/01/2004,-2.57,-1.61,-1.05,-0.75
10/01/2004,0.71,-0.93,-0.84,-0.58
11/01/2004,1.66,0.67,0.11,-0.26
12/01/2004,-1.25,1.17,-0.22,-0.27
01/01/2005,1.82,1.64,0.9,0.13
02/01/2005,0.02,0.76,1.0,0.38
03/01/2005,-1.84,0.2,0.9,-0.15
04/01/2005,-0.48,-1.21,0.4,-0.32
05/01/2005,-1.57,-1.68,-1.19,-0.87
06/01/2005,-0.42,-1.2,-0.85,-1.14
07/01/2005,0.48,-0.92,-1.38,-0.72
08/01/2005,-0.28,-0.3,-1.43,-0.62
09/01/2005,1.18,1.0,-0.27,0.29
10/01/2005,-0.83,0.54,-0.41,-0.05
11/01/2005,0.59,0.84,0.46,-0.55
12/01/2005,-1.26,-0.6,0.39,-0.42
01/01/2006,0.06,-0.13,0.19,-1.01
02/01/2006,-1.53,-1.82,-0.17,-1.43
03/01/2006,0.29,-0.46,-0.91,-0.92
04/01/2006,0.1,-0.35,-0.61,-0.78
05/01/2006,-0.05,0.06,-0.83,-0.35
06/01/2006,-0.5,-0.27,-0.57,-0.4
07/01/2006,-1.42,-1.16,-0.96,-0.88
08/01/2006,0.09,-1.5,-0.61,-0.68
09/01/2006,-0.1,-1.02,-1.09,-1.36
10/01/2006,0.36,-0.21,-1.15,-1.16
11/01/2006,1.1,0.52,-0.43,-0.93
12/01/2006,0.19,0.86,-0.16,-0.56
01/01/2007,0.8,1.01,0.66,-0.42
02/01/2007,0.05,0.4,0.64,-0.22
03/01/2007,-0.94,-0.21,0.38,-0.6
04/01/2007,0.16,-0.46,0.28,-0.62
05/01/2007,-0.94,-0.77,-0.67,-0.9
06/01/2007,1.54,0.4,0.13,-0.16
07/01/2007,-1.88,-0.32,-0.55,-0.2
08/01/2007,-1.89,-0.57,-0.91,-0.48
09/01/2007,0.73,-1.0,-0.39,-0.11
10/01/2007,-1.26,-0.94,-0.97,-0.46
11/01/2007,-0.57,-0.47,-0.78,-1.05
12/01/2007,1.17,-0.5,-1.33,-0.65
01/01/2008,0.12,0.12,-0.68,-0.87
02/01/2008,1.47,1.56,0.58,-0.51
03/01/2008,2.59,2.3,1.52,0.83
04/01/2008,0.5,2.17,2.01,0.93
05/01/2008,0.14,1.43,1.96,1.16
06/01/2008,-0.73,-0.04,1.42,0.49
07/01/2008,0.74,0.03,1.52,1.05
08/01/2008,0.46,0.17,1.27,1.21
09/01/2008,1.4,1.61,1.12,1.55
10/01/2008,-0.96,1.16,0.76,1.7
11/01/2008,-1.23,0.33,0.29,1.65
12/01/2008,0.58,-1.08,0.76,1.48
01/01/2009,-0.77,-0.85,0.21,1.38
02/01/2009,0.15,-0.27,0.05,1.18
03/01/2009,-0.36,-0.62,-1.36,0.04
04/01/2009,0.69,0.16,-0.63,0.08
05/01/2009,0.58,0.38,0.1,0.22
06/01/2009,1.64,1.25,0.71,1.06
07/01/2009,-0.7,0.91,0.61,0.58
08/01/2009,-1.48,0.19,0.35,0.19
09/01/2009,0.95,-0.18,1.01,-0.1
10/01/2009,2.74,2.35,2.32,1.13
11/01/2009,0.18,2.28,2.04,1.42
12/01/2009,-0.37,1.83,1.3,1.23
01/01/2010,0.43,0.0,1.79,1.43
02/01/2010,-0.3,-0.41,2.11,1.52
03/01/2010,-0.52,-0.39,1.1,1.53
04/01/2010,0.35,-0.29,-0.47,1.41
05/01/2010,0.12,-0.06,-0.41,1.18
06/01/2010,0.59,0.38,0.02,0.83
07/01/2010,2.11,1.62,0.82,1.77
08/01/2010,-1.18,1.72,0.72,1.53
09/01/2010,1.1,1.76,1.58,1.6
10/01/2010,-2.53,-0.33,1.18,0.42
11/01/2010,0.9,0.67,1.48,0.68
12/01/2010,-0.87,-0.62,1.14,0.65
01/01/2011,-1.9,-0.33,-0.65,0.34
02/01/2011,1.25,-0.42,0.31,0.78
03/01/2011,0.38,0.28,-0.33,1.04
04/01/2011,1.36,1.37,0.91,1.44
05/01/2011,0.7,1.03,0.73,1.55
06/01/2011,-0.09,0.92,0.84,1.46
07/01/2011,-0.29,0.09,0.94,0.45
08/01/2011,0.55,-0.22,0.75,0.65
09/01/2011,0.1,-0.14,0.68,0.18
10/01/2011,-0.74,-0.42,-0.28,0.37
11/01/2011,0.51,-0.31,-0.45,0.23
12/01/2011,1.0,0.25,-0.04,0.59
01/01/2012,-0.25,0.47,0.0,0.76
02/01/2012,-0.14,0.09,-0.34,0.47
03/01/2012,-0.76,-0.81,-0.5,0.16
04/01/2012,-1.28,-1.24,-0.81,-0.82
05/01/2012,-2.2,-1.87,-1.75,-1.7
06/01/2012,-1.7,-2.45,-2.39,-2.25
07/01/2012,-0.81,-2.86,-2.5,-2.26
08/01/2012,0.12,-1.82,-2.33,-2.04
09/01/2012,0.88,0.22,-1.8,-1.56
10/01/2012,0.77,1.12,-1.07,-1.23
11/01/2012,-0.38,0.69,-0.42,-1.55
12/01/2012,-0.73,-0.19,-0.06,-1.7
01/01/2013,0.91,-0.16,0.64,-1.46
02/01/2013,0.9,0.68,0.98,-1.32
03/01/2013,0.88,1.21,0.72,-0.8
04/01/2013,0.52,0.97,0.61,-0.3
05/01/2013,0.65,0.8,0.94,0.44
06/01/2013,-0.16,0.42,0.99,0.78
07/01/2013,-0.3,0.01,0.61,0.84
08/01/2013,2.32,0.94,1.02,1.19
09/01/2013,0.81,1.29,1.23,1.14
10/01/2013,0.31,1.84,1.27,1.1
11/01/2013,-0.52,0.3,0.72,1.11
12/01/2013,-0.19,-0.41,0.79,1.16
01/01/2014,-0.84,-0.97,0.75,0.86
02/01/2014,-1.5,-1.86,-0.82,0.51
03/01/2014,-1.2,-1.96,-1.77,-0.08
04/01/2014,-0.22,-1.35,-2.16,-0.38
05/01/2014,-1.04,-1.1,-2.1,-0.97
06/01/2014,0.22,-0.56,-1.58,-0.91
07/01/2014,-1.66,-1.44,-1.79,-1.14
08/01/2014,-1.33,-1.82,-1.74,-1.89
09/01/2014,-0.69,-2.31,-2.16,-2.58
10/01/2014,0.63,-1.07,-2.0,-2.64
11/01/2014,-0.4,-0.67,-1.66,-2.64
12/01/2014,0.33,0.09,-1.71,-2.22
01/01/2015,-0.51,-0.51,-1.36,-2.25
02/01/2015,-0.38,-0.69,-1.19,-2.34
03/01/2015,-0.43,-0.85,-0.66,-2.21
04/01/2015,-1.2,-1.13,-1.61,-2.62
05/01/2015,1.13,-0.05,-0.52,-1.59
06/01/2015,1.45,0.8,0.18,-1.12
07/01/2015,0.72,1.73,0.5,-0.39
08/01/2015,0.62,1.77,0.75,-0.01
09/01/2015,-1.41,-0.16,0.54,-0.1
10/01/2015,-1.04,-1.48,0.72,-0.49
11/01/2015,1.82,0.17,1.16,0.38
12/01/2015,3.24,2.41,1.86,1.21
01/01/2016,-1.13,2.34,1.44,1.15
02/01/2016,-0.43,1.61,1.14,1.28
03/01/2016,-0.15,-0.9,1.38,1.38
04/01/2016,-0.32,-0.56,1.53,1.57
05/01/2016,0.6,0.03,0.68,1.29
06/01/2016,-2.12,-0.5,-1.01,0.46
07/01/2016,1.21,0.32,-0.2,0.64
08/01/2016,0.33,0.08,0.01,0.48
09/01/2016,0.56,1.03,0.26,0.93
10/01/2016,-0.21,0.23,0.34,1.13
11/01/2016,-1.26,-0.53,-0.42,0.21
12/01/2016,-0.74,-1.37,0.01,-0.78
01/01/2017,-2.05,-2.1,-1.33,-0.9
02/01/2017,-0.1,-1.83,-1.72,-0.95
03/01/2017,-0.17,-0.96,-1.82,-1.01
04/01/2017,2.57,1.53,0.29,0.39
05/01/2017,1.28,1.78,1.17,0.64
06/01/2017,-1.07,1.7,1.0,0.83
07/01/2017,-1.07,-0.16,0.94,0.09
08/01/2017,0.17,-1.63,1.03,0.04
09/01/2017,-2.16,-1.63,0.77,-0.5
10/01/2017,-0.51,-1.64,-1.23,-0.6
11/01/2017,-2.23,-2.94,-3.07,-0.69
12/01/2017,-1.07,-2.05,-3.01,-0.59
01/01/2018,0.06,-1.52,-2.62,-0.36
02/01/2018,2.17,1.25,-1.15,0.37
03/01/2018,0.64,1.5,0.09,0.62
04/01/2018,-0.57,1.07,-0.01,-0.9
05/01/2018,0.07,0.01,0.47,-1.46
06/01/2018,-0.03,-0.32,0.66,-1.27
07/01/2018,-0.36,-0.36,0.49,-1.0
08/01/2018,0.03,-0.54,-0.27,-0.89
09/01/2018,0.95,0.44,-0.08,-0.1
10/01/2018,1.01,1.33,0.61,0.31
11/01/2018,0.34,1.22,0.68,0.73
12/01/2018,1.29,1.16,1.15,1.11
01/01/2019,-0.22,0.52,1.32,1.08
02/01/2019,1.15,1.22,1.82,0.82
03/01/2019,0.53,0.68,1.22,0.8
04/01/2019,0.32,0.81,0.93,1.05
