0,1,2,3,4,5,6
01/01/2000,02/01/2000,1,-1.62,-1.62,-1.62,-1.62
05/01/2000,06/01/2000,1,-1.72,-1.72,-1.72,-1.72
06/01/2002,10/01/2002,4,-2.51,-3.29,-0.82,-0.37
12/01/2002,04/01/2003,4,-1.73,-3.33,-0.83,-0.71
07/01/2003,11/01/2003,4,-2.63,-5.49,-1.37,-1.03
02/01/2006,03/01/2006,1,-1.64,-1.64,-1.64,-1.64
06/01/2007,08/01/2007,2,-1.54,-1.98,-0.99,-0.99
11/01/2007,12/01/2007,1,-1.93,-1.93,-1.93,-1.93
08/01/2008,09/01/2008,1,-1.79,-1.79,-1.79,-1.79
01/01/2009,03/01/2009,2,-1.77,-2.18,-1.09,-1.09
09/01/2011,11/01/2011,2,-3.04,-4.92,-2.46,-2.46
05/01/2012,08/01/2012,3,-1.5,-2.31,-0.77,-0.45
03/01/2014,06/01/2014,3,-2.68,-4.42,-1.47,-0.96
11/01/2014,12/01/2014,1,-1.87,-1.87,-1.87,-1.87
06/01/2016,07/01/2016,1,-1.55,-1.55,-1.55,-1.55
04/01/2018,06/01/2018,2,-2.38,-3.28,-1.64,-1.64
02/01/2020,03/01/2020,1,-1.75,-1.75,-1.75,-1.75
08/01/2020,11/01/2020,3,-1.9,-2.75,-0.92,-0.79
