0,1,2,3,4,5,6
04/01/2002,06/01/2003,14,-1.78,-12.6,-0.9,-0.96
08/01/2003,02/01/2004,6,-1.65,-6.14,-1.02,-1.16
09/01/2004,04/01/2005,7,-2.15,-10.27,-1.47,-1.32
02/01/2006,12/01/2006,10,-1.79,-7.21,-0.72,-0.59
03/01/2011,07/01/2011,4,-2.02,-3.62,-0.9,-0.78
06/01/2012,01/01/2013,7,-1.13,-5.71,-0.82,-0.93
10/01/2013,08/01/2014,10,-2.24,-15.85,-1.59,-1.46
09/01/2017,10/01/2018,13,-2.49,-18.56,-1.43,-1.35
01/01/2021,03/01/2021,2,-1.32,-2.07,-1.04,-1.04
02/01/2022,06/01/2022,4,-1.36,-1.98,-0.49,-0.21
09/01/2022,02/01/2023,5,-1.6,-6.35,-1.27,-1.38
