0,1,2,3
-3.0,1,0.34,2.17
-2.7,1,0.34,4.35
-2.6,1,0.34,6.52
-2.5,1,0.34,8.7
-2.4,1,0.34,10.87
-1.9,4,1.37,13.04
-1.8,3,1.02,15.22
-1.7,2,0.68,17.39
-1.6,3,1.02,19.57
-1.5,4,1.37,21.74
-1.4,5,1.71,23.91
-1.3,6,2.05,26.09
-1.2,4,1.37,28.26
-1.1,7,2.39,30.43
-1.0,6,2.05,32.61
-0.9,9,3.07,34.78
-0.8,13,4.44,36.96
-0.7,8,2.73,39.13
-0.6,8,2.73,41.3
-0.5,9,3.07,43.48
-0.4,8,2.73,45.65
-0.3,12,4.1,47.83
-0.2,10,3.41,50.0
-0.1,13,4.44,52.17
0.0,14,4.78,54.35
0.1,13,4.44,56.52
0.2,10,3.41,58.7
0.3,12,4.1,60.87
0.4,8,2.73,63.04
0.5,8,2.73,65.22
0.6,9,3.07,67.39
0.7,8,2.73,69.57
0.8,8,2.73,71.74
0.9,10,3.41,73.91
1.0,5,1.71,76.09
1.1,12,4.1,78.26
1.2,2,0.68,80.43
1.3,3,1.02,82.61
1.4,7,2.39,84.78
1.5,8,2.73,86.96
1.6,3,1.02,89.13
1.7,4,1.37,91.3
1.8,4,1.37,93.48
2.0,3,1.02,95.65
2.1,2,0.68,97.83
2.2,1,0.34,100.0
