0,1,2,3,4
01/01/2000,-1.62,-99.0,-99.0,-99.0
02/01/2000,1.53,-99.0,-99.0,-99.0
03/01/2000,-0.03,0.61,-99.0,-99.0
04/01/2000,-0.59,0.21,-99.0,-99.0
05/01/2000,-1.72,-1.5,-99.0,-99.0
06/01/2000,1.54,0.02,0.26,-99.0
07/01/2000,0.97,0.9,0.85,-99.0
08/01/2000,-0.51,1.11,-0.02,-99.0
09/01/2000,-0.26,-0.06,-0.15,-99.0
10/01/2000,-0.46,-0.86,-0.15,-99.0
11/01/2000,0.82,-0.43,0.7,-99.0
12/01/2000,-1.42,-0.66,-0.4,-0.26
01/01/2001,1.41,0.51,-0.77,0.02
02/01/2001,1.52,1.03,0.19,0.04
03/01/2001,0.45,1.49,0.63,0.16
04/01/2001,-0.74,0.42,0.48,0.11
05/01/2001,-1.09,-1.02,-0.46,0.16
06/01/2001,1.1,-0.31,0.61,0.02
07/01/2001,0.56,0.41,0.52,-0.16
08/01/2001,-1.45,0.15,-0.75,-0.49
09/01/2001,1.06,0.07,-0.22,0.08
10/01/2001,0.36,-0.05,0.11,0.32
11/01/2001,-0.36,0.7,0.46,0.04
12/01/2001,-0.5,-0.59,-0.25,0.11
01/01/2002,-0.85,-0.99,-0.64,-0.16
02/01/2002,0.24,-0.68,0.23,-0.54
03/01/2002,-0.4,-0.65,-0.87,-0.68
04/01/2002,-0.62,-1.05,-1.19,-0.59
05/01/2002,0.58,-0.11,-0.44,0.01
06/01/2002,-2.51,-1.3,-1.63,-1.0
07/01/2002,-0.63,-1.2,-1.64,-1.4
08/01/2002,-0.12,-1.92,-1.78,-1.17
09/01/2002,-0.03,-0.66,-1.5,-1.84
10/01/2002,1.4,0.48,-0.41,-1.15
11/01/2002,-0.97,0.6,-1.14,-1.37
12/01/2002,-1.73,0.5,-0.43,-1.46
01/01/2003,-1.08,-2.05,-0.2,-1.48
02/01/2003,-0.17,-1.64,-0.15,-1.61
03/01/2003,-0.35,-0.9,-0.18,-1.41
04/01/2003,0.3,-0.35,-1.08,-0.99
05/01/2003,-0.25,-0.3,-0.84,-1.26
06/01/2003,1.28,0.97,0.39,-0.12
07/01/2003,-2.63,-0.26,-0.46,-0.43
08/01/2003,-1.17,-0.86,-1.12,-0.93
09/01/2003,-0.81,-2.66,-1.24,-1.23
10/01/2003,-0.89,-1.73,-1.65,-2.25
11/01/2003,2.1,0.38,-0.54,-1.18
12/01/2003,0.73,1.43,-1.2,-0.81
01/01/2004,-0.19,1.76,-0.4,-0.77
02/01/2004,0.14,0.29,0.39,-0.73
03/01/2004,1.36,0.92,1.48,-0.13
04/01/2004,-1.43,-0.08,1.13,-0.54
05/01/2004,0.87,0.59,0.51,-0.04
06/01/2004,-1.04,-0.7,-0.12,-0.91
07/01/2004,0.02,-0.02,-0.11,-0.35
08/01/2004,-0.25,-1.06,-0.38,-0.13
09/01/2004,-1.28,-0.88,-1.32,-0.22
10/01/2004,-0.95,-1.26,-1.15,-0.23
11/01/2004,-0.09,-2.25,-2.15,-1.24
12/01/2004,-0.6,-1.87,-1.66,-1.53
01/01/2005,0.35,-0.48,-1.79,-1.48
02/01/2005,1.54,0.78,-1.3,-1.07
03/01/2005,-1.14,0.39,-0.89,-1.65
04/01/2005,1.77,1.83,0.85,-0.4
05/01/2005,0.06,0.63,0.73,-0.75
06/01/2005,0.27,1.35,1.32,-0.33
07/01/2005,0.82,0.59,1.45,-0.02
08/01/2005,0.9,1.08,1.51,0.56
09/01/2005,-1.45,0.48,1.17,0.57
10/01/2005,0.4,0.22,0.47,0.89
11/01/2005,0.12,-0.89,0.48,1.03
