0,1,2,3,4,5,6
04/01/2000,11/01/2000,7,-1.48,-4.79,-0.68,-0.76
02/01/2001,07/01/2001,5,-1.42,-6.0,-1.2,-1.17
10/01/2001,12/01/2001,2,-1.22,-1.31,-0.65,-0.65
11/01/2002,06/01/2003,7,-1.72,-5.55,-0.79,-0.95
02/01/2004,11/01/2004,9,-1.61,-6.94,-0.77,-0.67
05/01/2005,09/01/2005,4,-1.03,-2.45,-0.61,-0.68
12/01/2005,03/01/2006,3,-1.29,-2.53,-0.84,-1.12
05/01/2007,11/01/2007,6,-2.3,-8.04,-1.34,-1.32
01/01/2009,10/01/2009,9,-1.39,-6.17,-0.69,-0.59
07/01/2010,11/01/2010,4,-2.13,-4.78,-1.2,-1.15
12/01/2010,04/01/2011,4,-1.34,-4.1,-1.02,-1.21
04/01/2012,09/01/2012,5,-2.55,-9.36,-1.87,-2.05
09/01/2013,12/01/2013,3,-1.17,-1.64,-0.55,-0.23
03/01/2014,05/01/2014,2,-1.66,-1.88,-0.94,-0.94
10/01/2015,11/01/2015,1,-1.87,-1.87,-1.87,-1.87
02/01/2017,04/01/2017,2,-1.26,-2.43,-1.22,-1.22
09/01/2017,02/01/2018,5,-1.66,-7.18,-1.44,-1.49
01/01/2021,04/01/2021,3,-1.16,-2.02,-0.67,-0.83
11/01/2021,12/01/2021,1,-1.06,-1.06,-1.06,-1.06
07/01/2022,01/01/2023,6,-2.17,-7.59,-1.27,-0.95
06/01/2023,08/01/2023,2,-1.08,-1.46,-0.73,-0.73
11/01/2023,05/01/2024,6,-2.1,-7.35,-1.23,-1.13
