0,1,2,3,4
01/01/2000,0.28,-99.0,-99.0,-99.0
02/01/2000,0.71,-99.0,-99.0,-99.0
03/01/2000,-0.7,-0.05,-99.0,-99.0
04/01/2000,-1.85,-1.0,-99.0,-99.0
05/01/2000,-0.59,-1.48,-99.0,-99.0
06/01/2000,0.58,-0.76,-0.7,-99.0
07/01/2000,-0.05,-0.18,-0.82,-99.0
08/01/2000,-0.63,-0.23,-1.17,-99.0
09/01/2000,0.59,-0.31,-0.91,-99.0
10/01/2000,-0.85,-0.84,-0.7,-99.0
11/01/2000,0.71,0.12,-0.2,-99.0
12/01/2000,-0.43,-0.44,-0.74,-0.99
01/01/2001,-1.13,-0.57,-1.11,-1.26
02/01/2001,0.21,-1.11,-0.69,-1.49
03/01/2001,-0.7,-1.01,-1.05,-1.69
04/01/2001,-1.36,-1.17,-1.4,-1.9
05/01/2001,-0.77,-1.42,-1.87,-1.86
06/01/2001,-0.61,-1.3,-1.66,-2.1
07/01/2001,1.49,0.0,-0.8,-1.74
08/01/2001,-1.33,-0.21,-1.12,-1.72
09/01/2001,-0.87,-0.34,-1.34,-1.89
10/01/2001,0.43,-1.22,-0.77,-1.57
11/01/2001,0.44,-0.09,-0.33,-1.59
12/01/2001,1.23,1.02,0.55,-0.96
01/01/2002,0.92,1.51,0.23,-0.53
02/01/2002,-0.65,1.01,0.55,-0.74
03/01/2002,0.97,0.7,1.09,-0.25
04/01/2002,0.6,0.55,1.19,0.39
05/01/2002,1.89,1.5,1.7,1.41
06/01/2002,0.62,1.35,1.39,1.63
07/01/2002,-1.1,1.3,1.01,1.15
08/01/2002,0.54,0.12,1.18,1.39
09/01/2002,-0.14,-0.41,1.01,1.36
10/01/2002,-0.15,-0.09,0.85,1.26
11/01/2002,-0.92,-1.06,-0.69,0.98
12/01/2002,0.92,-0.16,-0.59,0.91
01/01/2003,-2.26,-0.95,-0.76,0.46
02/01/2003,0.26,-0.16,-1.03,0.67
03/01/2003,-1.53,-1.72,-1.26,0.06
04/01/2003,-0.53,-1.07,-1.55,-0.48
05/01/2003,0.83,-0.42,-0.57,-1.12
06/01/2003,0.73,0.38,-0.52,-0.97
07/01/2003,-0.97,0.51,-0.42,-1.09
08/01/2003,0.92,0.51,-0.07,-0.81
09/01/2003,1.23,0.89,0.72,-0.27
10/01/2003,-0.62,0.91,0.87,-0.39
11/01/2003,0.59,0.63,0.76,-0.01
12/01/2003,-0.77,-0.59,0.21,-0.36
01/01/2004,-0.26,-0.47,0.4,-0.16
02/01/2004,-0.8,-1.61,-0.46,-0.37
03/01/2004,-0.23,-0.88,-1.08,-0.13
04/01/2004,-0.48,-0.92,-1.15,-0.17
05/01/2004,-0.18,-0.54,-1.31,-0.62
06/01/2004,-1.24,-0.79,-1.2,-1.07
07/01/2004,0.45,-0.55,-1.0,-0.84
08/01/2004,0.02,-0.47,-0.69,-1.16
09/01/2004,-2.58,-0.67,-1.15,-1.76
10/01/2004,0.62,-0.5,-0.77,-1.42
11/01/2004,1.2,0.42,-0.15,-1.1
12/01/2004,-1.16,0.51,-0.17,-1.07
01/01/2005,0.73,0.61,-0.03,-0.82
02/01/2005,-0.09,-0.49,-0.05,-0.73
03/01/2005,-1.03,-0.4,0.02,-1.05
04/01/2005,0.21,-0.55,-0.21,-0.94
05/01/2005,-1.67,-1.03,-1.25,-1.32
06/01/2005,-0.46,-0.74,-0.89,-1.05
07/01/2005,1.04,-0.63,-0.81,-0.98
08/01/2005,-0.31,-0.05,-0.79,-1.01
09/01/2005,1.05,0.8,-0.2,-0.29
10/01/2005,-1.31,-0.38,-0.75,-0.76
11/01/2005,0.85,0.44,0.18,-0.84
12/01/2005,-2.3,-1.12,-0.23,-0.87
01/01/2006,0.6,-0.12,-0.46,-0.91
02/01/2006,-0.5,-1.29,-0.49,-1.05
03/01/2006,1.34,0.86,-0.07,-0.32
04/01/2006,-0.38,0.28,0.07,-0.67
05/01/2006,0.17,0.46,-0.19,-0.14
06/01/2006,-0.38,-0.32,0.16,-0.08
07/01/2006,0.39,-0.03,0.09,-0.33
08/01/2006,1.27,0.75,0.66,0.28
09/01/2006,0.74,1.33,0.44,0.17
10/01/2006,1.21,1.84,1.2,0.78
11/01/2006,0.5,1.31,1.44,0.68
12/01/2006,-0.04,0.89,1.72,0.97
01/01/2007,0.93,0.68,1.89,1.03
02/01/2007,0.5,0.68,1.47,1.29
03/01/2007,-1.51,-0.1,0.48,0.66
04/01/2007,-0.54,-0.91,-0.43,0.68
05/01/2007,-0.54,-1.23,-0.76,0.38
06/01/2007,-0.87,-0.91,-0.84,0.29
07/01/2007,-0.97,-1.42,-1.49,-0.03
08/01/2007,-2.34,-2.3,-2.09,-1.03
09/01/2007,0.05,-1.92,-1.92,-1.12
10/01/2007,1.15,-0.26,-1.17,-1.19
11/01/2007,-1.18,0.12,-1.56,-1.53
12/01/2007,1.56,1.12,-0.28,-0.86
01/01/2008,-0.6,0.17,-0.17,-1.24
02/01/2008,0.55,1.11,0.79,-1.29
03/01/2008,3.08,2.34,2.35,0.6
04/01/2008,0.71,2.36,2.23,1.18
05/01/2008,0.43,2.01,2.24,1.37
06/01/2008,0.12,0.52,1.66,1.5
07/01/2008,0.26,0.32,1.83,1.88
08/01/2008,-0.52,-0.32,1.46,1.81
09/01/2008,0.34,-0.26,0.24,1.71
10/01/2008,-0.32,-0.69,-0.24,1.36
11/01/2008,-0.51,-0.62,-0.79,1.42
12/01/2008,0.0,-0.75,-0.96,1.02
01/01/2009,-1.28,-1.39,-1.53,0.93
02/01/2009,-0.15,-1.11,-1.35,0.85
03/01/2009,-0.34,-1.06,-1.31,-0.76
04/01/2009,0.14,-0.33,-1.13,-1.25
05/01/2009,-0.26,-0.31,-0.89,-1.49
06/01/2009,0.03,-0.12,-0.72,-1.39
07/01/2009,-0.93,-0.71,-0.7,-1.91
08/01/2009,0.0,-0.59,-0.58,-1.54
09/01/2009,0.26,-0.55,-0.5,-1.38
10/01/2009,2.25,1.69,0.72,-0.29
11/01/2009,-0.8,1.47,0.64,-0.3
12/01/2009,1.02,1.8,1.19,0.04
01/01/2010,-0.46,-0.2,1.27,0.13
02/01/2010,-0.89,-0.16,1.12,0.03
03/01/2010,0.33,-0.57,0.93,0.23
04/01/2010,0.2,-0.17,-0.37,0.26
05/01/2010,-0.28,0.0,-0.2,0.2
06/01/2010,-1.72,-0.55,-0.84,-0.09
07/01/2010,-0.49,-1.28,-0.87,-0.04
08/01/2010,-1.54,-2.13,-0.95,-0.4
09/01/2010,1.16,-0.36,-0.77,-0.04
10/01/2010,-1.89,-1.01,-1.6,-1.41
11/01/2010,0.73,0.33,-1.27,-0.92
12/01/2010,-1.27,-1.12,-1.34,-1.41
01/01/2011,-2.41,-1.34,-1.76,-1.62
02/01/2011,0.84,-1.31,-0.6,-1.25
03/01/2011,0.02,-0.33,-1.03,-1.55
04/01/2011,2.79,2.3,1.62,0.27
05/01/2011,0.84,2.02,1.48,0.65
06/01/2011,0.79,2.2,1.76,1.14
07/01/2011,-1.34,0.46,1.84,1.1
08/01/2011,-0.7,-0.6,1.37,1.04
09/01/2011,1.24,-0.28,1.95,0.99
10/01/2011,-0.86,-0.24,0.13,1.11
11/01/2011,2.18,1.77,0.89,1.59
12/01/2011,1.13,1.62,1.17,2.0
01/01/2012,0.18,2.43,1.53,2.19
02/01/2012,-0.26,0.59,1.83,2.13
03/01/2012,-0.47,-0.55,0.79,2.28
04/01/2012,-1.92,-1.5,0.45,0.4
05/01/2012,-2.91,-2.24,-1.44,-0.6
06/01/2012,-0.94,-2.55,-2.1,-1.02
07/01/2012,-0.08,-2.05,-2.24,-0.89
08/01/2012,-0.49,-1.01,-2.1,-0.77
09/01/2012,0.92,0.02,-1.81,-0.8
10/01/2012,0.4,0.26,-1.12,-0.51
11/01/2012,-0.92,0.16,-0.74,-1.56
12/01/2012,-0.34,-0.63,-0.62,-1.94
01/01/2013,0.84,-0.47,-0.17,-1.72
02/01/2013,0.35,0.32,0.26,-1.65
03/01/2013,-0.31,0.24,-0.3,-1.82
04/01/2013,-0.06,-0.23,-0.57,-1.56
05/01/2013,0.18,-0.2,-0.15,-0.75
06/01/2013,1.97,0.88,0.76,0.34
07/01/2013,-0.68,1.08,0.41,0.21
08/01/2013,-0.06,0.89,0.29,0.26
09/01/2013,-1.04,-1.17,0.21,-0.16
10/01/2013,0.76,-0.23,0.6,-0.06
11/01/2013,-0.12,-0.23,0.5,0.12
12/01/2013,1.16,0.91,-0.1,0.55
01/01/2014,-0.3,0.4,0.01,0.29
02/01/2014,-1.4,-0.1,-0.35,0.03
03/01/2014,-1.0,-1.66,-0.33,-0.14
04/01/2014,1.03,-0.23,-0.08,0.37
05/01/2014,0.04,0.17,-0.01,0.27
06/01/2014,0.7,0.75,-0.13,-0.29
07/01/2014,-0.46,0.1,-0.18,-0.31
