0,1,2,3,4,5,6
04/01/2000,05/01/2000,1,-1.28,-1.28,-1.28,-1.28
10/01/2000,11/01/2000,1,-1.31,-1.31,-1.31,-1.31
12/01/2000,02/01/2001,2,-1.1,-1.83,-0.92,-0.92
04/01/2001,06/01/2001,2,-1.4,-2.14,-1.07,-1.07
08/01/2001,09/01/2001,1,-1.23,-1.23,-1.23,-1.23
02/01/2002,03/01/2002,1,-1.27,-1.27,-1.27,-1.27
01/01/2003,02/01/2003,1,-2.01,-2.01,-2.01,-2.01
03/01/2003,06/01/2003,3,-1.68,-2.07,-0.69,-0.22
09/01/2004,10/01/2004,1,-1.94,-1.94,-1.94,-1.94
05/01/2005,07/01/2005,2,-2.9,-3.48,-1.74,-1.74
10/01/2005,01/01/2006,3,-2.45,-4.32,-1.44,-1.73
04/01/2006,07/01/2006,3,-1.15,-1.85,-0.62,-0.41
03/01/2007,05/01/2007,2,-1.61,-2.4,-1.2,-1.2
08/01/2007,10/01/2007,2,-3.45,-3.74,-1.87,-1.87
07/01/2008,09/01/2008,2,-1.08,-1.21,-0.6,-0.6
11/01/2008,04/01/2009,5,-1.18,-2.78,-0.56,-0.47
11/01/2009,12/01/2009,1,-1.04,-1.04,-1.04,-1.04
02/01/2010,03/01/2010,1,-1.12,-1.12,-1.12,-1.12
06/01/2010,11/01/2010,5,-3.35,-7.08,-1.42,-1.3
01/01/2011,02/01/2011,1,-2.56,-2.56,-2.56,-2.56
04/01/2012,09/01/2012,5,-2.25,-6.12,-1.22,-1.12
03/01/2013,04/01/2013,1,-1.22,-1.22,-1.22,-1.22
11/01/2013,12/01/2013,1,-1.0,-1.0,-1.0,-1.0
02/01/2014,04/01/2014,2,-1.4,-2.16,-1.08,-1.08
07/01/2014,08/01/2014,1,-1.01,-1.01,-1.01,-1.01
10/01/2016,11/01/2016,1,-1.18,-1.18,-1.18,-1.18
09/01/2017,02/01/2018,5,-1.86,-3.78,-0.76,-0.51
07/01/2018,08/01/2018,1,-2.62,-2.62,-2.62,-2.62
12/01/2019,01/01/2020,1,-1.06,-1.06,-1.06,-1.06
09/01/2022,12/01/2022,3,-1.51,-2.67,-0.89,-0.75
05/01/2023,07/01/2023,2,-1.42,-2.59,-1.29,-1.29
11/01/2023,01/01/2024,2,-1.21,-2.3,-1.15,-1.15
02/01/2024,05/01/2024,3,-1.38,-3.36,-1.12,-1.22
