0,1,2,3
-99.0,11,3.75,2.04
-2.2,1,0.34,4.08
-2.1,2,0.68,6.12
-2.0,1,0.34,8.16
-1.9,6,2.05,10.2
-1.8,2,0.68,12.24
-1.7,2,0.68,14.29
-1.6,2,0.68,16.33
-1.5,7,2.39,18.37
-1.4,4,1.37,20.41
-1.3,7,2.39,22.45
-1.2,5,1.71,24.49
-1.1,7,2.39,26.53
-1.0,4,1.37,28.57
-0.9,7,2.39,30.61
-0.8,6,2.05,32.65
-0.7,6,2.05,34.69
-0.6,8,2.73,36.73
-0.5,16,5.46,38.78
-0.4,9,3.07,40.82
-0.3,12,4.1,42.86
-0.2,10,3.41,44.9
-0.1,16,5.46,46.94
0.0,16,5.46,48.98
0.1,14,4.78,51.02
0.2,7,2.39,53.06
0.3,11,3.75,55.1
0.4,7,2.39,57.14
0.5,6,2.05,59.18
0.6,8,2.73,61.22
0.7,7,2.39,63.27
0.8,10,3.41,65.31
0.9,8,2.73,67.35
1.0,6,2.05,69.39
1.1,7,2.39,71.43
1.2,3,1.02,73.47
1.3,2,0.68,75.51
1.4,6,2.05,77.55
1.5,3,1.02,79.59
1.6,3,1.02,81.63
1.7,5,1.71,83.67
1.8,1,0.34,85.71
1.9,2,0.68,87.76
2.0,2,0.68,89.8
2.1,2,0.68,91.84
2.3,2,0.68,93.88
2.4,1,0.34,95.92
2.5,1,0.34,97.96
2.6,2,0.68,100.0
