0,1,2,3,4,5,6
10/01/2000,11/01/2001,13,-1.83,-12.32,-0.95,-0.88
01/01/2003,02/01/2003,1,-1.08,-1.08,-1.08,-1.08
03/01/2003,06/01/2003,3,-1.39,-2.22,-0.74,-0.48
02/01/2004,05/01/2004,3,-1.58,-2.42,-0.81,-0.82
05/01/2005,08/01/2005,3,-1.59,-3.92,-1.31,-1.22
11/01/2005,03/01/2006,4,-2.88,-6.94,-1.74,-1.55
04/01/2006,07/01/2006,3,-1.18,-2.26,-0.75,-0.54
04/01/2007,09/01/2007,5,-2.09,-8.32,-1.66,-1.53
07/01/2008,02/01/2009,7,-1.48,-5.2,-0.74,-0.54
03/01/2010,05/01/2010,2,-1.03,-1.86,-0.93,-0.93
08/01/2010,04/01/2011,8,-3.15,-12.39,-1.55,-1.13
08/01/2011,11/01/2011,3,-1.53,-3.5,-1.17,-1.35
04/01/2012,09/01/2012,5,-2.66,-8.96,-1.79,-1.97
03/01/2014,04/01/2014,1,-1.53,-1.53,-1.53,-1.53
01/01/2015,04/01/2015,3,-1.96,-4.09,-1.36,-1.84
09/01/2015,11/01/2015,2,-1.72,-2.9,-1.45,-1.45
11/01/2016,04/01/2017,5,-1.51,-4.34,-0.87,-0.9
11/01/2022,01/01/2023,2,-1.86,-2.56,-1.28,-1.28
