0,1,2,3,4,5,6
12/01/2000,12/01/2001,12,-2.25,-16.12,-1.34,-1.32
03/01/2003,07/01/2003,4,-1.2,-2.49,-0.62,-0.63
05/01/2005,09/01/2006,16,-1.95,-17.32,-1.08,-1.17
05/01/2007,10/01/2007,5,-2.5,-8.53,-1.71,-1.63
09/01/2008,05/01/2009,8,-1.45,-6.39,-0.8,-0.77
04/01/2010,04/01/2011,12,-2.68,-16.88,-1.41,-1.33
06/01/2012,02/01/2013,8,-2.13,-10.38,-1.3,-1.43
12/01/2014,06/01/2015,6,-1.62,-6.78,-1.13,-1.19
10/01/2015,11/01/2015,1,-1.02,-1.02,-1.02,-1.02
10/01/2016,04/01/2017,6,-1.64,-6.02,-1.0,-1.0
11/01/2022,03/01/2023,4,-1.26,-2.9,-0.72,-0.68
