0,1,2,3
-99.0,11,3.75,1.89
-2.7,1,0.34,3.77
-2.4,2,0.68,5.66
-2.3,2,0.68,7.55
-2.2,2,0.68,9.43
-2.1,1,0.34,11.32
-2.0,1,0.34,13.21
-1.9,2,0.68,15.09
-1.8,3,1.02,16.98
-1.7,4,1.37,18.87
-1.6,5,1.71,20.75
-1.5,2,0.68,22.64
-1.4,3,1.02,24.53
-1.3,2,0.68,26.42
-1.2,2,0.68,28.3
-1.1,5,1.71,30.19
-1.0,5,1.71,32.08
-0.9,5,1.71,33.96
-0.8,8,2.73,35.85
-0.7,8,2.73,37.74
-0.6,12,4.1,39.62
-0.5,12,4.1,41.51
-0.4,10,3.41,43.4
-0.3,10,3.41,45.28
-0.2,8,2.73,47.17
-0.1,13,4.44,49.06
0.0,18,6.14,50.94
0.1,17,5.8,52.83
0.2,11,3.75,54.72
0.3,12,4.1,56.6
0.4,10,3.41,58.49
0.5,11,3.75,60.38
0.6,10,3.41,62.26
0.7,14,4.78,64.15
0.8,8,2.73,66.04
0.9,4,1.37,67.92
1.0,9,3.07,69.81
1.1,5,1.71,71.7
1.2,3,1.02,73.58
1.3,1,0.34,75.47
1.4,2,0.68,77.36
1.5,2,0.68,79.25
1.6,2,0.68,81.13
1.7,1,0.34,83.02
1.8,1,0.34,84.91
1.9,2,0.68,86.79
2.0,2,0.68,88.68
2.4,3,1.02,90.57
2.5,2,0.68,92.45
2.7,1,0.34,94.34
2.8,1,0.34,96.23
3.0,1,0.34,98.11
3.2,1,0.34,100.0
