0,1,2,3,4
01/01/2000,0.64,-99.0,-99.0,-99.0
02/01/2000,0.66,-99.0,-99.0,-99.0
03/01/2000,0.14,0.72,-99.0,-99.0
04/01/2000,-0.35,0.12,-99.0,-99.0
05/01/2000,1.01,0.38,-99.0,-99.0
06/01/2000,0.95,0.64,0.84,-99.0
07/01/2000,0.05,1.07,0.61,-99.0
08/01/2000,-0.38,0.11,0.26,-99.0
09/01/2000,0.12,-0.44,0.24,-99.0
10/01/2000,-1.46,-1.1,-0.14,-99.0
11/01/2000,0.25,-0.7,-0.6,-99.0
12/01/2000,-0.86,-1.06,-1.31,-0.19
01/01/2001,-1.01,-0.97,-1.55,-0.54
02/01/2001,0.78,-0.81,-0.96,-0.57
03/01/2001,-0.44,-0.49,-1.19,-0.67
04/01/2001,-2.15,-0.74,-1.33,-1.16
05/01/2001,-0.99,-1.83,-1.95,-2.12
06/01/2001,-0.6,-1.66,-1.63,-2.44
07/01/2001,0.38,-0.86,-1.07,-2.3
08/01/2001,-1.34,-0.88,-1.9,-2.3
09/01/2001,-0.17,-0.92,-2.25,-2.68
10/01/2001,0.74,-0.3,-0.91,-1.7
11/01/2001,0.86,0.64,-0.07,-1.45
12/01/2001,1.61,1.42,0.82,-0.49
01/01/2002,0.68,1.62,0.86,-0.09
02/01/2002,-1.23,1.02,0.91,-0.6
03/01/2002,0.68,0.11,1.27,-0.24
04/01/2002,-0.39,-0.45,0.9,0.04
05/01/2002,0.33,0.22,0.7,0.45
06/01/2002,-0.83,-0.32,-0.29,0.37
07/01/2002,-0.07,-0.29,-0.55,0.27
08/01/2002,0.22,-0.38,-0.14,0.54
09/01/2002,0.72,0.4,-0.14,0.91
10/01/2002,-0.03,0.26,-0.05,0.52
11/01/2002,-1.15,-0.3,-0.65,-0.02
12/01/2002,0.71,-0.3,-0.11,-0.32
01/01/2003,-1.99,-1.08,-0.52,-0.8
02/01/2003,1.02,0.25,-0.14,-0.31
03/01/2003,-1.99,-1.39,-1.07,-0.85
04/01/2003,-0.37,-0.48,-1.2,-0.99
05/01/2003,1.04,-0.35,-0.19,-0.75
06/01/2003,1.32,0.8,-0.03,-0.17
07/01/2003,0.95,1.67,0.65,0.1
08/01/2003,0.29,1.05,0.37,0.09
09/01/2003,0.83,0.99,1.3,0.15
10/01/2003,-0.34,0.22,1.19,0.02
11/01/2003,0.66,0.44,1.0,0.52
12/01/2003,-0.86,-0.35,0.29,0.12
01/01/2004,-0.21,-0.26,-0.09,0.35
02/01/2004,-0.69,-1.58,-0.38,-0.06
03/01/2004,0.01,-0.82,-0.81,0.31
04/01/2004,0.71,-0.02,-0.29,0.67
05/01/2004,0.33,0.43,-0.45,0.44
06/01/2004,-0.04,0.4,-0.16,0.03
07/01/2004,1.34,0.76,0.34,0.15
08/01/2004,0.74,0.94,0.79,0.28
09/01/2004,-1.73,0.23,0.41,-0.41
10/01/2004,0.32,-0.24,0.2,-0.17
11/01/2004,1.24,0.15,0.69,0.1
12/01/2004,-0.35,0.58,0.56,0.22
01/01/2005,0.51,0.79,0.28,0.37
02/01/2005,-0.38,-0.39,-0.12,0.49
03/01/2005,-0.72,-0.57,0.15,0.32
04/01/2005,-0.13,-0.78,-0.01,0.08
05/01/2005,-2.41,-1.59,-1.51,-0.59
06/01/2005,-0.19,-1.11,-1.3,-0.6
07/01/2005,0.46,-1.22,-1.3,-0.85
08/01/2005,1.11,0.77,-0.55,-0.61
09/01/2005,-0.26,0.66,-0.56,-0.37
10/01/2005,-3.03,-0.39,-1.21,-0.92
11/01/2005,-0.83,-1.93,-0.81,-1.74
12/01/2005,-2.64,-2.88,-1.47,-1.92
01/01/2006,0.96,-0.96,-1.0,-1.64
02/01/2006,-0.73,-1.17,-1.95,-1.97
03/01/2006,-0.11,0.0,-1.87,-1.65
04/01/2006,-1.26,-1.18,-1.67,-2.25
05/01/2006,0.33,-0.53,-1.13,-1.66
06/01/2006,-0.45,-0.54,-0.53,-1.61
07/01/2006,1.89,0.95,-0.21,-1.08
08/01/2006,-0.71,0.34,-0.23,-1.66
09/01/2006,1.79,1.92,0.89,-0.72
10/01/2006,0.41,0.99,1.35,-0.11
11/01/2006,0.72,1.53,1.51,0.36
12/01/2006,0.04,0.45,1.58,0.72
01/01/2007,1.06,0.9,1.24,0.71
02/01/2007,-0.81,0.16,1.27,0.8
03/01/2007,-2.33,-0.99,-0.17,0.42
04/01/2007,-0.78,-2.07,-0.64,0.57
05/01/2007,-0.96,-2.09,-1.48,0.23
06/01/2007,-0.92,-1.22,-1.63,0.13
07/01/2007,-0.35,-1.41,-2.26,-0.49
08/01/2007,-1.6,-1.53,-2.5,-0.59
09/01/2007,1.72,0.63,-0.66,-0.71
10/01/2007,1.09,1.21,0.33,-0.32
11/01/2007,0.07,1.61,0.66,-0.56
12/01/2007,0.75,0.9,1.11,-0.27
01/01/2008,-0.41,0.1,0.95,-0.65
02/01/2008,-0.19,-0.06,1.25,-0.6
03/01/2008,1.81,0.86,1.17,0.44
04/01/2008,0.71,1.21,0.94,0.9
05/01/2008,-0.6,0.99,0.77,1.09
06/01/2008,-1.13,-0.29,0.17,0.97
07/01/2008,-0.39,-1.27,0.21,0.95
08/01/2008,-1.15,-1.48,-0.04,0.89
09/01/2008,0.1,-1.07,-1.09,0.21
10/01/2008,0.22,-0.54,-1.38,-0.25
11/01/2008,-0.65,-0.4,-1.45,-0.44
12/01/2008,0.67,-0.01,-0.76,-0.4
01/01/2009,-0.63,-0.44,-0.78,-0.41
02/01/2009,0.56,0.3,-0.19,-0.26
03/01/2009,-0.79,-0.72,-0.47,-1.04
04/01/2009,0.61,0.15,-0.27,-1.26
05/01/2009,0.9,0.4,0.44,-0.77
06/01/2009,-0.13,0.62,0.09,-0.55
07/01/2009,0.53,0.71,0.42,-0.32
08/01/2009,-0.01,0.01,0.21,-0.07
09/01/2009,0.61,0.43,0.75,0.12
10/01/2009,1.66,1.32,1.52,0.85
11/01/2009,-1.46,0.95,0.75,0.75
12/01/2009,0.46,0.84,0.93,0.64
01/01/2010,-0.23,-0.72,0.63,0.67
02/01/2010,-1.22,-0.8,0.38,0.38
03/01/2010,0.1,-1.03,0.19,0.57
04/01/2010,-0.39,-0.83,-1.23,0.35
05/01/2010,1.14,0.43,-0.09,0.49
06/01/2010,-1.52,0.05,-0.59,0.24
07/01/2010,-0.69,-0.02,-0.64,-0.02
08/01/2010,-2.27,-2.17,-0.77,-0.36
09/01/2010,-1.13,-2.64,-1.5,-0.95
10/01/2010,-1.64,-3.15,-2.0,-2.36
11/01/2010,0.48,-1.22,-2.66,-1.8
12/01/2010,-0.57,-0.8,-2.39,-1.91
01/01/2011,-2.65,-1.04,-2.68,-2.15
02/01/2011,0.9,-1.01,-1.42,-1.8
03/01/2011,0.23,-0.35,-0.91,-1.62
04/01/2011,2.1,1.68,0.72,-0.77
05/01/2011,1.52,1.99,1.31,-0.64
06/01/2011,-0.12,1.67,1.29,-0.39
07/01/2011,-1.27,0.57,1.41,-0.47
08/01/2011,-1.38,-1.53,0.82,-0.37
09/01/2011,0.32,-1.35,0.97,-0.02
10/01/2011,-0.04,-0.63,-0.21,0.28
11/01/2011,1.99,1.2,0.21,0.99
12/01/2011,1.45,1.63,0.88,1.43
01/01/2012,0.35,2.18,1.12,1.68
02/01/2012,-0.69,0.83,1.27,1.57
03/01/2012,0.03,-0.4,1.26,1.44
04/01/2012,-1.78,-1.27,0.95,0.54
05/01/2012,-2.4,-1.97,-0.93,-0.62
06/01/2012,-1.88,-2.66,-2.13,-0.86
07/01/2012,0.27,-2.05,-2.08,-0.52
08/01/2012,-0.6,-1.01,-2.07,-0.36
09/01/2012,1.05,0.42,-1.72,-0.07
10/01/2012,-0.08,0.14,-1.13,-0.09
11/01/2012,-0.67,0.1,-0.68,-1.24
12/01/2012,-0.5,-0.81,-0.49,-1.78
01/01/2013,1.05,-0.13,-0.07,-1.42
02/01/2013,-0.07,0.22,0.13,-1.46
03/01/2013,-0.95,-0.02,-0.72,-1.6
04/01/2013,0.8,-0.13,-0.27,-1.09
05/01/2013,0.3,0.08,0.14,-0.5
06/01/2013,0.99,0.76,0.56,0.07
07/01/2013,0.05,0.58,0.17,0.02
08/01/2013,1.01,1.01,0.61,0.5
09/01/2013,-0.13,0.45,0.91,0.07
10/01/2013,0.36,0.49,0.69,0.2
11/01/2013,-0.73,-0.45,0.3,0.21
12/01/2013,1.42,0.48,0.61,0.74
01/01/2014,-1.01,-0.02,0.28,0.25
02/01/2014,-0.26,0.28,-0.23,0.25
03/01/2014,-0.7,-1.53,-0.39,0.3
04/01/2014,1.46,0.35,0.17,0.59
