0,1,2,3,4,5,6
11/01/2002,10/01/2003,11,-2.0,-8.98,-0.82,-0.64
06/01/2004,08/01/2004,2,-1.41,-2.49,-1.25,-1.25
04/01/2005,03/01/2006,11,-2.04,-10.53,-0.96,-0.74
05/01/2006,12/01/2006,7,-1.11,-4.63,-0.66,-0.58
12/01/2010,12/01/2011,12,-2.36,-15.55,-1.3,-1.22
03/01/2012,02/01/2013,11,-1.77,-8.3,-0.75,-0.6
08/01/2013,11/01/2013,3,-1.41,-3.12,-1.04,-1.09
02/01/2014,08/01/2014,6,-1.93,-4.71,-0.78,-0.49
04/01/2015,06/01/2015,2,-1.21,-1.58,-0.79,-0.79
10/01/2015,11/01/2015,1,-1.45,-1.45,-1.45,-1.45
03/01/2016,07/01/2016,4,-2.36,-6.66,-1.66,-1.71
12/01/2016,04/01/2017,4,-1.39,-3.21,-0.8,-0.91
11/01/2017,03/01/2018,4,-1.6,-4.31,-1.08,-1.28
10/01/2020,03/01/2021,5,-1.26,-3.39,-0.68,-0.68
01/01/2022,03/01/2022,2,-1.39,-2.54,-1.27,-1.27
05/01/2023,02/01/2024,9,-2.26,-9.51,-1.06,-1.08
