0,1,2,3,4,5,6
11/01/2002,01/01/2004,14,-2.0,-13.74,-0.98,-0.88
05/01/2004,11/01/2004,6,-1.6,-4.41,-0.74,-0.71
07/01/2005,02/01/2007,19,-2.03,-18.92,-1.0,-1.02
03/01/2011,03/01/2012,12,-2.39,-16.38,-1.36,-1.39
06/01/2012,02/01/2013,8,-1.72,-9.25,-1.16,-1.33
01/01/2014,08/01/2014,7,-1.21,-6.13,-0.88,-1.0
04/01/2015,06/01/2015,2,-1.62,-2.45,-1.22,-1.22
06/01/2016,08/01/2016,2,-1.93,-2.44,-1.22,-1.22
02/01/2017,04/01/2017,2,-1.13,-2.23,-1.12,-1.12
12/01/2017,06/01/2018,6,-1.39,-6.48,-1.08,-1.36
01/01/2021,04/01/2021,3,-1.21,-2.4,-0.8,-0.78
06/01/2023,05/01/2024,11,-1.73,-12.89,-1.17,-1.22
